ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากวันที่เริ่มแจ้ง(วัน),ระยะเวลาจากสถานะล่าสุด(วัน)
2024-L9ZX8G,2024-01-22,05:40 น.,รอรับเรื่อง 319 วันที่แล้ว,เขตดุสิต แขวงสี่แยกมหานาค,จริงๆอยากแจ้ง ขสมก. Gps รถเมล์ล่ม หรือเพี้ยน ตั้งแต่ ต้น มค.จนวันนี้ ดู application via bus ไม่ได้เลยค่ะ,"องค์การขนส่งมวลชนกรุงเทพ (ขสมก.), เขตดุสิต, เพื่อนชัชชาติ, กรุงเทพมหานคร",อื่นๆ,รอรับเรื่อง,2024-02-19,11:09 น.,ใช้เวลา 28 วัน 5 ชม.,319,291
2024-4ZRG8B,2024-01-17,13:29 น.,รอรับเรื่อง 324 วันที่แล้ว,เขตธนบุรี แขวงดาวคะนอง,รถเมล์ขับไม่เหมาะสมขับปาดแล้วพอบีบแตรเตือนมีการแสดงพฤติกรรมไม่เหมาะสมขับเอนไปมาทำเหมือนจะชน,"องค์การขนส่งมวลชนกรุงเทพ (ขสมก.), เขตธนบุรี, กรุงเทพมหานคร, เพื่อนชัชชาติ",ต้นไม้,รอรับเรื่อง,2024-01-18,07:28 น.,ใช้เวลา 18 ชม.,324,323
2023-3TNHWX,2023-12-17,08:18 น.,รอรับเรื่อง 355 วันที่แล้ว,เขตจตุจักร,รถเมล์สาย 39 ควันดำมาก ทั้งๆอยู่ในท่ามกลางปัญหา PM2.5,"องค์การขนส่งมวลชนกรุงเทพ (ขสมก.), สำนักสิ่งแวดล้อม กทม., เขตจตุจักร, กรมการขนส่งทางบก, กรุงเทพมหานคร, เพื่อนชัชชาติ",ฝุ่นควัน&กลิ่น&PM2.5,รอรับเรื่อง,2024-02-02,12:06 น.,ใช้เวลา 47 วัน 3 ชม.,355,308
2023-7FWHZY,2023-11-17,10:00 น.,รอรับเรื่อง 385 วันที่แล้ว,เขตวัฒนา แขวงคลองตันเหนือ,รถโดยสารเส้นเอกมัย มีน้อยมาก รอ20-30 นาทีคนก็อัดแน่น,"องค์การขนส่งมวลชนกรุงเทพ (ขสมก.), เขตวัฒนา, การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย (รฟม.), กรุงเทพมหานคร, เพื่อนชัชชาติ",อื่นๆ,รอรับเรื่อง,2023-11-24,15:22 น.,ใช้เวลา 7 วัน 5 ชม.,385,378
AYBY4W,2023-11-15,11:47 น.,รอรับเรื่อง 387 วันที่แล้ว,เขตทวีวัฒนา แขวงทวีวัฒนา,ปัญหา: อยากให้เพิ่มรถเมล์สาธารณะถนน: เลียบคลองทวีวัฒนาจุดสังเกต: วิ่งจาก ถนนเพชรเกษม ไป ถนนปิ่นเกล้านครชัยศรีเขต: ทวีวัฒนา#1555,"องค์การขนส่งมวลชนกรุงเทพ (ขสมก.), เขตทวีวัฒนา, กรุงเทพมหานคร, เพื่อนชัชชาติ, ร้องทุกข์ กทม. 1555",อื่นๆ,รอรับเรื่อง,2023-11-24,15:39 น.,ใช้เวลา 9 วัน 3 ชม.,387,378
2023-CV3B92,2023-10-17,15:23 น.,รอรับเรื่อง 416 วันที่แล้ว,เขตราชเทวี,ไม่วิ่งเลนซ้ายเพื่อรับผู้โดยสารเลย วิ่งเลน 4 แล้วจอดให้ผู้โดยสารไปขึ้นกลางถนน หากเกิดอุบัติเหตุ ใครรับผิดชอบ?,"องค์การขนส่งมวลชนกรุงเทพ (ขสมก.), เขตราชเทวี, กรุงเทพมหานคร, เพื่อนชัชชาติ",อื่นๆ,รอรับเรื่อง,2023-10-24,13:03 น.,ใช้เวลา 6 วัน 21 ชม.,416,409
2023-KM3CUR,2023-10-04,20:06 น.,รอรับเรื่อง 428 วันที่แล้ว,เขตราษฎร์บูรณะ แขวงราษฎร์บูรณะ,รถเมล์หลังคารั่วน้ำหยด หน้าต่างปิดไม่ได้ฝนสาด,"องค์การขนส่งมวลชนกรุงเทพ (ขสมก.), เขตราษฎร์บูรณะ, เพื่อนชัชชาติ, กรุงเทพมหานคร",อื่นๆ,รอรับเรื่อง,2023-10-05,11:05 น.,ใช้เวลา 14 ชม. 59 นาที,429,428
2023-72HTV4,2023-09-18,11:24 น.,รอรับเรื่อง 445 วันที่แล้ว,เขตพระนคร แขวงพระบรมมหาราชวัง,หนูทำของหายบนรถเมล์สาย3ค่ะ,"องค์การขนส่งมวลชนกรุงเทพ (ขสมก.), เขตพระนคร, กรุงเทพมหานคร, เพื่อนชัชชาติ",ขยะ,รอรับเรื่อง,2023-09-19,10:34 น.,ใช้เวลา 23 ชม. 10 นาที,445,444
2022-AL6X3B,2022-08-05,17:27 น.,รอรับเรื่อง 853 วันที่แล้ว,เขตบางบอน,"1.รถเมล์สายเอกชัย 43,120 มาช้ามากเลยค่ะ มันวิ่งเป็นเวลา แต่นักเรียนก็อยากขึ้นรถเมล์ รอนานมากค่ะ รอมา1ชม.กว่าแล้วยังไม่มา ขากลับอ่ะค่ะ","สำนักการจราจรและขนส่ง กรุงเทพมหานคร (สจส.), สำนักงานระบบขนส่ง สขส. สจส., เขตบางบอน, กรมการขนส่งทางบก, องค์การขนส่งมวลชนกรุงเทพ (ขสมก.), กรุงเทพมหานคร, เพื่อนชัชชาติ",อื่นๆ,รอรับเรื่อง,2022-09-10,13:24 น.,ใช้เวลา 35 วัน 19 ชม.,854,818
2022-KEXL3H,2022-07-22,13:54 น.,รอรับเรื่อง 868 วันที่แล้ว,เขตจตุจักร,รถขนส่งสาธารณะ,"เขตจตุจักร, องค์การขนส่งมวลชนกรุงเทพ (ขสมก.), กรุงเทพมหานคร, เพื่อนชัชชาติ",ผิดกฎจราจร,เปิดเรื่องใหม่,2022-07-23,11:28 น.,ใช้เวลา 21 ชม. 34 นาที,868,867
2022-TNBP4Y,2022-07-17,07:30 น.,รอรับเรื่อง 873 วันที่แล้ว,เขตบางกะปิ,ร้องเรียนเรื่อง สายรถเมล์,"องค์การขนส่งมวลชนกรุงเทพ (ขสมก.), เขตบางกะปิ, กรุงเทพมหานคร, เพื่อนชัชชาติ",อื่นๆ,เปิดเรื่องใหม่,2022-07-26,21:59 น.,ใช้เวลา 9 วัน 14 ชม.,873,864
