ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากวันที่เริ่มแจ้ง(วัน),ระยะเวลาจากสถานะล่าสุด(วัน)
2024-9C6PN3,2024-12-06,16:22 น.,รอรับเรื่อง 4 นาทีที่แล้ว,เขตคลองเตย,ทางเท้าชำรุด มีการวางต้นไม้ สิ่งของกีดขวางบนฟุตบาท มีการจอดรถมอเตอร์ไซค์บนฟุตบาท,"เขตคลองเตย, กรุงเทพมหานคร",ทางเท้า,รอรับเรื่อง,2024-12-06,16:22 น.,รอรับเรื่อง,0,0
2024-6PGR8Q,2024-12-06,16:22 น.,รอรับเรื่อง 4 นาทีที่แล้ว,เขตคลองเตย,วินมอเตอร์ไซค์หน้าคอนโดริธึ่ม 44 เรียกค่าโดยสารแพงมาก ไปเพียง 1 นาที คิดราคา 20 บาท,"เขตคลองเตย, กรุงเทพมหานคร",แท็กซี่/รถเมล์,รอรับเรื่อง,2024-12-06,16:22 น.,รอรับเรื่อง,0,0
2024-33EPFY,2024-12-06,13:52 น.,รอรับเรื่อง 2 ชั่วโมงที่แล้ว,เขตคลองเตย แขวงพระโขนง,ป้ายเขตโรงเรียน ตอนนี้ไม่มีโรงเรียนแล้ว รบกวนมารื้อถอนป้ายออกไปจากทางเท้าด้วยนะคะ,"เขตคลองเตย, ฝ่ายโยธา เขตคลองเตย, กรุงเทพมหานคร",ทางเท้า,รอรับเรื่อง,2024-12-06,15:21 น.,ใช้เวลา 1 ชม. 29 นาที,0,0
2024-CMHBFF,2024-12-06,13:51 น.,รอรับเรื่อง 2 ชั่วโมงที่แล้ว,เขตคลองเตย แขวงพระโขนง,ป้ายเขตโรงเรียน ตอนนี้ไม่มีโรงเรียนแล้ว รบกวนมารื้อถอนป้ายออกไปจากทางเท้าด้วยนะคะ,"เขตคลองเตย, ฝ่ายโยธา เขตคลองเตย, กรุงเทพมหานคร",อุปกรณ์ชำรุด,รอรับเรื่อง,2024-12-06,15:20 น.,ใช้เวลา 1 ชม. 30 นาที,0,0
2024-DXKF27,2024-12-06,13:42 น.,รอรับเรื่อง 2 ชั่วโมงที่แล้ว,เขตคลองเตย,ทางเดินเท้าซอยสุขุมวิท 50 ฝั่งตรงข้ามทางขึ้นทางด่วนฉลังรัช มีสิ่งกีดขวางทางเดิน เป็นแท่นปูน มีท่ออยู่ตรงกลาง นอกจากขวางทางเดินเท้าแล้ว ยังกลายเป็นที่ใส่ก้นบุหรี่ทิ้งขยะของคนมักง่าย,"เขตคลองเตย, ฝ่ายโยธา เขตคลองเตย, กรุงเทพมหานคร",ทางเท้า,รอรับเรื่อง,2024-12-06,15:20 น.,ใช้เวลา 1 ชม. 38 นาที,0,0
2024-KFWR32,2024-05-03,20:45 น.,รอรับเรื่อง 216 วันที่แล้ว,เขตคลองเตย แขวงคลองเตย,รถเข็นทำอาหารจอดไว้บนทางเท้า ทำการค้าในพื้นที่สาธารณะ บังการสัญจรทางเท้าและทำให้พื้นที่สกปรก,"ฝ่ายเทศกิจ เขตคลองเตย, เขตคลองเตย, กรุงเทพมหานคร, เพื่อนชัชชาติ",ทางเท้า,เปิดเรื่องใหม่,2024-12-06,15:55 น.,ใช้เวลา 216 วัน 19 ชม.,217,0
2023-43UK7D,2023-08-25,10:53 น.,รอรับเรื่อง 469 วันที่แล้ว,เขตคลองเตย,แจ้งปัญหา น้ำผุด ออกมาจาก แผ่นพื้นทางเดิน บริเวณหน้าสวนเบญจกิติ ถนนรัชดาภิเษก ค่ะ ขับรถผ่าน เห็นถนนเปียกทุกวันค่ะ มีเจ้าหน้าที่ที่เกี่ยวข้องตรวจสอบ รับเรื่อง แก้ไข หรือยังคะ ความสูงระดับข้อเท้า น้ำท่วมมาแล้วน้อยกว่า 1 สัปดาห์,"ฝ่ายโยธา เขตคลองเตย, สำนักงานประปาสาขาสุขุมวิท สสส., เขตคลองเตย, การประปานครหลวง กปน. (Metropolitan Waterworks Authority - MWA), พนักงานกวาด เขตคลองเตย, กรุงเทพมหานคร, เพื่อนชัชชาติ",น้ำท่วม,เปิดเรื่องใหม่,2023-08-29,07:56 น.,ใช้เวลา 3 วัน 21 ชม.,469,465
2022-NXLE4E,2022-10-18,10:08 น.,รอรับเรื่อง 780 วันที่แล้ว,เขตคลองเตย,บริเวณตลาดคลองเตยซอย 7 มีน้ำเน่าท่วมขังเป็นเวลานานมากกว่า 1 เดือนไม่มีหน่วยงานใดมารับผิดชอบอยากฝากถึงกทมให้ช่วยมาลอกท่อดังกล่าวด้วยครับน้ำส่งกลิ่นเหม็นมากครับทำให้ประชาชนเดินลำบากครับ ความสูงระดับหน้าแข้ง น้ำท่วมมาแล้วมากกว่า 1 สัปดาห์,"เขตคลองเตย, การท่าเรือแห่งประเทศไทย, เพื่อนชัชชาติ, กรุงเทพมหานคร",น้ำท่วม,รอรับเรื่อง,2022-10-18,12:11 น.,ใช้เวลา 2 ชม. 4 นาที,780,780
2022-49F37Y,2022-06-28,17:16 น.,รอรับเรื่อง 891 วันที่แล้ว,เขตคลองเตย,ผมมีข้อข้องใจเกี่ยวกับสวนสาธารณะใกล้บ้านครับ คือสวนเบญจกิติซึ่งมีสวนป่าใหม่เพิ่งเปิดใช้นั้น มีข้อบังคับว่าไม่ให้ขี่จักรยานหลังเวลา17.30น.ทั้งๆที่ปกติทุกคนจะต้องขี่อยู่ในทางเฉพาะจักรยาน (bike lane)อยู่แล้ว และเวลา17.30ก็ยังไม่มืดด้วย อันนี้ไม่เข้าใจเหตุผลครับ. คนที่ทำงานเลิกเย็นๆและต้องการจะไปออกกำลังกายด้วยการขี่จักรยานในbike lane ดังกล่าวนี้ จะไม่มีสิทธิ์อย่างนั้นหรือครับ?,"สำนักสิ่งแวดล้อม กทม., สำนักงานสวนสาธารณะ สำนักสิ่งแวดล้อม, เขตคลองเตย, กรุงเทพมหานคร, เพื่อนชัชชาติ",เสนอแนะ,กำลังดำเนินการ,2024-12-06,14:53 น.,ใช้เวลา 891 วัน 21 ชม.,892,0
2022-8LKWBK,2022-06-17,19:18 น.,รอรับเรื่อง 902 วันที่แล้ว,เขตคลองเตย,1.อยากให้ช่วยดูเรื่องรถเมล์ค่ะ ขาดระยะนานมากรอเป็นชม. แทบทุกวันค่ะ สาย141 และ195 จุดที่รอตลาดคลองเตยค่ะ ช่วงเวลาเลิกงาน แต่ล่ะวันคน รอเยอะมากมาคัน1คือต้องเบียดกันค่ะ บางที่ก็ขึ้นกันไม่หมด,"องค์การขนส่งมวลชนกรุงเทพ (ขสมก.), เขตคลองเตย, กรุงเทพมหานคร, เพื่อนชัชชาติ",อื่นๆ,รอรับเรื่อง,2022-06-17,19:18 น.,รอรับเรื่อง,903,903
2022-L6AMFW,2022-06-15,22:18 น.,รอรับเรื่อง 904 วันที่แล้ว,เขตคลองเตย,ตามเรื่องที่แจ้งไม่มีคนรับเรื่องหรอครับ,"เขตคลองเตย, กรุงเทพมหานคร, เพื่อนชัชชาติ,",อื่นๆ,รอรับเรื่อง,2022-06-15,22:18 น.,รอรับเรื่อง,905,905
2022-86H8ZB,2022-06-15,20:16 น.,รอรับเรื่อง 904 วันที่แล้ว,เขตพระโขนง,คลองในซอยสุขุมวิท 52 มีน้ำเน่าและขยะตกค้างมานาน (ไม่แน่ใจว่าไหลมาจากไหน) ส่งกลิ่นเหม็นลอยไปถึงคอนโดและโรงแรมใกล้เคียงโดยเฉพาะช่วงหลังฝนตก รบกวนช่วยดูแลแก้ไขให้ด้วยนะคะ,"สำนักงานเขต, สำนักการระบายน้ำ กทม., เขตคลองเตย, กรุงเทพมหานคร, เพื่อนชัชชาติ",ขยะ,ส่งต่อ,2022-06-24,08:49 น.,ใช้เวลา 8 วัน 12 ชม.,905,896
2022-HB8PM9,2022-06-14,16:58 น.,รอรับเรื่อง 905 วันที่แล้ว,เขตคลองเตย,รถเมล์จอดแช่กีดขวางการจราจร,"องค์การขนส่งมวลชนกรุงเทพ (ขสมก.), เขตคลองเตย, กรุงเทพมหานคร, เพื่อนชัชชาติ",ผิดกฎจราจร,รอรับเรื่อง,2022-06-14,16:58 น.,รอรับเรื่อง,906,906
