ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากวันที่เริ่มแจ้ง(วัน),ระยะเวลาจากสถานะล่าสุด(วัน)
2024-EGLUAH,2024-12-06,15:56 น.,รอรับเรื่อง 30 นาทีที่แล้ว,เขตจตุจักร แขวงจตุจักร,รถกระบะ Ford สีส้ม กจ1659 จอดขวางประตูหน้าบ้าน ครั้งที่สอง,"เขตจตุจักร, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,2024-12-06,15:56 น.,รอรับเรื่อง,0,0
2024-6FCETL,2024-12-06,15:11 น.,รอรับเรื่อง 1 ชั่วโมงที่แล้ว,เขตจตุจักร แขวงลาดยาว,ปัญหาไฟฟ้าดับทำให้มีผลกับโรงเรียนซึ่งมีนักเรียน 600 คนสอบถามคอลเซ็นเตอร์แจ้งว่าเสาไฟฟ้าปล่อยเฟสไฟไม่ครบ เกิดเหตุการณ์ซ้ำกันเวลาเดิมสองครั้งแล้ว,"เขตจตุจักร, กรุงเทพมหานคร",ไฟฟ้า,รอรับเรื่อง,2024-12-06,15:11 น.,รอรับเรื่อง,0,0
2024-C2YHL4,2024-12-06,12:53 น.,รอรับเรื่อง 3 ชั่วโมงที่แล้ว,เขตจตุจักร,จอดรถจักรยานยนต์ไว้ที่ชั้นใต้ดินในวันที่ 4 ธันวาคม 2567 ช่วงเวลา 14.00 ถึง 19.00 น. เมื่อเวลาประมาณ 19.00 น. พบว่ารถจักรยานยนต์ได้รับการเฉี่ยวชน,"เขตจตุจักร, กรุงเทพมหานคร",อุบัติเหตุ,รอรับเรื่อง,2024-12-06,12:54 น.,รอรับเรื่อง,0,0
2024-MYEWCQ,2024-12-03,11:20 น.,รอรับเรื่อง 3 วันที่แล้ว,เขตจตุจักร แขวงจอมพล,สถานที่ขายบุหรี่ไฟฟ้า ซึ่งผิดกฎหมาย,"สน.สุทธิสาร, เขตจตุจักร, สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), กองบังคับการตำรวจนครบาล 2 (บก.น.2), กรุงเทพมหานคร",อื่นๆ,รอรับเรื่อง,2024-12-03,19:44 น.,ใช้เวลา 8 ชม. 25 นาที,3,3
2023-3TNHWX,2023-12-17,08:18 น.,รอรับเรื่อง 355 วันที่แล้ว,เขตจตุจักร,รถเมล์สาย 39 ควันดำมาก ทั้งๆอยู่ในท่ามกลางปัญหา PM2.5,"องค์การขนส่งมวลชนกรุงเทพ (ขสมก.), สำนักสิ่งแวดล้อม กทม., เขตจตุจักร, กรมการขนส่งทางบก, กรุงเทพมหานคร, เพื่อนชัชชาติ",ฝุ่นควัน&กลิ่น&PM2.5,รอรับเรื่อง,2024-02-02,12:06 น.,ใช้เวลา 47 วัน 3 ชม.,355,308
2023-FH8MKL,2023-05-06,12:49 น.,รอรับเรื่อง 580 วันที่แล้ว,เขตจตุจักร แขวงจอมพล,ทางฟุตบาทเสียหายไม่สามารถเดินได้,"กรมทางหลวง, เขตจตุจักร, กรุงเทพมหานคร, เพื่อนชัชชาติ",ทางเท้า,เปิดเรื่องใหม่,2023-07-22,13:18 น.,ใช้เวลา 77 วัน,580,503
JAE937,2023-05-04,13:22 น.,รอรับเรื่อง 582 วันที่แล้ว,เขตจตุจักร แขวงจอมพล,ปัญหา : สะพาน เนื่องจาก สะพานข้ามคลองส่งน้ำ สร้างไม่เสร็จสักที เกือบปีแล้ว ทำให้เหลือช่องทางเข้าซอยแค่ 1 เลน เหล็กที่ปูพื้นถนนไว้ ตรงหัวมุมมันเปิดขึ้น ถ้ายางรถไปกระแทก อาจจะทำให้ยางแตกได้ ทำให้ต้องเบี่ยงหลบเข้าเลนขวา แต่รถที่จะออกจากซอยก็ออกไม่ได้เหมือนกัน พยายามติดต่อกับฝ่ายโยธา แต่ไม่มีคนรับสายเลย ขอให้ดำเนินการตรวจสอบและแก้ไขปัญหานี้ด้วยจุดเกิดเหตุ : (สถานที่สำคัญ / จุดสังเกต) บริเวณซอยวิภาวดีรังสิต 16ถนน : วิภาวดีรังสิตแขวง : จอมพล เขต : จตุจักร#1555,"กรมทางหลวง, เขตจตุจักร, กรุงเทพมหานคร, เพื่อนชัชชาติ, ร้องทุกข์ กทม. 1555",จุดเสี่ยง,เปิดเรื่องใหม่,2023-09-14,20:43 น.,ใช้เวลา 133 วัน 7 ชม.,582,449
2023-9CMW4H,2023-03-26,21:16 น.,รอรับเรื่อง 620 วันที่แล้ว,เขตจตุจักร,หน้ากรมยุทธโยธาเเยกเกษตร 1ไฟถนนดับ3-4ดวง มาเป็นชาติเเล้วเเจ้งไป 3-4 รอบ ไม่มีการตอบกลับ 2.ฝาท่อเหล็ก กลางถนน ตรงเเยกเกษตร เป็นหลุมลงไปจะทะลุเเล้ว มอไซตกทีมีจุก อยุ่เเถวๆป้อมตำรวจจราจรเลย,"กรมทางหลวง, เขตจตุจักร, กรุงเทพมหานคร, เพื่อนชัชชาติ",ต้นไม้,เปิดเรื่องใหม่,2023-04-01,05:22 น.,ใช้เวลา 5 วัน 8 ชม.,621,615
2023-4KFHDR,2023-03-09,13:27 น.,รอรับเรื่อง 638 วันที่แล้ว,เขตจตุจักร แขวงจันทรเกษม,ปิดถนนทำรถไฟฟ้าหรือเพื่อหล่อปูน 1 เดือนยังไม่ทำไร แต่ทำรถติดทุกวัน,"การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย (รฟม.), เขตจตุจักร, กรุงเทพมหานคร, เพื่อนชัชชาติ",ผิดกฎจราจร,เปิดเรื่องใหม่,2023-05-21,08:16 น.,ใช้เวลา 72 วัน 18 ชม.,638,565
2022-KEXL3H,2022-07-22,13:54 น.,รอรับเรื่อง 868 วันที่แล้ว,เขตจตุจักร,รถขนส่งสาธารณะ,"เขตจตุจักร, องค์การขนส่งมวลชนกรุงเทพ (ขสมก.), กรุงเทพมหานคร, เพื่อนชัชชาติ",ผิดกฎจราจร,เปิดเรื่องใหม่,2022-07-23,11:28 น.,ใช้เวลา 21 ชม. 34 นาที,868,867
