ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากวันที่เริ่มแจ้ง(วัน),ระยะเวลาจากสถานะล่าสุด(วัน)
2024-K3BBZV,2024-06-16,09:19 น.,รอรับเรื่อง 173 วันที่แล้ว,เขตบางขุนเทียน แขวงแสมดำ,วันทึ่ 16 มิถุนายน 2567 เวลา 9:18 น. รถสองแถว รถแท๊กซี่จอดขวางแช่ 1 เลนทำให้รถติด รบกวนเจ้าหน้าที่ตำรวจมากวดขันให้หนักกว่านี้,"สน.ท่าข้าม, เขตบางขุนเทียน, สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), กองบังคับการตำรวจนครบาล 9 (บก.น.9), กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,2024-06-17,17:08 น.,ใช้เวลา 1 วัน 7 ชม.,173,172
2024-EFL6HU,2024-06-11,07:36 น.,รอรับเรื่อง 178 วันที่แล้ว,เขตบางขุนเทียน แขวงท่าข้าม,แยกอนามัยงามเจริญ รถติดมากทั้งๆ ที่ไม่มีไฟจราจรหรืออุบัติเหตุ ไม่เคยเห็นตำรวจจราจรมาจัดการจราจรสักครั้ง,"สน.ท่าข้าม, เขตบางขุนเทียน, กองบังคับการตำรวจนครบาล 9 (บก.น.9), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), กรุงเทพมหานคร",อื่นๆ,รอรับเรื่อง,2024-06-25,12:16 น.,ใช้เวลา 14 วัน 4 ชม.,178,164
Z9JWF7,2024-04-03,13:25 น.,รอรับเรื่อง 247 วันที่แล้ว,เขตบางขุนเทียน แขวงแสมดำ,ปัญหา: ภายในซอยดังกล่าว พบเห็นมีรถบรรทุกขนาดใหญ่ สัญจรผ่านไปมา เกิดเสียงดัง อีกทั้งยังทำให้บ้านเรือนเกิดการสั่นสะเทือน ชำรุดเสียหาย ขับรถโดยไม่มีการชะลอความเร็วด้วย ช่วงเวลาประมาณ 09.00 - 11.00 น.ซอย: บางกระดี่ 30ถนน: บางกระดี่เขต: บางขุนเทียน#1555,"สน.แสมดำ, เขตบางขุนเทียน, สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), กองบังคับการตำรวจนครบาล 9 (บก.น.9), กรุงเทพมหานคร, ร้องทุกข์ กทม. 1555",เสียง,เปิดเรื่องใหม่,2024-04-10,16:44 น.,ใช้เวลา 7 วัน 3 ชม.,247,240
2023-MLCLV3,2023-08-02,10:52 น.,รอรับเรื่อง 492 วันที่แล้ว,เขตบางขุนเทียน แขวงแสมดำ,ฟุตบาททรุดตัว และเป็นบ่อยมากเป็นตรงนี้เสร็จก็ไปเป็นอีกที่,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตบางขุนเทียน, กรุงเทพมหานคร, เพื่อนชัชชาติ",ทางเท้า,เปิดเรื่องใหม่,2023-08-20,21:22 น.,ใช้เวลา 18 วัน 10 ชม.,492,474
2023-L82XC6,2023-05-05,16:37 น.,รอรับเรื่อง 580 วันที่แล้ว,เขตบางขุนเทียน,แจ้งร้องเรียนพนักงานกรมทางหลวงคุณปาริฉัตรไม่ตอบกลับผลการเำเนินการตามที่ได้แจ้งค่ะ ขอร้องเรียนการปฎิบัติหน้าที่เรื่องคุณวาณิช ละเลยการปฎิบัติหน้าที่ค่ะ,"กรมทางหลวง, เขตบางขุนเทียน, กรุงเทพมหานคร, เพื่อนชัชชาติ",อื่นๆ,เปิดเรื่องใหม่,2023-07-03,18:19 น.,ใช้เวลา 59 วัน 1 ชม.,581,522
2022-PC2AP8,2022-10-18,14:31 น.,รอรับเรื่อง 780 วันที่แล้ว,เขตบางขุนเทียน,"ขอร้องเรียน ที่ดินรกร้าง ""บริเวณติดหลัง ที่จอดรถเคอรรี่และโรงงานวีอาร์พลาสติก รวมถึงบ้านคน ในซอยบางกระดี่16"" โดยที่ดินรกร้างนี้ปล่อยปะละเลยที่ดิน เป็นเหตุให้เกิดไฟไหม้ในหลายครั้ง โดยมีการร้องเรียนเขตบางขุนเทียนไปหลายครั้งแล้วในหลายปีที่ผ่านมา จนปัจจุบันยังไม่มีอะไรเปลี่ยนแปลงใดๆ อยากให้เจ้าหน้าที่เขตบางขุนเทียน จัดการเรื่องนี้อย่างจริงจังค่ะ ต้องหารือกับเจ้าของที่ดินนี้โดยคำนึงถึงหน้าที่มากกว่าความเกรงใจได้แล้วค่ะ ว่าควรหาทางออกร่วมกันได้อย่างไร ที่ทำให้ผู้อื่นรอบบริเวณนี้ไม่เดือดร้อนแบบนี้ซ้ำแล้วซ้ำเล่า เพลิงไหม้ลักษณะนี้มีเกือบทุกปี บางปีหลายครั้ง เกือบทำให้ทรัพย์สินผู้อื่นเสียหายในแทบทุกครั้ง ทุกคนที่อยู่รอบที่ดินรกร้างนี้ต้องอยู่กับความหวาดระแวงลักษณะนี้มานานหลายปี ขอเจ้าหน้าที่เห็นใจและอย่าให้ต้องมีการบาดเจ็บ หรือถึงแก่ชีวิต หรือความสูญเสียใดๆ เพียงเพราะการละเลยในการดูแลที่ดินรกร้างของเจ้าของที่เลยค่ะ","สำนักป้องกันและบรรเทาสาธารณภัย กทม., เขตบางขุนเทียน, สำนักงานเขตบางขุนเทียน, กรุงเทพมหานคร, เพื่อนชัชชาติ",จุดเสี่ยง,เปิดเรื่องใหม่,2023-01-10,09:39 น.,ใช้เวลา 81 วัน 21 ชม.,780,696
2022-DV733T,2022-10-02,18:16 น.,รอรับเรื่อง 795 วันที่แล้ว,เขตบางขุนเทียน,ถนนไม่มีเลนชัดเจน,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตบางขุนเทียน, กลุ่มกรุงธนใต้ (นายเฉลิมพล โชตินุชิต), ผอ.เขตบางขุนเทียน (นางภัสรา), การทางพิเศษแห่งประเทศไทย, เพื่อนชัชชาติ, กรุงเทพมหานคร",ถนน,เปิดเรื่องใหม่,2022-11-22,20:23 น.,ใช้เวลา 51 วัน 2 ชม.,796,745
2022-BPEWGU,2022-07-15,19:29 น.,รอรับเรื่อง 874 วันที่แล้ว,เขตบางขุนเทียน,ฟุตบาทหน้าเซ็นทรัลพระราม2 พื้นแย่มากค่ะ,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตบางขุนเทียน, กรุงเทพมหานคร, เพื่อนชัชชาติ",ทางเท้า,เปิดเรื่องใหม่,2022-08-15,15:59 น.,ใช้เวลา 30 วัน 20 ชม.,875,844
2022-37BZR3,2022-07-15,18:18 น.,รอรับเรื่อง 874 วันที่แล้ว,เขตบางขุนเทียน,ต้นไม้และสายไฟพันกัน ตอนกลางคืนมืด,"เขตบางขุนเทียน, การไฟฟ้านครหลวง เขตราษฎร์บูรณะ, สำนักงาน กสทช. (ศูนย์รับแจ้งปัญหา 1200), การไฟฟ้านครหลวง MEA, กรุงเทพมหานคร, เพื่อนชัชชาติ",อื่นๆ,ส่งต่อ,2024-07-30,15:51 น.,ใช้เวลา 745 วัน 21 ชม.,875,129
2022-32AZFH,2022-06-20,00:23 น.,รอรับเรื่อง 900 วันที่แล้ว,เขตบางขุนเทียน,1. ไฟมืดมากค่ะ ตอนกลางคืน ต้องทำงานกลับบ้านดึก อันตรายมากค่ะ มองไม่เห็นทางเลย บริเวณฝั่งตรงข้ามเขตบางขุนเทียน พระราม2 ซอย55 แถวปากซอยก็มีวงเหล้า และสุนัขปล่อยมา 3-4 ตัวอยู่หน้าหมู่บ้าน เห่า ไล่ขู่คนที่จะเข้าหมู่บ้าน ทางเข้าพระราม2 ซอย552.ภาพถ่าย ณ พระราม2 ซอย55 เวลาประมาณ 21:00 ดิฉันกลับช่วง 19:00-22:00 มืดๆน่ากลัวแบบนี้ทุกวัน นานๆจะมีคนเดินสัก 1-2 คน ซึ่งไม่ทราบว่าไฟฟ้าดับนานแค่ไหน เพราะเดือนมิถุนายนนี้ดิฉันเพิ่งเดินทางด้วยรถสาธารณะเนื่องจากน้ำมันแพง,"กรมทางหลวง, แขวงทางหลวงธนบุรี กรมทางหลวง, เขตบางขุนเทียน, กรุงเทพมหานคร, เพื่อนชัชชาติ",จุดเสี่ยง,เปิดเรื่องใหม่,2022-06-28,01:28 น.,ใช้เวลา 8 วัน 1 ชม.,900,892
