ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากวันที่เริ่มแจ้ง(วัน),ระยะเวลาจากสถานะล่าสุด(วัน)
2024-HDFHGE,2024-12-06,14:10 น.,รอรับเรื่อง 2 ชั่วโมงที่แล้ว,เขตปทุมวัน แขวงวังใหม่,การเดินสายสื่สารรก สกปรกสายขาดลงพื้นที่ทางเดินริมถนน อันตรายกับคนเดินไปมา และที่เสาไฟ หย่อนยานไม่เรียบร้อย,"เขตปทุมวัน, กรุงเทพมหานคร",สายสื่อสาร,รอรับเรื่อง,2024-12-06,14:10 น.,รอรับเรื่อง,0,0
2024-7ENBYP,2024-12-06,11:35 น.,รอรับเรื่อง 4 ชั่วโมงที่แล้ว,เขตปทุมวัน แขวงวังใหม่,สายสิ่อสารโยงยางไม่เรียบร้อยยางเส้นก็ขาดตกลงห้วยลงกับพื้นดิน คนเดินสะดุดคนแก่,"เขตปทุมวัน, กรุงเทพมหานคร",สายสื่อสาร,รอรับเรื่อง,2024-12-06,11:35 น.,รอรับเรื่อง,0,0
2024-DNVPC2,2024-12-05,17:08 น.,รอรับเรื่อง 23 ชั่วโมงที่แล้ว,เขตปทุมวัน แขวงรองเมือง,ต้นไม้พาดสายไฟในซอย กลัวจะทำให้สายไฟชำรุดค่ะ,"เขตปทุมวัน, ฝ่ายรักษาความสะอาดฯ เขตปทุมวัน, กรุงเทพมหานคร",สายสื่อสาร,รอรับเรื่อง,2024-12-06,09:18 น.,ใช้เวลา 16 ชม. 11 นาที,1,0
2024-LTXDNV,2024-12-05,06:27 น.,รอรับเรื่อง 1 วันที่แล้ว,,ป้ายไฟ one Bangkok สว่างมากเปิดตั้งแต่ 06.00 สว่างจนทะละผ้าม่านเข้ามา จนรบกวนการนอน,"เขตปทุมวัน, ฝ่ายโยธา เขตปทุมวัน, กรุงเทพมหานคร",เสียง,รอรับเรื่อง,2024-12-06,09:17 น.,ใช้เวลา 1 วัน 2 ชม.,1,0
2024-DYA378,2024-05-19,22:47 น.,รอรับเรื่อง 200 วันที่แล้ว,เขตปทุมวัน แขวงวังใหม่,ถนนพระราม4 ตรงสามย่าน มืดมาก ในใจกลางเมือง จะมืดอะไร ทำไม ไม่ติดไฟให้สว่างทุกถนน ช่วยตอบนิด ปชช รออยู่,"สามย่าน (Samyan), สำนักงานจัดการทรัพย์สิน จุฬาลงกรณ์มหาวิทยาลัย, เขตปทุมวัน, ศูนย์ประสานงาน จุฬาลงกรณ์มหาวิทยาลัย, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,2024-05-20,16:26 น.,ใช้เวลา 17 ชม. 39 นาที,201,200
2023-9B6KGB,2023-01-14,20:46 น.,รอรับเรื่อง 691 วันที่แล้ว,เขตปทุมวัน,ช่วยเอาทรายมาอุดพื้นกระเบื้องที เดินกี่ทีน้ำก็เละเต็มขาไปหมดเลย,"เขตปทุมวัน, ผอ.เขตปทุมวัน (น.ส.สุขวิชญาณ์), ฝ่ายโยธา เขตปทุมวัน, กรุงเทพมหานคร, เพื่อนชัชชาติ",ทางเท้า,รอรับเรื่อง,2023-01-23,15:06 น.,ใช้เวลา 8 วัน 18 ชม.,692,683
2022-38G3WR,2022-12-04,14:07 น.,รอรับเรื่อง 733 วันที่แล้ว,เขตปทุมวัน,คำสั่งรื้อถอนอาคาร เจ้าของอาคารยังเพิกเฉยต่อคำสั่ง เจ้าหน้าที่ก็ไม่ดำเนินคดี คำสั่งของเจ้าหน้าที่ไร้ซึ่งความหมาย กฎหมายควบคุมอาคารไร้สภาพบังคับ อยากทราบว่าเจ้าหน้าที่ที่เกี่ยวข้องรู้สึกละอายใจกับอำนาจหน้าที่ของตนตามกฎหมายหรือไม่ เรื่องดังกล่าวแจ้งเจ้าหน้าที่ให้ดำเนินการเป็นเวลานานเกือบ 20 ปี แต่ไม่คืบหน้าอะไรเลย ล่าช้าในการดำเนินการเป็นอย่างมาก ไร้ซึ่งประสิทธิภาพในการปฏิบัติหน้าที่ สิ่งที่เจ้าหน้าที่ละเลยล่าช้า เป็นเหตุให้บ้านที่ได้รับความเดือดร้อนจากการต่อเติมอาคารทับทางระบายน้ำสาธารณะเป็นเวลานาน เข้าข่ายเป็นการกระทำละเมิดจากการปฏิบัติหน้าที่ อยากให้ทางกรุงเทพมหานครซึ่งเป็นผู้ควบคุมกำกับดูแลการทำงานของทางสำนักงานเขตปทุมวัน ช่วยดำเนินการให้เจ้าหน้าที่ที่เกี่ยวข้องรีบดำเนินการโดยเร็ว อีกทั้งการก่อสร้างดังกล่าวมีผลกระทบต่อโครงสร้างอาคาร มีการต่อเติมห้องน้ำในบริเวณนั้นทำให้ผนังบ้านสึกกร่อน จากความชื้น ผู้ที่เกี่ยวข้องหน้าจะทราบดีว่าเจตนารมณ์ของกฎหมายควบคุมอาคารคืออะไร หวังว่าเจ้าหน้าที่รู้หน้าที่และจะดำเนินการในเรื่องดังกล่าวโดยเร็ว ดิฉันแจ้งเรื่องนี้ไปหลายครั้ง แต่สำนักงานเขตปทุมวันเพิกเฉย โยนไปเป็นภาระของสำนักงานตำรวจว่าอยู่ในระหว่างดำเนินการ จริงๆแล้วน่าจะทำความเข้าใจว่า ตำรวจมีหน้าที่ในส่วนคดีอาญาในการปรับกรณีไม่ดำเนินการตามคำสั่ง ส่วนเจ้าหน้าที่ฝ่ายปกครองมีหน้าที่ในการดำเนินการบังคับตามคำสั่งทางปกครองโดยมีพระราชบัญญัติวิธีปฏิบัติราชการทางปกครอง พ.ศ. 2539 ระบุรายละเอียดในการดำเนินการบังคับทางปกครองไว้อย่างชัดเจน อีกทั้ง หากเจ้าหน้าที่กังวลว่าการดำเนินการบังคับทางปกครองของตนอาจถูกเอกชน เจ้าของบ้าน ทำการฟ้องร้อง พระราชบัญญัติความรับผิดทางละเมิดของเจ้าหน้าที่ พ.ศ. 2539 รับรองการปฏิบัติหน้าที่ของเจ้าหน้าที่ที่ดำเนินการตามกฎหมายอยู่แล้ว แต่การที่เจ้าหน้าที่เขตเพิกเฉยต่อการดำเนินการตามกฎหมายควบคุมอาคารมันชัดเจนที่จะต้องรับผิดในการละเมิดจากการละเลยในการปฏิบัติหน้าที่อย่างแน่นอน หวังว่าหน่วยงานที่เกี่ยวข้องจะดำเนินการโดยเร็ว,"เขตปทุมวัน, กลุ่มกรุงเทพใต้ (นายชาตรี วัฒนเขจร), ผอ.เขตปทุมวัน (น.ส.สุขวิชญาณ์), ฝ่ายโยธา เขตปทุมวัน, เพื่อนชัชชาติ, กรุงเทพมหานคร",อื่นๆ,รอรับเรื่อง,2022-12-21,10:00 น.,ใช้เวลา 16 วัน 19 ชม.,733,716
2022-6ZGM7D,2022-09-16,14:53 น.,รอรับเรื่อง 812 วันที่แล้ว,เขตปทุมวัน,"รถสาธารณะ (taxi สามล้อ taxi ป้ายดำ) ยึดช่องทางการจราจรทั้งขาเข้าและออก โดยแสดงความเป็นมาเฟีย เลือกรับผู้โดยสารตามใจเพราะไม่อยากเปิดมิตเตอร์ (ฝั่ง Central World ยาวไปถึงหน้า Isetan เว้นว่างคแ่ทางขึ้นลงรถของห้าง, หน้า The Market และ Big C) อีกทั้งยังมีขอทานและแผงล็อตเตอรี่หน้าเดิมยึดพื้นที่ทุกวัน อยากให้เจ้าหน้าที่ที่เกี่ยวข้องทำงานเชิงรุกเพราะเป็นปัญหาเดิม ๆ ในพื้นที่เดิม ๆ เพื่อการแก้ปัญหาที่ยั่งยืนเสียที","สน.ลุมพินี, เขตปทุมวัน, สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), ปัญหาที่ต้องแก้เชิงนโยบาย, กลุ่มกรุงเทพใต้ (นายชาตรี วัฒนเขจร), ผอ.เขตปทุมวัน (น.ส.สุขวิชญาณ์), กองบังคับการตำรวจนครบาล 6 (บก.น.6), กรุงเทพมหานคร, เพื่อนชัชชาติ",อื่นๆ,เปิดเรื่องใหม่,2022-11-23,15:22 น.,ใช้เวลา 68 วัน,812,744
2022-D986Q7,2022-07-14,17:49 น.,รอรับเรื่อง 875 วันที่แล้ว,เขตปทุมวัน,สวนลุม เครื่องออกกำลังกายพังหมดเลย และโดนรื้อถอนออก ไม่มีเครื่องใหม่มาแทน รบกวนช่วยหาเครื่องออกกำลังกายมาแทน และถ้าเป็นไปได้ช่วยเพิ่มเครื่องเล่นหน่อยครับมันน้อยไปหน่อย,"สำนักสิ่งแวดล้อม กทม., เขตปทุมวัน, กรุงเทพมหานคร, เพื่อนชัชชาติ",อื่นๆ,เปิดเรื่องใหม่,2022-07-30,18:29 น.,ใช้เวลา 16 วัน,876,860
2022-MTDVR2,2022-07-12,09:14 น.,รอรับเรื่อง 878 วันที่แล้ว,เขตปทุมวัน,สายไฟ,"การไฟฟ้านครหลวง เขตคลองเตย, เขตปทุมวัน, สำนักงาน กสทช. (ศูนย์รับแจ้งปัญหา 1200), การไฟฟ้านครหลวง MEA, กรุงเทพมหานคร, เพื่อนชัชชาติ",อื่นๆ,เปิดเรื่องใหม่,2022-07-13,11:25 น.,ใช้เวลา 1 วัน 2 ชม.,878,877
