ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากวันที่เริ่มแจ้ง(วัน),ระยะเวลาจากสถานะล่าสุด(วัน)
2024-AL887L,2024-12-06,14:02 น.,รอรับเรื่อง 2 ชั่วโมงที่แล้ว,เขตป้อมปราบศัตรูพ่าย แขวงป้อมปราบ,รถกะบะ บรรทุก สินค้า มักขับสวนทางจราจร เพื่อขนถ่ายสินค้า และจอด กีดขวางจรารจร ซ้อน 3-4 และเป็น รถ คันเดิม อย่างสม่ำเสมอ ต้องการให้เจ้าหน้าที่ เข้ามาสอดส่องบ่อยๆ หน่อย และ ทำการส่งปรับ เจ้าของรถ ตามทะเบียนในภาพ,"เขตป้อมปราบศัตรูพ่าย, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,2024-12-06,14:02 น.,รอรับเรื่อง,0,0
2024-8U3GZN,2024-12-06,14:01 น.,รอรับเรื่อง 2 ชั่วโมงที่แล้ว,เขตป้อมปราบศัตรูพ่าย แขวงวัดโสมนัส,อยากให้ออกแบบที่นั่งสำหรับด้านฝั่งร่มให้ด้วยครับ เพราะถ้ารอรถเมล์ช่วงบ่ายสอง ที่นั่งจะโดนแดด ทำให้ไม่มีใครนั่งรอได้ครับ,"เขตป้อมปราบศัตรูพ่าย, กรุงเทพมหานคร",แท็กซี่/รถเมล์,รอรับเรื่อง,2024-12-06,14:01 น.,รอรับเรื่อง,0,0
2024-L2W3K3,2024-12-06,13:02 น.,รอรับเรื่อง 3 ชั่วโมงที่แล้ว,เขตป้อมปราบศัตรูพ่าย แขวงบ้านบาตร,ขยะวางบริเวณทางเท้าเยอะจนเดินไม่ได้ครับ,"เขตป้อมปราบศัตรูพ่าย, กรุงเทพมหานคร",ความสะอาด,รอรับเรื่อง,2024-12-06,13:02 น.,รอรับเรื่อง,0,0
2024-L32NA4,2024-12-06,12:55 น.,รอรับเรื่อง 3 ชั่วโมงที่แล้ว,เขตป้อมปราบศัตรูพ่าย แขวงบ้านบาตร,รถเก่าจอดทิ้งนาน กองขยะสุมไว้จำนวนมาก,"เขตป้อมปราบศัตรูพ่าย, กรุงเทพมหานคร",ความสะอาด,รอรับเรื่อง,2024-12-06,12:55 น.,รอรับเรื่อง,0,0
2024-M9KCPF,2024-12-06,08:52 น.,รอรับเรื่อง 7 ชั่วโมงที่แล้ว,เขตป้อมปราบศัตรูพ่าย แขวงป้อมปราบ,ต่อเติมฟุตบาท ต้องทุบทิ้ง ตามโครงการ คุณทำเราทุบ เเจ้งไปหลายรอบ โยธา บอกไม่มีอุปกรณ์ !,"เขตป้อมปราบศัตรูพ่าย, กรุงเทพมหานคร",ทางเท้า,รอรับเรื่อง,2024-12-06,08:52 น.,รอรับเรื่อง,0,0
2024-NP7FEW,2024-12-06,08:49 น.,รอรับเรื่อง 7 ชั่วโมงที่แล้ว,เขตป้อมปราบศัตรูพ่าย แขวงคลองมหานาค,ช่วยตรวจสอบเส้นทแยงห้ามหยุดรถ ว่ามีการขอถูกต้องตามกฏหมายหรือไม่,"เขตป้อมปราบศัตรูพ่าย, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,2024-12-06,08:49 น.,รอรับเรื่อง,0,0
2024-9W327T,2024-12-06,08:47 น.,รอรับเรื่อง 7 ชั่วโมงที่แล้ว,เขตป้อมปราบศัตรูพ่าย,ถึง หัวหน้าฝ่ายเทศกิจป้อมปราบ ลูกน้องคุณเอาเเต่ส่งรูปซ้ำๆมา เรื่องร้องเรียนนี้ ส่งรูปซ้ำมาสองรูป รูปนึงภาพมุมกว้าง อีกรูปภาพมุมเเคบลง แต่รายละเอียดในรูปแทบจะไม่ต่างกัน ไปซูมดูได้ และถ้าไม่กล้ามาจับปรับร้านนี้ ก็ให้มันเช่าขายไปเลย มันขาย 12:00-21:00 อย่ามาจัดฉากถ่ายรูปตอนมันยังไม่ขาย หรือมันเก็บร้าน,"เขตป้อมปราบศัตรูพ่าย, กรุงเทพมหานคร",หาบเร่แผงลอย,รอรับเรื่อง,2024-12-06,08:47 น.,รอรับเรื่อง,0,0
2024-DLWRT2,2024-10-31,11:46 น.,รอรับเรื่อง 36 วันที่แล้ว,เขตพระนคร,ถึง สำนักงานเลขานุการผู้ว่า ช่วยบอก ผอ.เขตป้อมปราบ ให้ไปดูผลงานการแก้ปัญหาเรื่องร้องเรียนใน Traffy Fondue ด้วย หลายปัญหาแก้เเบบผักชีโรยหน้ามากๆ,"ฝ่ายปกครอง เขตป้อมปราบศัตรูพ่าย, เขตป้อมปราบศัตรูพ่าย, เขตพระนคร, กรุงเทพมหานคร",อื่นๆ,เปิดเรื่องใหม่,2024-12-06,14:32 น.,ใช้เวลา 36 วัน 2 ชม.,36,0
2024-BKHWPY,2024-10-17,12:10 น.,รอรับเรื่อง 50 วันที่แล้ว,เขตสัมพันธวงศ์ แขวงจักรวรรดิ์,ทำไมถึงอนุญาตให้จอดรถและทำประตูกั้นบนทางเท้าซึ่งเป็นทางสาธารณะ สน. และ สนง. เขตที่รับผิดชอบดูแลในพื้นที่ควรติดตามตรวจสอบให้ใกล้ชิดและสม่ำเสมอ,"ฝ่ายเทศกิจ เขตป้อมปราบศัตรูพ่าย, เขตป้อมปราบศัตรูพ่าย, กรุงเทพมหานคร",ทางเท้า,เปิดเรื่องใหม่,2024-12-06,13:06 น.,ใช้เวลา 50 วัน,50,0
2024-3DBY2W,2024-09-19,08:36 น.,รอรับเรื่อง 78 วันที่แล้ว,เขตสัมพันธวงศ์,มีการจอดรถบริเวณที่ห้ามจอดอยู่เป็นประจำ ทั้งๆ ที่มีป้ายห้ามจอดแสดงอยู่ชัดเจน ทำให้กีดขวางทางจราจรในบริเวณนั้น ซึ่งรถติดมากอยู่แล้ว,"สน.พลับพลาไชย 1, เขตป้อมปราบศัตรูพ่าย, กองบังคับการตำรวจนครบาล 6 (บก.น.6), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), กรุงเทพมหานคร",ผิดกฎจราจร,เปิดเรื่องใหม่,2024-12-06,13:03 น.,ใช้เวลา 78 วัน 4 ชม.,78,0
