ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากวันที่เริ่มแจ้ง(วัน),ระยะเวลาจากสถานะล่าสุด(วัน),ค่า Median (วัน),ค่า Mean (วัน),ค่า Percentile 90 (วัน)
2024-N7PQ4C,2024-02-07,14:43 น.,รอรับเรื่อง 305 วันที่แล้ว,เขตบางแค แขวงหลักสอง,ทำงานล่าช้า วัสดุหล่นผิวทาง,"แขวงทางหลวงธนบุรี กรมทางหลวง, กรมทางหลวง, เขตบางแค, เพื่อนชัชชาติ, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,2024-02-20,11:05 น.,ใช้เวลา 12 วัน 20 ชม.,306,293,,,
CJVJ4T,2024-01-26,17:30 น.,รอรับเรื่อง 317 วันที่แล้ว,เขตตลิ่งชัน แขวงบางระมาด,ปัญหา: พบผู้ค้ารถเข็นขายของบริเวณบาทวิถีและผิวจราจรบริเวณทางเข้าหน้าปั๊มน้ำมันดังกล่าวช่วงเวลาประมาณ 05.00-12.00 น.กีดขวางรถที่จะเลี้ยวเข้ามาใช้บริการในปั้มน้ำมันแล้วเกรงว่าจะเกิดอุบัติเหตุด้วย และยังมีการทำให้บริเวณหน้าปั้มน้ำมันสกปรกโดยทิ้งเศษอาหารลงในท่อระบายน้ำทำให้ท่อตันจนเพื่อนบ้านร้องเรียนเขตมาที่ปั้มน้ำมันดังกล่าวซึ่งทางเขตก็เร่งให้จัดการแก้ไขจึงมาร้องเรียนที่นี่ ถนน: กาญจนาภิเษก จุดสังเกต: ปั้มน้ำมันเชลล์ตรงข้ามPaseoเขต: ตลิ่งชัน#1555,"แขวงทางหลวงธนบุรี กรมทางหลวง, กรมทางหลวง, กรมทางหลวงชนบท กระทรวงคมนาคม, ฝ่ายเทศกิจ เขตตลิ่งชัน, เขตตลิ่งชัน, กรุงเทพมหานคร, เพื่อนชัชชาติ, ร้องทุกข์ กทม. 1555",อื่นๆ,รอรับเรื่อง,2024-08-22,10:36 น.,ใช้เวลา 208 วัน 17 ชม.,318,109,,,
2024-GX6QDR,2024-01-21,14:16 น.,รอรับเรื่อง 322 วันที่แล้ว,เขตตลิ่งชัน แขวงฉิมพลี,กำแพงสะพานขึ้นคราบดำสกปรกอยากให้มีการทาสีปรับปรุงให้ดีเรียบร้อยตามผอ ผู้ว่าชีชชาติ,"แขวงทางหลวงธนบุรี กรมทางหลวง, กรมทางหลวง, เขตตลิ่งชัน, เพื่อนชัชชาติ, กรุงเทพมหานคร",อื่นๆ,รอรับเรื่อง,2024-02-07,13:23 น.,ใช้เวลา 16 วัน 23 ชม.,323,306,,,
2023-GZNLVC,2023-12-02,10:05 น.,รอรับเรื่อง 373 วันที่แล้ว,เขตบางแค แขวงหลักสอง,ไม่แสดงรายละเอียด,"แขวงทางหลวงธนบุรี กรมทางหลวง, กรมทางหลวง, เขตบางแค, กรุงเทพโปร่งใส, กรุงเทพมหานคร",ทุจริต,รอรับเรื่อง,2023-12-19,14:47 น.,ใช้เวลา 17 วัน 4 ชม.,373,356,,,
2023-9BBWAR,2023-08-17,15:45 น.,รอรับเรื่อง 479 วันที่แล้ว,เขตบางแค แขวงบางไผ่,เต้นท์รถมือสอง ใช้ฟุตบาทมาจอดรถขายรถของตัวเอง,"แขวงทางหลวงธนบุรี กรมทางหลวง, กรมทางหลวง, เขตบางแค, กรุงเทพมหานคร, เพื่อนชัชชาติ",ทางเท้า,รอรับเรื่อง,2023-08-21,16:44 น.,ใช้เวลา 4 วัน 1 ชม.,480,476,,,
2023-CM3844,2023-08-05,13:31 น.,รอรับเรื่อง 491 วันที่แล้ว,เขตสะพานสูง แขวงราษฎร์พัฒนา,ปัญ หา ถนนพัง ตรง จุดตัด มอเตอร์เวย์ กับถนนสุขาภิบาล 3 เป็นปัญหา มาเนิ่นนาน ไม่ต่างจากปัญหาจีนสีเทาหรือนายทุนผูกขาด เหมือนตบหน้าตำรวจกล่าวคือแม้ว่าจะมีป้ายห้ามรถ มากกว่า 6 ล้อยูเทิร์น แต่ จะเห็นได้ว่ารถ 18-24 ล้อยูเทิร์นทั้งวัน ขนาดมีป้อมตำรวจอยู่ ตรงนั้นแท้ๆ ไม่เคยเห็นตำรวจ ออกจากป้อมมาจับเลย ทำให้ถนนตรงจุดกลับรถดังกล่าว เป็นหลุมเป็นบ่อเยอะมากๆ ทั้งปี ครบปีก็มี มาปะผุใหม่ ทีนึง เห็นแบบนี้มาเป็น10 ปีไม่เคยมีใครแก้ไขได้ทั้งที่แก้ไขง่ายนิดเดียว แค่ให้ตำรวจกวดขันอย่างเข้มงวดหรือตั้งกล้อง แค่นั้นเอง.,"กรมทางหลวง, เขตสะพานสูง, กรุงเทพมหานคร, เพื่อนชัชชาติ",ถนน,เปิดเรื่องใหม่,2023-08-07,16:03 น.,ใช้เวลา 2 วัน 2 ชม.,492,490,,,
2023-88QBAR,2023-08-01,19:39 น.,รอรับเรื่อง 495 วันที่แล้ว,เขตดินแดง แขวงดินแดง,ทางเดิน ฟุตบาท เททรายขอบทางไว้ นานมากๆแล้วยังไม่เสร็จ ทางเดินมีขยะ เศษหิน แก้วแตก วัชพืชขึ้นริมทาง ขยะในคลองระบายน้ำ เยอะมาก ส่งกลิ่นเหม็น,"กรมทางหลวง, เขตพญาไท, กรุงเทพมหานคร, เพื่อนชัชชาติ",ทางเท้า,เปิดเรื่องใหม่,2023-08-05,14:33 น.,ใช้เวลา 3 วัน 18 ชม.,496,492,,,
2023-BWBZ6Q,2023-07-29,18:30 น.,รอรับเรื่อง 498 วันที่แล้ว,เขตบางแค แขวงบางแคเหนือ,ตรงสะพานข้ามแยกบางแค เส้นแบ่งเลนไม่มีเลยครับ มีแต่จางมากเลย อันตรายมากครับ เพราะแต่ละคันขับมั่วกันไปหมดเลย,"แขวงทางหลวงธนบุรี กรมทางหลวง, กรมทางหลวง, เขตบางแค, กรุงเทพมหานคร, เพื่อนชัชชาติ",ต้นไม้,รอรับเรื่อง,2023-08-01,16:18 น.,ใช้เวลา 2 วัน 21 ชม.,499,496,,,
2023-89BKEE,2023-07-20,12:01 น.,รอรับเรื่อง 507 วันที่แล้ว,เขตทวีวัฒนา แขวงศาลาธรรมสพน์,ไม่แสดงรายละเอียด,"แขวงทางหลวงธนบุรี กรมทางหลวง, กรมทางหลวง, กรุงเทพโปร่งใส",อื่นๆ,รอรับเรื่อง,2023-07-28,21:44 น.,ใช้เวลา 8 วัน 9 ชม.,508,500,,,
2023-D83NGF,2023-06-25,19:46 น.,รอรับเรื่อง 532 วันที่แล้ว,แขวงประเวศ,คอสะพานทางลงทรุดหนักจนเริ่มแตกหักและพังทำให้รถยนต์ได้รับความเสียหาย,"กรมทางหลวง, เขตประเวศ, กรุงเทพมหานคร, เพื่อนชัชชาติ",ต้นไม้,เปิดเรื่องใหม่,2023-06-26,14:28 น.,ใช้เวลา 18 ชม. 42 นาที,533,532,,,
