ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากสถานะล่าสุด(วัน),ค่า Median (วัน),ค่า Mean (วัน),ค่า Percentile 90 (วัน)
2023-FUEACT,7 ม.ค. 66,07:34 น.,รอรับเรื่อง 702 วันที่แล้ว,เขตลาดกระบัง,รถขนขยะมาทิ้ง ส่งกลิ่นเหม็น ร่วงเกลื่อนถนน ไม่มีการจัดการที่ดีเลย,"เขตลาดกระบัง, กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี), ผอ.เขตลาดกระบัง (นายธนะสิทธิ์), ฝ่ายรักษาความสะอาดฯ เขตลาดกระบัง, ฝ่ายเทศกิจ เขตลาดกระบัง, ฝ่ายสิ่งแวดล้อมฯ เขตลาดกระบัง, กรุงเทพมหานคร, เพื่อนชัชชาติ",น้ำท่วม,รอรับเรื่อง,2023-01-07,15:14 น.,ใช้เวลา 7 ชม. 40 นาที,702,,,
2023-BQVMN2,6 ม.ค. 66,22:14 น.,รอรับเรื่อง 702 วันที่แล้ว,เขตลาดกระบัง,ร้องเรียนเรื่องขยะกลิ่นเหม็นกับแมลงวันไม่ใช่เรื่องของตกหล่นบนถนนกับเรื่องฝุ่นละอองค่ะ,"เขตลาดกระบัง, กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี), ผอ.เขตลาดกระบัง (นายธนะสิทธิ์), ฝ่ายเทศกิจ เขตลาดกระบัง, ฝ่ายรักษาความสะอาดฯ เขตลาดกระบัง, ฝ่ายสิ่งแวดล้อมฯ เขตลาดกระบัง, กรุงเทพมหานคร, เพื่อนชัชชาติ",น้ำท่วม,รอรับเรื่อง,2023-01-07,15:15 น.,ใช้เวลา 17 ชม. 2 นาที,702,,,
2023-NKTLBR,6 ม.ค. 66,22:04 น.,รอรับเรื่อง 702 วันที่แล้ว,เขตลาดกระบัง,ร้องเรียนเรื่องกลิ่นขยะเหม็นและแมลงวันครับ ไม่ใช่เรื่องวัสดุตกหล่นบนถนนกับฝุ่นละออง,"เขตลาดกระบัง, กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี), ผอ.เขตลาดกระบัง (นายธนะสิทธิ์), ฝ่ายเทศกิจ เขตลาดกระบัง, ฝ่ายรักษาความสะอาดฯ เขตลาดกระบัง, ฝ่ายสิ่งแวดล้อมฯ เขตลาดกระบัง, กรุงเทพมหานคร, เพื่อนชัชชาติ",น้ำท่วม,รอรับเรื่อง,2023-01-07,15:16 น.,ใช้เวลา 17 ชม. 12 นาที,702,,,
2023-A3R7MN,6 ม.ค. 66,21:59 น.,รอรับเรื่อง 702 วันที่แล้ว,เขตลาดกระบัง,ร้องเรียนเรื่องกลิ่นเหม็นและเป็นแหล่งที่อยู่อาศัยของสัตว์นำโรค ไม่ใช่เรื่องวัสดุตกหล่นบนถนนค่ะ,"เขตลาดกระบัง, กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี), ผอ.เขตลาดกระบัง (นายธนะสิทธิ์), ฝ่ายเทศกิจ เขตลาดกระบัง, ฝ่ายสิ่งแวดล้อมฯ เขตลาดกระบัง, ฝ่ายรักษาความสะอาดฯ เขตลาดกระบัง, กรุงเทพมหานคร, เพื่อนชัชชาติ",น้ำท่วม,รอรับเรื่อง,2023-01-07,15:18 น.,ใช้เวลา 17 ชม. 19 นาที,702,,,
2023-HALML2,6 ม.ค. 66,21:35 น.,รอรับเรื่อง 702 วันที่แล้ว,เขตลาดกระบัง,แจ้งขยะส่งกลิ่นเหม็นและเป็นที่อยู่อาศัยของหนูและแมลงวันจำนวนมากครับ ก่อเกิดมลพิษบริเวณใกล้เคียงเป็นอันตรายกับเด็กเล็กครับ,"เขตลาดกระบัง, กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี), ผอ.เขตลาดกระบัง (นายธนะสิทธิ์), ฝ่ายรักษาความสะอาดฯ เขตลาดกระบัง, ฝ่ายเทศกิจ เขตลาดกระบัง, ฝ่ายสิ่งแวดล้อมฯ เขตลาดกระบัง, กรุงเทพมหานคร, เพื่อนชัชชาติ",น้ำท่วม,รอรับเรื่อง,2023-01-07,15:19 น.,ใช้เวลา 17 ชม. 44 นาที,702,,,
2022-HGXFP8,21 ธ.ค. 65,13:31 น.,รอรับเรื่อง 719 วันที่แล้ว,เขตบางกะปิ,สวัสดีครับ ผมมีเรื่องที่จะให้ช่วยแก้ไขครับเป็นความเดือดร้อนของผู้คนชาวรามคำแหง 54 ครับเพราะมีสถานประกอบการอู่ซ่อมรถ ที่ท้ายซอยรามคำแหง 54 (ติดถนนศรีนครินทร์) อู่แห่งนี้เป็นโครงการที่สร้างด้านนอกไม่มีความเกี่ยวข้องกับบ้านในซอยรามคำแหง 54 โดยอู่แห่งนี้กระทำความผิดดังนี่ครับ-ใช้พื้นของซอยรามคำแหง 54 กั้นรั้วเหล็กออกมาเพื่อเก็บของด้านข้างตัวตึก-จอดรถและซ่อมรถโดยใช้ถนนทางเข้าออกของซอยรามคำแหง 54 ทั้ง 2 ฝั่ง-ทุบฟุตบาทด้านหน้าถนนใหญ่-ล่าสุดให้คนงานมาทุบพื้นถนนในซอยเพื่อเป็นทางน้ำทิ้งจากด้านหลังอู่ให้ไหลลงฝาท่อกลางถนน,"เขตบางกะปิ, ฝ่ายโยธา เขตบางกะปิ, กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี), ผอ.เขตบางกะปิ (นายไพรัตน์), กรุงเทพมหานคร, เพื่อนชัชชาติ",อื่นๆ,เปิดเรื่องใหม่,2024-12-09,13:58 น.,ใช้เวลา 718 วัน 5 ชม.,0,,,
2022-NLCXZE,1 ก.ย. 65,22:14 น.,รอรับเรื่อง 829 วันที่แล้ว,เขตบางกะปิ,พื้นฟุตบาตยุบเสียหาย อาจเป็นอันตรายกับคนเดินเท้าได้ (บริเวณปากซอยลาดพร้าว 101 ฝั่งตลาด),"การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย (รฟม.), กองแผนงานและประสานสาธารณูปโภค สำนักการโยธา (กผภ.สนย.) กทม., ฝ่ายโยธา เขตบางกะปิ, สำนักการโยธา กทม., เขตบางกะปิ, กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี), ผอ.เขตบางกะปิ (นายไพรัตน์), กรุงเทพมหานคร, เพื่อนชัชชาติ",ทางเท้า,เปิดเรื่องใหม่,2023-07-30,17:43 น.,ใช้เวลา 331 วัน 19 ชม.,498,,,
2022-EPFKZZ,10 ก.ค. 65,22:12 น.,รอรับเรื่อง 882 วันที่แล้ว,เขตลาดกระบัง,เสาไฟเอียง สายสื่อสารเยอะมาก คะ,"การไฟฟ้านครหลวง เขตลาดกระบัง, เขตลาดกระบัง, กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี), ผอ.เขตลาดกระบัง (นายธนะสิทธิ์), กองบริการการจำหน่าย การไฟฟ้านครหลวงเขตลาดกระบัง, การไฟฟ้านครหลวง MEA, กรุงเทพมหานคร, เพื่อนชัชชาติ",จุดเสี่ยง,เปิดเรื่องใหม่,2023-08-17,13:47 น.,ใช้เวลา 402 วัน 15 ชม.,480,,,
2022-8PEBR4,25 มิ.ย. 65,20:53 น.,รอรับเรื่อง 897 วันที่แล้ว,เขตลาดกระบัง,พื้นที่ ข้างหน้าซอยร่มเกล้า 52/1 หนูอยากให้มีสัณญาณข้ามถนน ทางเท้าม้าลาย ทุกวันข้ามแล้วอันตรายมากก อาศัยความมีน้ำใจของรถที่หยุดให้ แต่น้อยครั้งจะหยุด รถวิ่งเร็วมากก เกิดอุบัติเหตุบ่อย มีข้ามสะพานลอยก็จริงแต่ก็เดินไกลมากไม่รู้จะแจ้งใคร อยากเดินทางไปสอนหนังสือแบบปลอดภัย,"สำนักการจราจรและขนส่ง กรุงเทพมหานคร (สจส.), สำนักงานวิศวกรรมจราจร สวจ. สจส., กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี), ผอ.เขตลาดกระบัง (นายธนะสิทธิ์), กรมทางหลวง, ส่วนออกแบบระบบการจราจร, เพื่อนชัชชาติ, เขตลาดกระบัง, กรุงเทพมหานคร",ทางเท้า,เปิดเรื่องใหม่,2023-03-31,09:27 น.,ใช้เวลา 278 วัน 12 ชม.,619,,,
2022-3FFW2T,23 มิ.ย. 65,18:51 น.,รอรับเรื่อง 899 วันที่แล้ว,,ขุดลอกคลองให้หน่อยครับน้ำไหลผ่านไม่สะดวกเพราะมีหญ้าและผักตบขึ้นเยอะมาก,"เขตลาดกระบัง, เขตหนองจอก, ผอ.เขตลาดกระบัง (นายธนะสิทธิ์), กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี), ผอ.เขตหนองจอก (นายไพโรจน์), กรุงเทพมหานคร, เพื่อนชัชชาติ,",น้ำท่วม,เปิดเรื่องใหม่,2022-12-15,19:17 น.,ใช้เวลา 175 วัน,725,,,
