ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากสถานะล่าสุด(วัน),ค่า Median (วัน),ค่า Mean (วัน),ค่า Percentile 90 (วัน)
PWYUGT,26 ธ.ค. 66,12:54 น.,รอรับเรื่อง 349 วันที่แล้ว,เขตธนบุรี แขวงบุคคโล,ปัญหา: พบถนนขรุขระไม่เสมอกัน เกิดจากการก่อสร้างสถานีรถไฟฟ้าถนน: สมเด็จพระเจ้าตากสินจุดสังเกต: ตั้งแต่ถนนหน้าโรงพยาบาลพระปิ่นเกล้า งบริเวณซอยสมเด็จพระเจ้าตากสิน 20 ไปจนถึง ซอยสมเด็จพระเจ้าตากสิน 22เขต: ธนบุรี#1555,"การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย (รฟม.), เขตธนบุรี, กรุงเทพมหานคร, เพื่อนชัชชาติ, ร้องทุกข์ กทม. 1555",ถนน,เปิดเรื่องใหม่,2024-01-05,10:14 น.,ใช้เวลา 9 วัน 21 ชม.,339,,,
2023-7FWHZY,17 พ.ย. 66,10:00 น.,รอรับเรื่อง 388 วันที่แล้ว,เขตวัฒนา แขวงคลองตันเหนือ,รถโดยสารเส้นเอกมัย มีน้อยมาก รอ20-30 นาทีคนก็อัดแน่น,"องค์การขนส่งมวลชนกรุงเทพ (ขสมก.), เขตวัฒนา, การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย (รฟม.), กรุงเทพมหานคร, เพื่อนชัชชาติ",อื่นๆ,รอรับเรื่อง,2023-11-24,15:22 น.,ใช้เวลา 7 วัน 5 ชม.,381,,,
2023-MXUCFN,14 ก.ค. 66,11:09 น.,รอรับเรื่อง 514 วันที่แล้ว,เขตธนบุรี,ช่วยลงดู การก่อสร้างทางรถไฟ สายสีม่วง ตรงถนนตากสินด้วยค่ะ,"การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย (รฟม.), เขตธนบุรี, เพื่อนชัชชาติ, กรุงเทพมหานคร",ถนน,เปิดเรื่องใหม่,2023-07-18,14:08 น.,ใช้เวลา 4 วัน 2 ชม.,510,,,
2023-DFKNN4,6 ก.ค. 66,16:24 น.,รอรับเรื่อง 521 วันที่แล้ว,เขตธนบุรี แขวงสำเหร่,จักรยานเข็นบนฟุตบาทเกือบจะไม่ได้ และไม่มีทางเลี่ยงเส้นทางอื่นได้เลย ขอความช่วยเหลือจากหน่วยงานที่เกี่ยวข้องค่ะ,"การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย (รฟม.), เขตธนบุรี, กรุงเทพมหานคร, เพื่อนชัชชาติ",ทางเท้า,เปิดเรื่องใหม่,2023-07-07,10:37 น.,ใช้เวลา 18 ชม. 14 นาที,521,,,
2023-AHCBQH,27 มิ.ย. 66,06:51 น.,รอรับเรื่อง 531 วันที่แล้ว,เขตห้วยขวาง แขวงห้วยขวาง,อยากให้ตีเส้นถนนที่ถนนเทียมร่วมมิตร,"การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย (รฟม.), สำนักการจราจรและขนส่ง กรุงเทพมหานคร (สจส.), เขตห้วยขวาง, เพื่อนชัชชาติ, กรุงเทพมหานคร",ถนน,เปิดเรื่องใหม่,2023-07-26,12:18 น.,ใช้เวลา 29 วัน 5 ชม.,502,,,
2023-ENNTXN,18 มิ.ย. 66,18:41 น.,รอรับเรื่อง 539 วันที่แล้ว,เขตราษฎร์บูรณะ แขวงบางปะกอก,อยากให้คุณชัชชาติหรือทีมงานลงมาดูการก่อสร้างรถไฟฟ้าสายสีม่วงบริเวณแยกบางปะแก้ว ช่วงเข้าๆรถติดหนักมากบางวันยังไม่7โมงดีท้ายแถวยาวถึงเซ็นทรัลพระราม 2 แจ้งปัญไปกี่รอบแล้ว ทาง รหม.กับตำรวจจราจรไม่สามารถแก้ไขอะไรได้เลย,"การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย (รฟม.), เขตจอมทอง, กรุงเทพมหานคร, เพื่อนชัชชาติ",ต้นไม้,เปิดเรื่องใหม่,2023-06-19,19:47 น.,ใช้เวลา 1 วัน 1 ชม.,539,,,
2023-B2EBD3,11 พ.ค. 66,19:17 น.,รอรับเรื่อง 577 วันที่แล้ว,เขตคลองสาน แขวงสมเด็จเจ้าพระยา,ช่องทางจราจรบริเวณถนนประชาธิปกตัดกับถนนอิสรภาพ ซึ่งกำลังทำรถไฟฟ้าอยู่ ช่องทางจราจรเลนขวาสุดมีขนาดเล็กมาก,"การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย (รฟม.), เขตธนบุรี, เพื่อนชัชชาติ, กรุงเทพมหานคร",ถนน,เปิดเรื่องใหม่,2023-05-12,16:03 น.,ใช้เวลา 20 ชม. 47 นาที,577,,,
2023-4QHZY7,25 เม.ย. 66,23:16 น.,รอรับเรื่อง 593 วันที่แล้ว,เขตสายไหม แขวงสายไหม,เพ้นติ้งแผ่นกั้นเสียงข้างถนนเกือบทุกแผ่นแล้วครับรบกวนลบทำความสะอาดให้หน่อยครับ ไม่ทราบน้ำมันสนใช้ได้มั้ยครับ,"เขตสายไหม, การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย (รฟม.), กรุงเทพมหานคร, เพื่อนชัชชาติ",อื่นๆ,เปิดเรื่องใหม่,2023-04-27,12:36 น.,ใช้เวลา 1 วัน 13 ชม.,592,,,
2023-4KFHDR,9 มี.ค. 66,13:27 น.,รอรับเรื่อง 641 วันที่แล้ว,เขตจตุจักร แขวงจันทรเกษม,ปิดถนนทำรถไฟฟ้าหรือเพื่อหล่อปูน 1 เดือนยังไม่ทำไร แต่ทำรถติดทุกวัน,"การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย (รฟม.), เขตจตุจักร, กรุงเทพมหานคร, เพื่อนชัชชาติ",ผิดกฎจราจร,เปิดเรื่องใหม่,2023-05-21,08:16 น.,ใช้เวลา 72 วัน 18 ชม.,568,,,
2023-9WZ3QN,28 ก.พ. 66,15:14 น.,รอรับเรื่อง 649 วันที่แล้ว,เขตบางกะปิ แขวงหัวหมาก,ปัญหาทางเท้า แคบป้าย ซอย ไม่ชัดเจนมีหลุม มี บ่อครับ,"การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย (รฟม.), เขตบางกะปิ, กรุงเทพมหานคร, เพื่อนชัชชาติ",จุดเสี่ยง,เปิดเรื่องใหม่,2023-03-08,20:48 น.,ใช้เวลา 8 วัน 5 ชม.,642,,,
