ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากวันที่เริ่มแจ้ง(วัน),ระยะเวลาจากสถานะล่าสุด(วัน),ค่า Median (วัน),ค่า Mean (วัน),ค่า Percentile 90 (วัน)
2XV9WJ,2023-12-27,17:13 น.,รอรับเรื่อง 347 วันที่แล้ว,เขตบางกอกใหญ่ แขวงวัดท่าพระ,ปัญหา: พบดวงไฟฟ้าส่องสว่างทางดับชำรุด จำนวน 1 ดวง ทำให้บริเวณดังกล่าวมืดมากบ้านเลขที่: 1007/1ซอย: อิสรภาพ 33 ซอย 8ถนน: อิสรภาพ จุดสังเกต: ไฟส่องสว่างทางหน้าบ้านเลขที่ตามที่ระบุ ภายในซอยแยกดังกล่าวเขต: บางกอกใหญ่#1555,"การไฟฟ้านครหลวง เขตธนบุรี, เขตบางกอกใหญ่, การไฟฟ้านครหลวง MEA, กรุงเทพมหานคร, เพื่อนชัชชาติ, ร้องทุกข์ กทม. 1555",อื่นๆ,เปิดเรื่องใหม่,2024-01-15,20:05 น.,ใช้เวลา 19 วัน 2 ชม.,348,329,,,
2023-LW6BUR,2023-07-22,22:11 น.,รอรับเรื่อง 505 วันที่แล้ว,เขตจอมทอง แขวงบางมด,ไฟส่องตามทางตามคลองด้านหลังพุทธบูชา คลองลัดขี้เหล็กคลองบางมดอยากให้มีไฟส่องตามคลอง,"การไฟฟ้านครหลวง เขตราษฎร์บูรณะ, กองระบบคลอง สำนักการระบายน้ำ, สำนักการระบายน้ำ กทม., ฝ่ายโยธา เขตจอมทอง, เขตจอมทอง, การไฟฟ้านครหลวง MEA, เพื่อนชัชชาติ, กรุงเทพมหานคร",อื่นๆ,เปิดเรื่องใหม่,2023-07-27,23:47 น.,ใช้เวลา 5 วัน 1 ชม.,506,501,,,
2023-BHARRX,2023-06-21,08:21 น.,รอรับเรื่อง 537 วันที่แล้ว,เขตธนบุรี,ไฟริมทางเดินหน้าโรงเรียนมณีวิทยาดับอีกแล้วครับ ก่อนหน้านี้เคยมาแก้ไขแล้ว 1 ครั้ง,"เขตธนบุรี, กรมทางหลวงชนบท กระทรวงคมนาคม, การไฟฟ้านครหลวง เขตยานนาวา, Bangkok Smart Lighting (สำนักการโยธา กทม.), การไฟฟ้านครหลวง MEA, เพื่อนชัชชาติ, กรุงเทพมหานคร",อื่นๆ,ส่งต่อ,2024-10-16,10:52 น.,ใช้เวลา 483 วัน 2 ชม.,537,54,,,
2023-KGW2NY,2023-03-30,15:11 น.,รอรับเรื่อง 619 วันที่แล้ว,เขตสะพานสูง แขวงสะพานสูง,ไฟส่องทางในซอย ดับเกือบทุกต้น,"การไฟฟ้านครหลวง เขตลาดกระบัง, ฝ่ายโยธา เขตสะพานสูง, เขตสะพานสูง, กรุงเทพมหานคร, เพื่อนชัชชาติ, การไฟฟ้านครหลวง MEA",อื่นๆ,เปิดเรื่องใหม่,2023-07-24,22:06 น.,ใช้เวลา 116 วัน 6 ชม.,620,504,,,
7CY972,2023-03-13,12:35 น.,รอรับเรื่อง 636 วันที่แล้ว,เขตบางนา แขวงบางนา,ปัญหา: ไฟฟ้าดับตั้งแต่จุดเกิดเหตุ: เข้าไปในซอยอุดมสุข 24 ประมาณ 300 เมตร พอเจอสามแยกแล้วเลี้ยวขวา ประตูรั้วสีครีมบ้านเลขที่: 98ซอย: อุดมสุข 24ถนน: อุดมสุขเขต: บางนา#1555,"การไฟฟ้านครหลวง เขตบางนา, การไฟฟ้านครหลวง เขตบางใหญ่, ฝ่ายโยธา เขตบางนา, เขตบางนา, การไฟฟ้านครหลวง MEA, กรุงเทพมหานคร, เพื่อนชัชชาติ, ร้องทุกข์ กทม. 1555",อื่นๆ,เปิดเรื่องใหม่,2024-02-12,19:05 น.,ใช้เวลา 336 วัน 6 ชม.,637,301,,,
2023-NVUQL8,2023-03-06,19:15 น.,รอรับเรื่อง 643 วันที่แล้ว,เขตสะพานสูง แขวงสะพานสูง,ไฟถนนดับ1ดวง ต้นหมายเลข29 มีป้ายหาเสียงปิดทับอยู่,"การไฟฟ้านครหลวง เขตลาดกระบัง, ฝ่ายโยธา เขตสะพานสูง, เขตสะพานสูง, กรุงเทพมหานคร, เพื่อนชัชชาติ, การไฟฟ้านครหลวง MEA",อื่นๆ,เปิดเรื่องใหม่,2023-07-24,22:28 น.,ใช้เวลา 140 วัน 3 ชม.,644,504,,,
2023-6GY7BF,2023-03-04,09:57 น.,รอรับเรื่อง 646 วันที่แล้ว,เขตบางกอกน้อย,สายสัญญาณห้อยระโยงระยาง กีดขวางบริเวณทางเดินเท้า ใกล้กับโรงพยาบาลวิชัยเวช และซอยจรัญ 28/5 เกรงว่าจะเป็นอันตรายต่อคนเดินสัญจรไปมาครับ,"เขตบางกอกน้อย, การไฟฟ้านครหลวง เขตธนบุรี, สำนักงาน กสทช. (ศูนย์รับแจ้งปัญหา 1200), การไฟฟ้านครหลวง MEA, กรุงเทพมหานคร, เพื่อนชัชชาติ",จุดเสี่ยง,เปิดเรื่องใหม่,2023-03-20,19:05 น.,ใช้เวลา 16 วัน 9 ชม.,646,630,,,
2023-8XGEN3,2023-02-21,18:53 น.,รอรับเรื่อง 656 วันที่แล้ว,เขตสะพานสูง แขวงสะพานสูง,ไฟฟ้า ส่องสว่าง ใกล้ชุมชน,"การไฟฟ้านครหลวง เขตลาดกระบัง, ฝ่ายโยธา เขตสะพานสูง, เขตสะพานสูง, กรุงเทพมหานคร, เพื่อนชัชชาติ, การไฟฟ้านครหลวง MEA",อื่นๆ,เปิดเรื่องใหม่,2023-05-25,21:57 น.,ใช้เวลา 93 วัน 3 ชม.,657,564,,,
2023-BRWE74,2023-02-09,23:51 น.,รอรับเรื่อง 668 วันที่แล้ว,เขตลาดพร้าว แขวงลาดพร้าว,สายบนเสาไฟร่วงลงมา,"การไฟฟ้านครหลวง เขตนวลจันทร์, เขตลาดพร้าว, สำนักงาน กสทช. (ศูนย์รับแจ้งปัญหา 1200), การไฟฟ้านครหลวง MEA, เพื่อนชัชชาติ, กรุงเทพมหานคร",ถนน,เปิดเรื่องใหม่,2023-02-11,13:27 น.,ใช้เวลา 1 วัน 13 ชม.,669,667,,,
2022-78THWB,2022-08-03,11:59 น.,รอรับเรื่อง 858 วันที่แล้ว,เขตราษฎร์บูรณะ,เสาไฟฟ้า หน้าปากซอยสุขสวัสดิ์34 ชำรุดมานานมาก เนื่องจากรถบรรทุกชน,"การไฟฟ้านครหลวง เขตราษฎร์บูรณะ, เขตราษฎร์บูรณะ, การไฟฟ้านครหลวง MEA, กรุงเทพมหานคร, เพื่อนชัชชาติ",จุดเสี่ยง,เปิดเรื่องใหม่,2022-08-03,14:23 น.,ใช้เวลา 2 ชม. 24 นาที,859,859,,,
