ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากวันที่เริ่มแจ้ง(วัน),ระยะเวลาจากสถานะล่าสุด(วัน),ค่า Median (วัน),ค่า Mean (วัน),ค่า Percentile 90 (วัน)
2024-63N4CM,2024-12-08,17:22 น.,รอรับเรื่อง 18 ชั่วโมงที่แล้ว,เขตวัฒนา แขวงคลองเตยเหนือ,น้ำท่วมขังนาน น้ำเน่าดำ ไม่ลด ส่ง จนทไปดูละทำอะไรไม่ได้ ต้องการให้ทางเขตส่ง จนท ล้วงท่อตรงปากซอย 21 คาวบอย,"ฝ่ายโยธา เขตวัฒนา, เขตวัฒนา, กรมป้องกันและบรรเทาสาธารณภัย, ร้องทุกข์ กทม. 1555, กรุงเทพมหานคร, ศูนย์อำนวยการบรรเทาสาธารณภัย ส่วนกลาง, ศปก. อว. กรุงเทพมหานคร, ศูนย์ปฏิบัติการสถานการณ์น้ำท่วม อว. (ศปก. อว.)",ภัยอื่นๆ,รอรับเรื่อง,2024-12-08,20:21 น.,ใช้เวลา 2 ชม. 59 นาที,1,1,,,
YJXWVB,2024-09-05,10:42 น.,รอรับเรื่อง 95 วันที่แล้ว,แขวงรัชดาภิเษก,ปัญหา: ภายในซอยดังกล่าว พบดวงไฟฟ้าส่องสว่างทางดับชำรุด จำนวน 3 จุด ขอให้เจ้าหน้าที่ติดต่อผู้ร้องในช่วงเวลา 17.00 น. หรือวันหยุดจุดที่ 1. บริเวณบ้านเลขที่ 264 เสาต้นที่ 8 และต้นที่ 9 จุดที่ 2. บริเวณบ้านเลขที่ 312 เสาต้นที่ 14จุดที่ 3. ภายในซอยแยก (พร้อมสุดอนุสรณ์) เสาต้นที่ 6อ้างอิงเลขที่รับแจ้ง FGVTT7เจ้าหน้าที่แจ้งกลับมาเมื่อวันที่ 4 ก.ย. 67แจ้งว่า สำนักการโยธา กทม. ขอขอบคุณสำหรับการแจ้งข้อมูลสำหรับพื้นที่ดังกล่าว สำนักการโยธา ได้ลงพื้นที่ตรวจสอบและดำเนินการแก้ไขเรียบร้อยแล้ว ตามภาพถ่ายที่แนบสำนักการโยธา กทม. ขอบพระคุณอีกครั้งสำหรับการแจ้งปัญหาให้เราทราบ//ผู้ร้องแจ้งว่า ปัจจุบันปัญหาดังกล่าวยังไม่ได้รับการแก้ไข ยังคงพบดวงไฟฟ้าส่องสว่างทางดับชำรุดเช่นเดิม จึงขอให้เจ้าหน้าที่เข้ามาตรวจสอบอีกครั้งซอย: อินทรามระ 41ถนน: สุทธิสารวินิจฉัยจุดสังเกต: จุดที่ 1. เข้าไปภายในซอยดังกล่าว ประมาณ 200 เมตรจุดที่ 2. เข้าไปภายในซอยดังกล่าว ประมาณ 500 เมตร เลยคอนโด family อยู่บริเวณหัวโค้งจุดที่ 3. เข้าไปภายในซอยแยกดังกล่าว ประมาณ 100 เมตร อยู่บริเวณหัวโค้งเขต: ดินแดง#1555,"ศูนย์เครื่องมือกล ส่วนก่อสร้างและบูรณะ 1 สำนักงานก่อสร้างและบูรณะ (สกบ.สนย.), ร้องทุกข์ กทม. 1555, สำนักการโยธา กทม., เขตดินแดง, กรุงเทพมหานคร",ไฟฟ้า,เปิดเรื่องใหม่,2024-12-09,11:28 น.,ใช้เวลา 95 วัน,95,0,,,
7LHKPD,2024-08-22,18:16 น.,รอรับเรื่อง 108 วันที่แล้ว,เขตบางแค แขวงบางแค,ปัญหา: เรื่องเดิม บนสะพานลอยหน้าสถานีบริการน้ำมันคาลเท็กซ์ ถนนกาญจาภิเษก เลี้ยวจากเดอะมอลล์บางแค มุ่งหน้าไปถนนพระรามที่ 2 (เป็นสะพานลอยที่ยาวมาก) บริเวณนี้ค่อนข้างเปลี่ยว ไม่มีกล้องวงจรปิด CCTV เกรงว่าประชาชนสัญจรไปมาในเวลากลางคืนจะได้รับอันตราย อ้างอิงเลขที่รับแจ้ง MUVHXL เมื่อวันที่ 3 เม.ย. 67 เจ้าหน้าที่ตอบกลับมาว่า เขตบางแค ส่งต่อไปยัง แขวงทางหลวงธนบุรี กรมทางหลวงปัจจุบันผู้ร้องแจ้งว่า อยากให้ทาง กทม.เร่งดำเนินการติดกล้อง CCTV บริเวณดังกล่าวเพื่อสร้างความอุ่นใจให้กับประชาชนถนน: กาญจนาภิเษกจุดสังเกต: สะพานลอยดังกล่าวจะอยู่เยื้องกับหมู่บ้านสุขสันต์ 6เขต: บางแค#1555,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตบางแค, กรุงเทพมหานคร, ร้องทุกข์ กทม. 1555",จุดเสี่ยง,รอรับเรื่อง,2024-08-23,11:41 น.,ใช้เวลา 17 ชม. 26 นาที,109,108,,,
XXTXAW,2024-08-19,15:03 น.,รอรับเรื่อง 111 วันที่แล้ว,เขตบางแค แขวงบางแค,ปัญหา: บนถนนดังกล่าว บริเวณหน้าห้างสรรพสินค้า ดิ เอ็กซ์เพลส มอลล์ พบยางมะตอยบนผิวการจราจรหลุดร่อนออกมา ทำให้เป็นหลุมเป็นบ่อ เป็นระยะทาง 3-4 เมตร ถนน: กาญจนาภิเษกจุดสังเกต: ถนนกาญจนาภิเษกฝั่งขาเข้า มุ่งหน้าไปพระราม 2เขต: บางแค#1555,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตบางแค, กรุงเทพมหานคร, ร้องทุกข์ กทม. 1555",ถนน,รอรับเรื่อง,2024-08-21,09:00 น.,ใช้เวลา 1 วัน 17 ชม.,112,110,,,
XGAULT,2024-08-07,14:17 น.,รอรับเรื่อง 123 วันที่แล้ว,เขตคลองสาน แขวงคลองสาน,ศูนย์เรื่องราวร้องทุกข์ ได้รับการประสานผ่านระบบการจัดการเรื่องราวร้องทุกข์ สำนักงานปลัดสำนักนายกรัฐมนตรี ทำเนียบรัฐบาล รหัสเรื่อง นร02670031318ขอให้แก้ไขปัญหาขยะล้นเกลื่อนทางเดินเท้า บริเวณ ซอยเจริญนคร 1 แขวงคลองต้นไทร เขตคลองสาน กรุงเทพมหานคร จุดสังเกต บริเวณดังกล่าวจะเริ่มตั้งแต่จุดจอดท่าเรือคลองสาน โดยผู้ร้องแจ้งว่าเมื่อขึ้นฝั่งมาจากบริเวณท่าเรือคลองสานแล้ว จะมีทางเดินเท้าจากท่าเรือไปยังซอยเจริญนคร 1 ซึ่งเส้นทางดังกล่าวจะมีความกว้างประมาณ 5 เมตร มีระยะทางประมาณ 100 เมตร โดยฝั่งตรงข้ามจะเป็นท่าเรือข้ามฟากสี่พระยาและฝั่งซ้ายมือจะใกล้เคียงกับศูนย์การค้าไอคอนสยาม ซึ่งผู้ร้องแจ้งว่าพื้นที่ดังกล่าวอยู่ในความรับผิดชอบของการรถไฟแห่งประเทศไทยและสำนักงานเขตคลองสาน (บันทึกข้อมูลตามผู้ร้อง) เนื่องจากผู้ร้องแจ้งว่า บริเวณเส้นทางดังกล่าวเป็นจุดที่ประชาชนและนักท่องเที่ยวใช้เดินทางเท้าเป็นจำนวนมาก เพราะเป็นจุดจอดของเรือข้ามฟาก โดยเมื่อลงเรือบริเวณท่าเรือคลองสานแล้ว จะต้องพบกับเส้นทางดังกล่าว ซึ่งผู้ร้องพบเห็นปัญหาขยะล้นเกลื่อนบนถนนและในบริเวณพื้นที่โล่งแจ้งด้านข้างทางเดินเป็นจำนวนมาก พร้อมทั้งยังมีสิ่งของต่าง ๆ ที่ทำการรื้อถอนจากตลาดนัดที่เคยจัดตั้งในบริเวณดังกล่าว (บันทึกข้อมูลตามผู้ร้องแจ้ง) ส่งผลกระทบให้ประชาชนที่เดินทางเท้าได้รับความเดือดร้อนเป็นอย่างมากเพราะ ทำให้พื้นที่ดังกล่าวและพื้นที่ใกล้เคียงโดยรอบ มีเศษขยะต่าง ๆ ร่วงหล่นอยู่เป็นจำนวนมาก และทำให้ผู้ร้องรู้สึกไม่พอใจเป็นอย่างมากเพราะการรถไฟแห่งประเทศไทยและสำนักงานเขตคลองสาน ไม่ได้มีการจัดการปัญหาขยะล้นเกลื่อนถนนในบริเวณเส้นทางดังกล่าว พบเห็นปัญหามาเป็นระยะเวลาประมาณ 1 ปีแล้ว จึงประสงค์ให้หน่วยงานที่เกี่ยวข้องดำเนินการแก้ไขปัญหาขยะล้นเกลื่อนทางเดินเท้า เพื่อบรรเทาความเดือดร้อนให้ประชาชนและนักท่องเที่ยวต่อไป (ผู้ร้องประสงค์ให้ปกปิด ชื่อ-นามสกุลและหมายเลขโทรศัพท์)////หมายเหตุ ปักหมุดที่สำนักงานเขตเพราะไม่สามารถปักละติจูด ลองติจูด ที่ชัดเจนได้ กรุณาอ่านรายละเอียดสถานที่จากรายละเอียดการแจ้งเป็นหลัก//ศูนย์ฯ ประสานมาเพื่อตรวจสอบและดำเนินการและโปรดพิจารณาให้ความคุ้มครองผู้ร้องและผู้เกี่ยวข้องอย่าให้ต้องรับภัยหรือความไม่ชอบธรรมอันเนื่องมาจากการร้องเรียนการเป็นพยาน หรือการให้ข้อมูลนั้น #ศรท #ศรท1111#1555 #citydata,"ร้องทุกข์ กทม. 1555, ฝ่ายรักษาความสะอาดฯ เขตคลองสาน, เขตคลองสาน, การรถไฟแห่งประเทศไทย, กรุงเทพมหานคร",ความสะอาด,รอรับเรื่อง,2024-12-03,14:44 น.,ใช้เวลา 118 วัน,124,6,,,
ELMYV7,2024-04-29,16:44 น.,รอรับเรื่อง 223 วันที่แล้ว,เขตบางรัก แขวงสีลม,ปัญหา: เดิมแจ้งเรื่อง ตลอดทั้งซอยดังกล่าว โดยเฉพาะหน้าร้าน Maison Dunand และหน้าร้าน Alpea พบสายสีดำ (ไม่ทราบประเภท) ห้อยพันกันไม่เป็นระเบียบ เป็นจำนวนมาก เกรงว่าอาจเกิดอันตรายได้อ้างอิงเลขที่รับแจ้ง DFVLTV ตรวจสอบจากระบบ ส่งต่อ เมื่อวันที่21 ม.ค. 67 เจ้าหน้าที่แจ้งว่า เขตบางรัก ส่งต่อไปยัง สำนักงานคณะกรรมการกิจการกระจายเสียง กิจการโทรทัศน์และกิจการโทรคมนาคมแห่งชาติ (กสทช.)ปัจจุบันผู้ร้องแจ้งว่า ปัญหายังไม่ได้รับการแก้ไขแต่อย่างใด สายสื่อสารไม่เป็นระเบียบ ขอให้เร่งดำเนินการ เนื่องจากแจ้งเรื่องมานานแล้ว และบริเวณดังกล่าวมีนักท่องเที่ยวจำนวนมาก (ขอให้เจ้าหน้าที่ติดต่อกลับผู้ร้อง)ซอย: สาทร 10ถนน: สาทรเหนือเขต: บางรัก#1555,"เขตบางรัก, สำนักงาน กสทช. (ศูนย์รับแจ้งปัญหา 1200), กรุงเทพมหานคร, ร้องทุกข์ กทม. 1555",จุดเสี่ยง,เปิดเรื่องใหม่,2024-05-03,18:28 น.,ใช้เวลา 4 วัน 1 ชม.,224,220,,,
Z9JWF7,2024-04-03,13:25 น.,รอรับเรื่อง 249 วันที่แล้ว,เขตบางขุนเทียน แขวงแสมดำ,ปัญหา: ภายในซอยดังกล่าว พบเห็นมีรถบรรทุกขนาดใหญ่ สัญจรผ่านไปมา เกิดเสียงดัง อีกทั้งยังทำให้บ้านเรือนเกิดการสั่นสะเทือน ชำรุดเสียหาย ขับรถโดยไม่มีการชะลอความเร็วด้วย ช่วงเวลาประมาณ 09.00 - 11.00 น.ซอย: บางกระดี่ 30ถนน: บางกระดี่เขต: บางขุนเทียน#1555,"สน.แสมดำ, เขตบางขุนเทียน, สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), กองบังคับการตำรวจนครบาล 9 (บก.น.9), กรุงเทพมหานคร, ร้องทุกข์ กทม. 1555",เสียง,เปิดเรื่องใหม่,2024-04-10,16:44 น.,ใช้เวลา 7 วัน 3 ชม.,250,243,,,
BYW6UK,2024-02-20,09:29 น.,รอรับเรื่อง 293 วันที่แล้ว,เขตลาดกระบัง แขวงคลองสามประเวศ,ปัญหา: บริเวณถนนดังกล่าว ตั้งแต่แยกร่มเกล้าถึงลาดกระบัง ใกล้กับสถานีรถไฟฟ้าแอร์พอร์ต เรล ลิงก์ ลาดกระบัง พบเห็นมีการจราจรติดขัดหนาแน่น เนื่องจากถนนที่บริเวณดังกล่าวจะเชื่อมติดต่อกัน ผู้ร้องต้องการให้หาทางระบายรถออกจากมอเตอร์เวย์ที่จะมุ่งหน้าไปร่มเกล้า เพื่อแก้ไขปัญหาการจราจรติดขัดในช่วงเวลาเช้า-เย็นถนน: ร่มเกล้าเขต: ลาดกระบัง#1555,"สน.ลาดกระบัง, เขตลาดกระบัง, กองบังคับการตำรวจนครบาล 3 (บก.น.3), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), กรุงเทพมหานคร, เพื่อนชัชชาติ, ร้องทุกข์ กทม. 1555",ผิดกฎจราจร,เปิดเรื่องใหม่,2024-05-10,07:44 น.,ใช้เวลา 79 วัน 22 ชม.,293,213,,,
DWM7Z6,2024-02-08,14:38 น.,รอรับเรื่อง 304 วันที่แล้ว,เขตพระนคร แขวงบางขุนพรหม,ปัญหา: หน้าบ้านเลขที่ 42 พบท่อระบายน้ำอุดตัน ไม่สามารถระบายน้ำออกได้ เกรงว่าเวลาฝนตกอาจเกิดน้ำท่วมบ้านและภายในซอยบ้านเลขที่: 42ซอย: เทเวศร์ 1ถนน: กรุงเกษมจุดสังเกต: บริเวณต้นซอยดังกล่าว ซ้ายมือบ้านหลังแรกเขต: พระนคร#1555,"กองระบบท่อระบายน้ำ สำนักการระบายน้ำ, สำนักการระบายน้ำ กทม., ฝ่ายโยธา เขตพระนคร, เขตพระนคร, ร้องทุกข์ กทม. 1555, กรุงเทพมหานคร, เพื่อนชัชชาติ",น้ำท่วม,เปิดเรื่องใหม่,2024-04-20,18:18 น.,ใช้เวลา 72 วัน 3 ชม.,305,233,,,
WV4VW7,2024-02-07,22:38 น.,รอรับเรื่อง 305 วันที่แล้ว,เขตลาดกระบัง แขวงลาดกระบัง,ปัญหา: บริเวณสถานีรถไฟฟ้าแอร์พอร์ตลิงค์ ลาดกระบัง พบรถสองแถวจอดคร่อมทางรถไฟขวางทางเข้าออกบริเวณหน้าสถานีถนน: ร่มเกล้าเขต: ลาดกระบัง#1555,"สน.ลาดกระบัง, เขตลาดกระบัง, กองบังคับการตำรวจนครบาล 3 (บก.น.3), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), กรุงเทพมหานคร, เพื่อนชัชชาติ, ร้องทุกข์ กทม. 1555",ผิดกฎจราจร,เปิดเรื่องใหม่,2024-05-10,07:53 น.,ใช้เวลา 92 วัน 9 ชม.,306,213,,,
