ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากสถานะล่าสุด(วัน),ค่า Median (วัน),ค่า Mean (วัน),ค่า Percentile 90 (วัน)
2024-N79CZM,23 พ.ย. 67,12:37 น.,รอรับเรื่อง 16 วันที่แล้ว,เขตบางรัก แขวงสีลม,สัญญาณไฟคนข้ามถนนหน้าธนาคารกรุงเทพมีปัญหา,"เขตบางรัก, กลุ่มงานสัญญาณไฟจราจร สวจ.สจส., สำนักการจราจรและขนส่ง กรุงเทพมหานคร (สจส.), กรุงเทพมหานคร",อุปกรณ์ชำรุด,เปิดเรื่องใหม่,2024-12-06,10:05 น.,ใช้เวลา 12 วัน 21 ชม.,3,,,
2024-7P4CYV,1 ม.ค. 67,11:01 น.,รอรับเรื่อง 343 วันที่แล้ว,เขตบางรัก,ขอเสนอให้ทำเหล็กเป็น ซีกๆ มาติดตั้งตรงเกาะข้ามถนนตรงสีลม ช่วงแถวสีลมซอย 4 ครับ.เนื่องจากตอนนี้กลายเป็นที่กลับรถของสามล้อ และมอเตอร์ไซด์ไปแล้วครับ,"กลุ่มงานวางแผนและออกแบบ 2, สำนักการจราจรและขนส่ง กรุงเทพมหานคร (สจส.), เขตบางรัก, เพื่อนชัชชาติ, กรุงเทพมหานคร",อื่นๆ,เปิดเรื่องใหม่,2024-12-02,08:50 น.,ใช้เวลา 335 วัน 21 ชม.,7,,,
2023-FKY634,6 พ.ย. 66,23:16 น.,รอรับเรื่อง 398 วันที่แล้ว,เขตวัฒนา แขวงคลองตันเหนือ,ป้ายเขตโรงเรียนยังเป็นป้ายเเบบชั่วคราวไม่ได้ปรับปรุงใหม่,"สำนักการจราจรและขนส่ง กรุงเทพมหานคร (สจส.), เขตวัฒนา, เพื่อนชัชชาติ, กรุงเทพมหานคร",อื่นๆ,เปิดเรื่องใหม่,2024-12-05,23:44 น.,ใช้เวลา 395 วัน,4,,,
X8MXD7,8 ก.ย. 66,13:40 น.,รอรับเรื่อง 458 วันที่แล้ว,เขตดินแดง แขวงดินแดง,ศูนย์เรื่องราวร้องทุกข์ ได้รับการประสานผ่านระบบการจัดการเรื่องราวร้องทุกข์ สำนักงานปลัดสำนักนายกรัฐมนตรี ทำเนียบรัฐบาล รหัสเรื่อง นร02660035608ขอเสนอความคิดเห็นเกี่ยวกับการเพิ่มเติมต่อเส้นทางการเดินรถของรถไฟฟ้าสายสีทอง ประชาชนประสงค์ให้มีต่อเส้นทางการเดินรถไปถึงโรงพยาบาลศิริราช กรุงเทพมหานคร เพราะในขณะนี้ได้มีการเดินเส้นทางถึงสถานีโรงเรียนศึกษานารี หากมีการเพิ่มเติมเส้นทางจะเป็นการอำนวยความสะดวกในการเดินทางไปยังโรงพยาบาลศิริราช วังหลัง หรือพื้นที่บริเวณใกล้เคียงบริเวณนั้น //หมายเหตุ ปักหมุดที่สำนักงานเขตเพราะไม่สามารถปักละติจูด ลองติจูด ที่ชัดเจนได้ กรุณาอ่านรายละเอียดสถานที่จากรายละเอียดการแจ้งเป็นหลักศูนย์ฯ ประสานมาเพื่อตรวจสอบและดำเนินการ และโปรดพิจารณาให้ความคุ้มครองผู้ร้องและผู้เกี่ยวข้องอย่าให้ต้องรับภัย หรือความไม่ชอบธรรมอันเนื่องมาจากการร้องเรียน การเป็นพยาน หรือการให้ข้อมูลนั้น #ศรท #ศรท1111#1555 #citydata,"สำนักการจราจรและขนส่ง กรุงเทพมหานคร (สจส.), ร้องทุกข์ กทม. 1555, เขตดินแดง, รองปลัดฯ นายณรงค์ เรืองศรี, กรุงเทพมหานคร, เพื่อนชัชชาติ",เสนอแนะ,รอรับเรื่อง,2024-06-04,08:24 น.,ใช้เวลา 269 วัน 18 ชม.,188,,,
2023-8MX86E,26 ก.ค. 66,18:06 น.,รอรับเรื่อง 501 วันที่แล้ว,เขตดินแดง,ฟุตบาทพังชิบหายมาหลายเดือนแล้ว เมื่อไหร่จะมาทำงานซะทีวะ รอบิดาพวกคุณตกหลุมกันก่อนหรอไง เฮงซวย,"สำนักการจราจรและขนส่ง กรุงเทพมหานคร (สจส.), กองแผนงานและประสานสาธารณูปโภค สำนักการโยธา (กผภ.สนย.) กทม., สำนักการโยธา กทม., เขตดินแดง, รองปลัดฯ นายณรงค์ เรืองศรี, สำนักงานระบบขนส่ง สขส. สจส., เพื่อนชัชชาติ, กรุงเทพมหานคร",ทางเท้า,รอรับเรื่อง,2023-08-19,13:54 น.,ใช้เวลา 23 วัน 19 ชม.,478,,,
6UC6PB,4 ก.ค. 66,17:22 น.,รอรับเรื่อง 523 วันที่แล้ว,เขตบางแค แขวงบางไผ่,ปัญหา: ประชาชนแจ้งว่า ต้องการให้ย้ายป้ายรถเมลล์กลับมาจุดเดิม เนื่องจากไม่ได้รับความสะดวกจุดป้ายใหม่ปัญหาก็คือ ถนนพุทธมณฑลสาย2 จุดที่มีปัญหา ซอย 11 มันเป็นทางเข้าไปซึ่งจะไปได้หลายๆจุด ซึ่งมันไม่ใช่ซอยตัน ในตอนเช้ามาจะปกติมีป้ายรถเมล์อยู่ เวลาออกจากซอยทางซ้ายมือตัวเองจะแล้วเลี้ยวไปขึ้นรถเมล์ทางซ้ายมือซึ่งจะสะดวก ไปตามถนน ทีนี้ทางเส้นถนนมณฑลมีคนมาใช้บริการกันเยอะ เพราะในซอกซอยจะตัดไปเส้นทางอื่นๆได้ ต่อมากระเป๋ารถเมล์บอกว่า เขาย้ายป้ายรถเมล์ไปอีกฝั่ง กลายเป็นว่า ประชาชนที่มาใช้ป้ายรถเมล์ จะต้องข้ามไฟแดงซึ่งเป็นถนนสวนทาง ซึ่งตรงนั้นมีวินมอเตอร์ไซต์ มีเซเว่น กลายเป็นว่ามีในบริเวณนั้นคนเยอะ และไฟแดงตรงจุดนี้ มันเสี่ยงที่ว่า อีกฝั่งเป็นไฟเขียว จะข้ามถนนไม่สะดวก และถนนพุทธมลฑลสาย 2 มีป้ายรถเมล์น้อยมาก อยากให้ขยับให้ขยับออกไป 2-3 เมตรจากที่เดิมจะดีกว่าหรือไม่ซอย: พุทธมณฑลสาย2 ซอย11ถนน: พุทธมณฑลสาย2จุดสังเกต: ป้ายรถเมล์พุทธมณฑลสาย2 หน้าปากซอย11 เขต: บางแค#1555,"สำนักการจราจรและขนส่ง กรุงเทพมหานคร (สจส.), เขตบางแค, กรมการขนส่งทางบก, รองปลัดฯ นายณรงค์ เรืองศรี, กรุงเทพมหานคร, เพื่อนชัชชาติ, ร้องทุกข์ กทม. 1555",จุดเสี่ยง,เปิดเรื่องใหม่,2023-07-24,20:20 น.,ใช้เวลา 20 วัน 2 ชม.,504,,,
2023-AHCBQH,27 มิ.ย. 66,06:51 น.,รอรับเรื่อง 531 วันที่แล้ว,เขตห้วยขวาง แขวงห้วยขวาง,อยากให้ตีเส้นถนนที่ถนนเทียมร่วมมิตร,"การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย (รฟม.), สำนักการจราจรและขนส่ง กรุงเทพมหานคร (สจส.), เขตห้วยขวาง, เพื่อนชัชชาติ, กรุงเทพมหานคร",ถนน,เปิดเรื่องใหม่,2023-07-26,12:18 น.,ใช้เวลา 29 วัน 5 ชม.,502,,,
2023-MREP4G,26 มิ.ย. 66,08:16 น.,รอรับเรื่อง 532 วันที่แล้ว,เขตจอมทอง แขวงจอมทอง,พิกัด ปลายทางถนนพระราม2 ตัดเข้าถนนสุขสวัสดิ์ ช่วงซอยสุขสวัสดิ์16 สังเกตุเวลาเดินทางตอนเช้า จะพบว่ารถเมล์ต้องเปลี่ยนเลนส์ 2-3 เลนส์ในรถยะเวลากระชั้นชิบ เพราะป้ายรถเมล์ รวมถึงรถโดยสารกระบะขนาดเล็กที่จอดรอรับลูกค้านานๆ ทำให้การจราจรติดขัดหากเลื่อนป้ายรถเมล์ออกไป จะช่วยเพิ่มระยะทางที่รถเมล์ต้องเปลี่ยนเลนส์ ลดการตัดแทรกของรถไปมาได้ไหมคะ,"สำนักการจราจรและขนส่ง กรุงเทพมหานคร (สจส.), เขตจอมทอง, กรมการขนส่งทางบก, กรุงเทพมหานคร, เพื่อนชัชชาติ",ต้นไม้,เปิดเรื่องใหม่,2023-07-20,14:33 น.,ใช้เวลา 24 วัน 6 ชม.,508,,,
2023-CAKRCC,22 พ.ค. 66,06:26 น.,รอรับเรื่อง 567 วันที่แล้ว,เขตธนบุรี แขวงบุคคโล,ตัวหนังสือที่ป้ายบอกทางเลือนจนอ่านไม่ได้ รบกวนแก้ไข,"กรมทางหลวงชนบท กระทรวงคมนาคม, สำนักการจราจรและขนส่ง กรุงเทพมหานคร (สจส.), เขตธนบุรี, กรุงเทพมหานคร, เพื่อนชัชชาติ",จุดเสี่ยง,เปิดเรื่องใหม่,2023-07-27,22:07 น.,ใช้เวลา 66 วัน 15 ชม.,501,,,
2023-BMAC47,5 ก.พ. 66,00:16 น.,รอรับเรื่อง 673 วันที่แล้ว,เขตวัฒนา แขวงคลองเตยเหนือ,ซอยสุขุมวิท15 รถวิ่งเร็วมากๆ มีทั้งเบิ้ลท่อ ทั้งวิ่งแซงกันรับผู้โดยสาร อยากให้มีการติดตั้งลูกระนาดยางเพื่อให้รถวิ่งช้าลงค่ะ ตอนที่แจ้งเรื่องเที่ยงคืนแล้ว ยังวิ่งแข่งวิ่งแซงกันอยู่เลยค่ะ โดยเฉพาะรถตุ๊กๆและรถแต่งท่อ เสียงดังมาก เดือดร้อนมากๆเลยค่ะ ขอความกรุณาด้วยค่ะ ขอบคุณค่ะ,"ฝ่ายโยธา เขตวัฒนา, เขตวัฒนา, กลุ่มงานวางแผนและออกแบบ 2, กรุงเทพมหานคร, สำนักการจราจรและขนส่ง กรุงเทพมหานคร (สจส.), สน.ลุมพินี, กองบังคับการตำรวจนครบาล 5 (บก.น.5), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), เพื่อนชัชชาติ",อื่นๆ,รอรับเรื่อง,2024-12-03,09:46 น.,ใช้เวลา 667 วัน 9 ชม.,6,,,
