ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากสถานะล่าสุด(วัน),ค่า Median (วัน),ค่า Mean (วัน),ค่า Percentile 90 (วัน)
DWM7Z6,8 ก.พ. 67,14:38 น.,รอรับเรื่อง 304 วันที่แล้ว,เขตพระนคร แขวงบางขุนพรหม,ปัญหา: หน้าบ้านเลขที่ 42 พบท่อระบายน้ำอุดตัน ไม่สามารถระบายน้ำออกได้ เกรงว่าเวลาฝนตกอาจเกิดน้ำท่วมบ้านและภายในซอยบ้านเลขที่: 42ซอย: เทเวศร์ 1ถนน: กรุงเกษมจุดสังเกต: บริเวณต้นซอยดังกล่าว ซ้ายมือบ้านหลังแรกเขต: พระนคร#1555,"กองระบบท่อระบายน้ำ สำนักการระบายน้ำ, สำนักการระบายน้ำ กทม., ฝ่ายโยธา เขตพระนคร, เขตพระนคร, ร้องทุกข์ กทม. 1555, กรุงเทพมหานคร, เพื่อนชัชชาติ",น้ำท่วม,เปิดเรื่องใหม่,2024-04-20,18:18 น.,ใช้เวลา 72 วัน 3 ชม.,233,,,
2023-LW6BUR,22 ก.ค. 66,22:11 น.,รอรับเรื่อง 505 วันที่แล้ว,เขตจอมทอง แขวงบางมด,ไฟส่องตามทางตามคลองด้านหลังพุทธบูชา คลองลัดขี้เหล็กคลองบางมดอยากให้มีไฟส่องตามคลอง,"การไฟฟ้านครหลวง เขตราษฎร์บูรณะ, กองระบบคลอง สำนักการระบายน้ำ, สำนักการระบายน้ำ กทม., ฝ่ายโยธา เขตจอมทอง, เขตจอมทอง, การไฟฟ้านครหลวง MEA, เพื่อนชัชชาติ, กรุงเทพมหานคร",อื่นๆ,เปิดเรื่องใหม่,2023-07-27,23:47 น.,ใช้เวลา 5 วัน 1 ชม.,501,,,
2023-3N98NY,13 มี.ค. 66,19:26 น.,รอรับเรื่อง 636 วันที่แล้ว,เขตราชเทวี แขวงมักกะสัน,อยากให้ช่วยติดไฟและทำราวทางเดิน,"กองระบบคลอง สำนักการระบายน้ำ, สำนักการระบายน้ำ กทม., เขตราชเทวี, กรุงเทพมหานคร, เพื่อนชัชชาติ,",จุดเสี่ยง,เปิดเรื่องใหม่,2023-03-17,18:04 น.,ใช้เวลา 3 วัน 22 ชม.,633,,,
2022-48E3WC,19 ธ.ค. 65,13:28 น.,รอรับเรื่อง 721 วันที่แล้ว,เขตบางพลัด,หน้าร้านพราวเวดดิ้ง ถนนสิรินธรบางพลัดฝาท่อน้ำชำรุด มีคนเดินสะดุดเกิดอุบัติเหตุ,"กองระบบท่อระบายน้ำ สำนักการระบายน้ำ, สำนักการระบายน้ำ กทม., เขตบางพลัด, ฝ่ายโยธา เขตบางพลัด, กรุงเทพมหานคร, เพื่อนชัชชาติ",ทางเท้า,เปิดเรื่องใหม่,2022-12-21,22:02 น.,ใช้เวลา 2 วัน 8 ชม.,719,,,
2022-7ERFQX,26 ส.ค. 65,18:12 น.,รอรับเรื่อง 835 วันที่แล้ว,เขตลาดกระบัง,ถนนลาดกระบัง ช่วงทางแยก ซอย 30/4 ฝนตกไม่ถึง 10 นาที น้ำขังไปครึ่งถนนแล้ว อยากให้มาดูแลเรื่องการระบายน้ำตรงนี้หน่อยค่ะ,"สำนักการโยธา กทม., สำนักการระบายน้ำ กทม., เขตลาดกระบัง, กรุงเทพมหานคร, เพื่อนชัชชาติ,",น้ำท่วม,เปิดเรื่องใหม่,2022-09-11,16:17 น.,ใช้เวลา 15 วัน 22 ชม.,820,,,
2022-4BYP3E,18 มิ.ย. 65,15:25 น.,รอรับเรื่อง 904 วันที่แล้ว,เขตลาดกระบัง,แยกสุขสมาน ลาดกระบัง น้ำนองตรงทางท้าลายแล้วตะไคร้น้ำขึ้นด้วยค่ะ ต้องระวังทั้งรถตอนข้าม ระวังน้ำและถนนลื่นจากตะไคร้ด้วยค่ะ เป็นมานานแล้ว น้ำเหมือนไหลย้อนมาจากท่อระบายน้ำ พอฝนตกน้ำท่วมขัง ท่วมมิดเท้าเลยค่ะ,"กรมทางหลวง, สำนักการระบายน้ำ กทม., กรุงเทพมหานคร, เขตลาดกระบัง, เพื่อนชัชชาติ",น้ำท่วม,เปิดเรื่องใหม่,2022-06-27,00:07 น.,ใช้เวลา 8 วัน 8 ชม.,896,,,
2022-86H8ZB,15 มิ.ย. 65,20:16 น.,รอรับเรื่อง 907 วันที่แล้ว,เขตพระโขนง,คลองในซอยสุขุมวิท 52 มีน้ำเน่าและขยะตกค้างมานาน (ไม่แน่ใจว่าไหลมาจากไหน) ส่งกลิ่นเหม็นลอยไปถึงคอนโดและโรงแรมใกล้เคียงโดยเฉพาะช่วงหลังฝนตก รบกวนช่วยดูแลแก้ไขให้ด้วยนะคะ,"สำนักงานเขต, สำนักการระบายน้ำ กทม., เขตคลองเตย, กรุงเทพมหานคร, เพื่อนชัชชาติ",ขยะ,ส่งต่อ,2022-06-24,08:49 น.,ใช้เวลา 8 วัน 12 ชม.,899,,,
2022-MYHYMD,13 มิ.ย. 65,17:08 น.,รอรับเรื่อง 909 วันที่แล้ว,เขตตลิ่งชัน,มีน้ำล้นออกจากท่อระบาย ไปสู่ถนนเป็นเวลานานจนมีตะใคร้่ขึ้นทำให้ถนนลื่น,"ผอ.เขตตลิ่งชัน (นางชดาวรรณ), สำนักการระบายน้ำ กทม., ฝ่ายสิ่งแวดล้อมฯ เขตตลิ่งชัน, กองระบบท่อระบายน้ำ สำนักการระบายน้ำ, เขตตลิ่งชัน, สำนักการโยธา กทม., พนักงานกวาด เขตตลิ่งชัน, กลุ่มกรุงธนเหนือ (นายเฉลิมพล โชตินุชิต), ฝ่ายโยธา เขตตลิ่งชัน, กรุงเทพมหานคร, เพื่อนชัชชาติ",น้ำท่วม,รอรับเรื่อง,2023-10-04,13:09 น.,ใช้เวลา 477 วัน 20 ชม.,432,,,
2022-488AB9,10 มิ.ย. 65,22:27 น.,รอรับเรื่อง 912 วันที่แล้ว,เขตลาดกระบัง,1. มีท่อรั่วและน้ำไหลบนถนนเป็นเวลานาน นับเดือน ทำให้เกิดอันตรายต่อผู้สัญจรไปมา,"กรมทางหลวง, สำนักการระบายน้ำ กทม., กรุงเทพมหานคร, เขตลาดกระบัง, เพื่อนชัชชาติ",น้ำท่วม,เปิดเรื่องใหม่,2022-06-26,21:49 น.,ใช้เวลา 15 วัน 23 ชม.,897,,,
สถิติรวม,,,,,,,,,,,,,Median = 719.0,Mean = 670.0,Percentile = 897.4
