ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากวันที่เริ่มแจ้ง(วัน),ระยะเวลาจากสถานะล่าสุด(วัน),ค่า Median (วัน),ค่า Mean (วัน),ค่า Percentile 90 (วัน)
YJXWVB,2024-09-05,10:42 น.,รอรับเรื่อง 95 วันที่แล้ว,แขวงรัชดาภิเษก,ปัญหา: ภายในซอยดังกล่าว พบดวงไฟฟ้าส่องสว่างทางดับชำรุด จำนวน 3 จุด ขอให้เจ้าหน้าที่ติดต่อผู้ร้องในช่วงเวลา 17.00 น. หรือวันหยุดจุดที่ 1. บริเวณบ้านเลขที่ 264 เสาต้นที่ 8 และต้นที่ 9 จุดที่ 2. บริเวณบ้านเลขที่ 312 เสาต้นที่ 14จุดที่ 3. ภายในซอยแยก (พร้อมสุดอนุสรณ์) เสาต้นที่ 6อ้างอิงเลขที่รับแจ้ง FGVTT7เจ้าหน้าที่แจ้งกลับมาเมื่อวันที่ 4 ก.ย. 67แจ้งว่า สำนักการโยธา กทม. ขอขอบคุณสำหรับการแจ้งข้อมูลสำหรับพื้นที่ดังกล่าว สำนักการโยธา ได้ลงพื้นที่ตรวจสอบและดำเนินการแก้ไขเรียบร้อยแล้ว ตามภาพถ่ายที่แนบสำนักการโยธา กทม. ขอบพระคุณอีกครั้งสำหรับการแจ้งปัญหาให้เราทราบ//ผู้ร้องแจ้งว่า ปัจจุบันปัญหาดังกล่าวยังไม่ได้รับการแก้ไข ยังคงพบดวงไฟฟ้าส่องสว่างทางดับชำรุดเช่นเดิม จึงขอให้เจ้าหน้าที่เข้ามาตรวจสอบอีกครั้งซอย: อินทรามระ 41ถนน: สุทธิสารวินิจฉัยจุดสังเกต: จุดที่ 1. เข้าไปภายในซอยดังกล่าว ประมาณ 200 เมตรจุดที่ 2. เข้าไปภายในซอยดังกล่าว ประมาณ 500 เมตร เลยคอนโด family อยู่บริเวณหัวโค้งจุดที่ 3. เข้าไปภายในซอยแยกดังกล่าว ประมาณ 100 เมตร อยู่บริเวณหัวโค้งเขต: ดินแดง#1555,"ศูนย์เครื่องมือกล ส่วนก่อสร้างและบูรณะ 1 สำนักงานก่อสร้างและบูรณะ (สกบ.สนย.), ร้องทุกข์ กทม. 1555, สำนักการโยธา กทม., เขตดินแดง, กรุงเทพมหานคร",ไฟฟ้า,เปิดเรื่องใหม่,2024-12-09,11:28 น.,ใช้เวลา 95 วัน,95,0,,,
2024-BTGED4,2024-07-16,15:07 น.,รอรับเรื่อง 145 วันที่แล้ว,เขตบางรัก แขวงสีลม,โรงแรมดุสิตธานี สร้างพื้นที่เกินกว่าที่กฎหมายกำหนดมาก กรุงเทพมหานครอนุญาตให้สร้างได้อย่างไร ฝ่ายโยธา นายภีมพงศ์ กับ นายอาดัม เจริญยิ่ง เป็นผู้ที่อนุญาตให้สร้าง ได้เงินหลายล้าน สร้างผิดกฎหมายควบคุมอาคาร,"สำนักงานควบคุมอาคาร สำนักการโยธา (สคอ.สนย.) กทม., เขตบางรัก, สำนักการโยธา กทม., กลุ่มงานควบคุมอาคาร 2 ส่วนควบคุมอาคาร 1 สำนักงานควบคุมอาคาร (สคอ.สนย.), กรุงเทพมหานคร",อาคารสถานที่ชำรุด,เปิดเรื่องใหม่,2024-12-09,11:28 น.,ใช้เวลา 145 วัน 20 ชม.,146,0,,,
2024-HA3UPL,2024-06-13,22:50 น.,รอรับเรื่อง 178 วันที่แล้ว,เขตบางนา,ทางลาดถนนเเตกขรุขระ,"ศูนย์ก่อสร้างและบูรณะถนน 3 ส่วนก่อสร้างและบูรณะ 1 สำนักงานก่อสร้างและบูรณะ (สกบ.สนย.), สำนักการโยธา กทม., เขตบางนา, กรุงเทพมหานคร",ถนน,เปิดเรื่องใหม่,2024-12-03,23:53 น.,ใช้เวลา 173 วัน 1 ชม.,179,6,,,
2024-BDYFB7,2024-06-10,12:02 น.,รอรับเรื่อง 181 วันที่แล้ว,เขตบางรัก แขวงสีลม,รร ดุสิตธานี ก่อสร้างผิด พรบ ควบคุมอาคาร ระยะล้มผิด กม ก่อ สร้างไม่คลุมฝุ่น รถพ่วงเข้าออกหน้างานทั้งวันทั้งคืน อันตราย มีฝุ่น มีเสียงเยอะมาก ผอ เขต ไมดูแล ปล่อยปะละเลย ปชช เดือดร้อน รถติด ถนนพัง,"เขตบางรัก, สำนักงานควบคุมอาคาร สำนักการโยธา (สคอ.สนย.) กทม., สำนักการโยธา กทม., กลุ่มงานควบคุมอาคาร 2 ส่วนควบคุมอาคาร 1 สำนักงานควบคุมอาคาร (สคอ.สนย.), กรุงเทพมหานคร",อื่นๆ,เปิดเรื่องใหม่,2024-12-09,11:30 น.,ใช้เวลา 181 วัน 23 ชม.,182,0,,,
2024-P8T3EV,2024-05-28,10:55 น.,รอรับเรื่อง 195 วันที่แล้ว,เขตบางรัก,ไม่แสดงรายละเอียด,"เขตบางรัก, สำนักงานควบคุมอาคาร สำนักการโยธา (สคอ.สนย.) กทม., สำนักการโยธา กทม., ฝ่ายโยธา เขตบางรัก, กรุงเทพโปร่งใส, กลุ่มงานควบคุมอาคาร 2 ส่วนควบคุมอาคาร 1 สำนักงานควบคุมอาคาร (สคอ.สนย.), กรุงเทพมหานคร",ทุจริต,เปิดเรื่องใหม่,2024-12-09,11:29 น.,ใช้เวลา 195 วัน,195,0,,,
2023-9DVKY4,2023-09-24,23:00 น.,รอรับเรื่อง 441 วันที่แล้ว,เขตวัฒนา แขวงคลองตันเหนือ,ปูนทางขึ้นลงเเตกอยากให้เจ้าหน้าที่มาฉาบปูนให้เรียบเพราคนเดินสะดุดบ่อย ***ห้ามใช้ยางมะตอยนะครับยิ่งทำให้เป็นเนินไม่สวย!!!***,"ศูนย์ก่อสร้างและบูรณะถนน 3 ส่วนก่อสร้างและบูรณะ 1 สำนักงานก่อสร้างและบูรณะ (สกบ.สนย.), เขตวัฒนา, สำนักการโยธา กทม., เพื่อนชัชชาติ, กรุงเทพมหานคร",ถนน,เปิดเรื่องใหม่,2024-08-29,13:37 น.,ใช้เวลา 339 วัน 14 ชม.,442,102,,,
2023-8MX86E,2023-07-26,18:06 น.,รอรับเรื่อง 501 วันที่แล้ว,เขตดินแดง,ฟุตบาทพังชิบหายมาหลายเดือนแล้ว เมื่อไหร่จะมาทำงานซะทีวะ รอบิดาพวกคุณตกหลุมกันก่อนหรอไง เฮงซวย,"สำนักการจราจรและขนส่ง กรุงเทพมหานคร (สจส.), กองแผนงานและประสานสาธารณูปโภค สำนักการโยธา (กผภ.สนย.) กทม., สำนักการโยธา กทม., เขตดินแดง, รองปลัดฯ นายณรงค์ เรืองศรี, สำนักงานระบบขนส่ง สขส. สจส., เพื่อนชัชชาติ, กรุงเทพมหานคร",ทางเท้า,รอรับเรื่อง,2023-08-19,13:54 น.,ใช้เวลา 23 วัน 19 ชม.,502,478,,,
2023-8Y4HYZ,2023-07-25,11:12 น.,รอรับเรื่อง 503 วันที่แล้ว,เขตบางรัก,ทำลายพุตบาท ระบบป้องกันฝุ่นไม่ดี รถปูนวิ่งทั้งวัน ก่อสร้างผิด พรบ ควบคุมอาคาร ต้องตรวจสอบ,"ศูนย์ก่อสร้างและบูรณะถนน 2 ส่วนก่อสร้างและบูรณะ 1 สำนักงานก่อสร้างและบูรณะ (สกบ.สนย.), สำนักการโยธา กทม., เขตบางรัก, กรุงเทพมหานคร, เพื่อนชัชชาติ",ทางเท้า,เปิดเรื่องใหม่,2024-12-04,16:39 น.,ใช้เวลา 498 วัน 5 ชม.,503,5,,,
RLEJ4C,2023-04-22,15:50 น.,รอรับเรื่อง 596 วันที่แล้ว,เขตบางกอกน้อย แขวงอรุณอมรินทร์,หัวข้อที่ 4 //ติดตามเรื่องร้องทุกข์ เลขที่รับแจ้งอ้างอิง JNZKND* * ปัญหา: แจ้งเรื่องร้องเรียนพบเห็นรอบต่อของสะพานไม่เรียบทำให้เวลาขับขี่รถผ่านรถเด้ง รอยต่อสูงกว่าผิวถนน กลัวจะได้รับอันตราย ขอให้เจ้าหน้าที่เข้าตรวจสอบและแก้ไข* * จุดเกิดเหตุ: สะพานสมเด็จพระปิ่นเกล้า* * ถนน: สะพานสมเด็จพระปิ่นเกล้า* * เขต:บางกอกน้อย* * แขวง:อรุณอมรินทร์#1555,"กรมทางหลวงชนบท กระทรวงคมนาคม, สำนักการโยธา กทม., เขตบางกอกน้อย, กรุงเทพมหานคร, เพื่อนชัชชาติ, ร้องทุกข์ กทม. 1555",จุดเสี่ยง,เปิดเรื่องใหม่,2023-06-15,16:38 น.,ใช้เวลา 54 วัน,597,543,,,
JNZKND,2023-03-18,22:01 น.,รอรับเรื่อง 631 วันที่แล้ว,เขตบางพลัด แขวงบางยี่ขัน,* กรุณาอ่านข้อมูลบรรยายประกอบการปักหมุด’ * * ปัญหา: แจ้งเรื่องร้องเรียนพบเห็นรอบต่อของสะพานไม่เรียบทำให้เวลาขับขี่รถผ่านรถเด้ง รอยต่อสูงกว่าผิวถนน กลัวจะได้รับอันตราย ขอให้เจ้าหน้าที่เข้าตรวจสอบและแก้ไข* * จุดเกิดเหตุ:  สะพานสมเด็จพระปิ่นเกล้า* * บ้านเลขที่: -* * ซอย: -* * ถนน: -* * เขต:บางกอกน้อย* * แขวง:อรุณอมรินทร์#1555,"กรมทางหลวงชนบท กระทรวงคมนาคม, สำนักการโยธา กทม., เขตบางกอกน้อย, กรุงเทพมหานคร, เพื่อนชัชชาติ, ร้องทุกข์ กทม. 1555",จุดเสี่ยง,เปิดเรื่องใหม่,2023-06-15,16:27 น.,ใช้เวลา 88 วัน 18 ชม.,632,543,,,
