ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากสถานะล่าสุด(วัน),ค่า Median (วัน),ค่า Mean (วัน),ค่า Percentile 90 (วัน)
2024-CKUPAM,9 ธ.ค. 67,13:54 น.,รอรับเรื่อง 14 นาทีที่แล้ว,เขตคลองสามวา แขวงสามวาตะวันออก,ตอนนี้ชาวบ้านร่วมเงินทุนและแรงงานทำถนนลูกรังเชื่อมระหว่างซอยนิมิตใหม่ 59 กับถนนราษฎร์นิมิตร (ตามเลขแจ้ง2024-NZ8YVB) แล้วเสร็จและรถยนต์สามารถสัญจรได้แล้ว แต่มีจุดที่เป็นถนนคอนกรีตเดิม เต็มไปด้วยฝุ่นจากการประกอบกิจการของโรงงานทำอิฐบล็อก เวลารถวิ่งผ่านฝุ่นจะฟ้งกระจายในปริมาณมาก จึงขอรบกวนทางกทม.จัดรถน้ำมาฉีดล้างฝุ่นออกจากผิวถนนคอนกรีตดังกล่าวครับ,"เขตคลองสามวา, ฝ่ายรักษาความสะอาดฯ เขตคลองสามวา, สำนักสิ่งแวดล้อม กทม., กรุงเทพมหานคร",ฝุ่นควัน&กลิ่น&PM2.5,รอรับเรื่อง,2024-12-09,13:56 น.,ใช้เวลา 3 นาที,0,,,
2024-6TGN8R,2 ต.ค. 67,16:18 น.,รอรับเรื่อง 67 วันที่แล้ว,เขตบางบอน,ช่วยส่งเจ้าหน้าที่มาตรวจสอบหลังตึกร้างมีคนบุกรุกคลองสาธรณะประโยชน์มาอยู่อาศัยเผาขยะหรืออะไรไม่รู้ส่งกลิ่นเหม็นและควันเยอะมากตั้งแต่ช่วงบ่ายถึงคำช่วยมาจับปรับด้วย,"ฝ่ายโยธา เขตบางบอน, เขตบางบอน, ฝ่ายเทศกิจ เขตบางบอน, ฝ่ายสิ่งแวดล้อมฯ เขตบางบอน, สำนักสิ่งแวดล้อม กทม., กรุงเทพมหานคร",ฝุ่นควัน&กลิ่น&PM2.5,เปิดเรื่องใหม่,2024-12-09,14:06 น.,ใช้เวลา 67 วัน 21 ชม.,0,,,
2024-97WNX9,5 ส.ค. 67,13:00 น.,รอรับเรื่อง 126 วันที่แล้ว,,เหม็นขยะมาก,"ศูนย์กำจัดมูลฝอยอ่อนนุช กกฝ. สสล., กองกำจัดมูลฝอย สำนักสิ่งแวดล้อม, สำนักสิ่งแวดล้อม กทม., กรมควบคุมมลพิษ",ฝุ่นควัน&กลิ่น&PM2.5,เปิดเรื่องใหม่,2024-12-09,10:42 น.,ใช้เวลา 125 วัน 21 ชม.,0,,,
2023-3TNHWX,17 ธ.ค. 66,08:18 น.,รอรับเรื่อง 358 วันที่แล้ว,เขตจตุจักร,รถเมล์สาย 39 ควันดำมาก ทั้งๆอยู่ในท่ามกลางปัญหา PM2.5,"องค์การขนส่งมวลชนกรุงเทพ (ขสมก.), สำนักสิ่งแวดล้อม กทม., เขตจตุจักร, กรมการขนส่งทางบก, กรุงเทพมหานคร, เพื่อนชัชชาติ",ฝุ่นควัน&กลิ่น&PM2.5,รอรับเรื่อง,2024-02-02,12:06 น.,ใช้เวลา 47 วัน 3 ชม.,311,,,
2023-GTDM26,15 พ.ค. 66,19:31 น.,รอรับเรื่อง 573 วันที่แล้ว,เขตบางแค แขวงบางแค,ไหล่ทางมีฝุ่นแดงฟุ้งกระจาย,"กรมทางหลวงชนบท กระทรวงคมนาคม, สำนักสิ่งแวดล้อม กทม., เขตบางแค, กรุงเทพมหานคร, เพื่อนชัชชาติ",ฝุ่นควัน&กลิ่น&PM2.5,เปิดเรื่องใหม่,2023-06-29,19:15 น.,ใช้เวลา 44 วัน 23 ชม.,529,,,
2023-BUNVKN,24 ก.พ. 66,14:50 น.,รอรับเรื่อง 653 วันที่แล้ว,,อากาศเป็นมลพิษและปริมาณฝุ่นสูงมาก รบกวนตรวจสอบปรับปรุงแก้ไขให้ด้วยครับ ขอบคุณครับ,"สำนักสิ่งแวดล้อม กทม., กองจัดการคุณภาพอากาศและเสียง สำนักสิ่งแวดล้อม, กรุงเทพมหานคร, เขตยานนาวา, เพื่อนชัชชาติ",ฝุ่นควัน&กลิ่น&PM2.5,รอรับเรื่อง,2023-02-24,14:50 น.,ใช้เวลา 1 นาที,654,,,
2023-DVTX9G,24 ก.พ. 66,14:11 น.,รอรับเรื่อง 653 วันที่แล้ว,เขตธนบุรี,มลพิษ และฝุ่นP.M2.5สูงมากครับรบกวนตรวจสอบและดำเนินการแก้ไขให้ด้วยครับขอบคุณครับ,"สำนักสิ่งแวดล้อม กทม., เขตธนบุรี, กองจัดการคุณภาพอากาศและเสียง สำนักสิ่งแวดล้อม, ฝ่ายสิ่งแวดล้อมฯ เขตธนบุรี, กรุงเทพมหานคร, เพื่อนชัชชาติ",ฝุ่นควัน&กลิ่น&PM2.5,รอรับเรื่อง,2023-02-24,14:12 น.,ใช้เวลา 1 นาที,654,,,
2023-GML3YW,24 ก.พ. 66,13:01 น.,รอรับเรื่อง 654 วันที่แล้ว,เขตราชเทวี แขวงทุ่งพญาไท,ฝุ่น PM 2.5 เยอะมาก เมื่อไหร่ผู้ว่าชัชชาติกับสำนักสิ่งแวดล้อมจะจัดการ แจ้งเรื่องไปหลายรอบแล้วไม่แก้ปัญหาให้ได้ซักที,"สำนักสิ่งแวดล้อม กทม., กองจัดการคุณภาพอากาศและเสียง สำนักสิ่งแวดล้อม, เขตราชเทวี, กรุงเทพมหานคร, เพื่อนชัชชาติ",ฝุ่นควัน&กลิ่น&PM2.5,รอรับเรื่อง,2023-02-24,14:11 น.,ใช้เวลา 1 ชม. 10 นาที,654,,,
2022-H4TB42,31 ก.ค. 65,12:19 น.,รอรับเรื่อง 862 วันที่แล้ว,เขตคลองสามวา,1.เจ้าหน้าที่รักษาความปลอดภัยในสวนสาธรณะบกพร่องต่อหน้าที่,"สำนักสิ่งแวดล้อม กทม., เขตคลองสามวา, กรุงเทพมหานคร, เพื่อนชัชชาติ",อื่นๆ,เปิดเรื่องใหม่,2022-08-13,20:01 น.,ใช้เวลา 13 วัน 7 ชม.,849,,,
2022-KRWVR2,18 ก.ค. 65,21:02 น.,รอรับเรื่อง 874 วันที่แล้ว,เขตทุ่งครุ,ทางเดินข้างสวนธนบุรีรมย์มืดมาก และเปรี่ยวมากค่ะ น้องๆนักศึกษาเดินเยอะ ด้วย,"สำนักสิ่งแวดล้อม กทม., เขตทุ่งครุ, กรุงเทพมหานคร, เพื่อนชัชชาติ",จุดเสี่ยง,เปิดเรื่องใหม่,2022-07-21,11:24 น.,ใช้เวลา 2 วัน 14 ชม.,872,,,
