ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากสถานะล่าสุด(วัน),ค่า Median (วัน),ค่า Mean (วัน),ค่า Percentile 90 (วัน)
2024-9DGLPQ,9 ธ.ค. 67,14:05 น.,รอรับเรื่อง 3 นาทีที่แล้ว,เขตจตุจักร,ถนนชำรุดเป็นหลุม,"เขตจตุจักร, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,2024-12-09,14:05 น.,รอรับเรื่อง,0,,,
2024-8Z4Z4X,9 ธ.ค. 67,13:51 น.,รอรับเรื่อง 17 นาทีที่แล้ว,เขตจตุจักร แขวงเสนานิคม,สายไฟห้อยต่ำ เดินไปจะชน สายต่อไม่ดี,"เขตจตุจักร, กรุงเทพมหานคร",สายสื่อสาร,รอรับเรื่อง,2024-12-09,13:51 น.,รอรับเรื่อง,0,,,
2024-MYEWCQ,3 ธ.ค. 67,11:20 น.,รอรับเรื่อง 6 วันที่แล้ว,เขตจตุจักร แขวงจอมพล,สถานที่ขายบุหรี่ไฟฟ้า ซึ่งผิดกฎหมาย,"สน.สุทธิสาร, เขตจตุจักร, สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), กองบังคับการตำรวจนครบาล 2 (บก.น.2), กรุงเทพมหานคร",อื่นๆ,รอรับเรื่อง,2024-12-03,19:44 น.,ใช้เวลา 8 ชม. 25 นาที,6,,,
2023-3TNHWX,17 ธ.ค. 66,08:18 น.,รอรับเรื่อง 358 วันที่แล้ว,เขตจตุจักร,รถเมล์สาย 39 ควันดำมาก ทั้งๆอยู่ในท่ามกลางปัญหา PM2.5,"องค์การขนส่งมวลชนกรุงเทพ (ขสมก.), สำนักสิ่งแวดล้อม กทม., เขตจตุจักร, กรมการขนส่งทางบก, กรุงเทพมหานคร, เพื่อนชัชชาติ",ฝุ่นควัน&กลิ่น&PM2.5,รอรับเรื่อง,2024-02-02,12:06 น.,ใช้เวลา 47 วัน 3 ชม.,311,,,
2023-FH8MKL,6 พ.ค. 66,12:49 น.,รอรับเรื่อง 583 วันที่แล้ว,เขตจตุจักร แขวงจอมพล,ทางฟุตบาทเสียหายไม่สามารถเดินได้,"กรมทางหลวง, เขตจตุจักร, กรุงเทพมหานคร, เพื่อนชัชชาติ",ทางเท้า,เปิดเรื่องใหม่,2023-07-22,13:18 น.,ใช้เวลา 77 วัน,506,,,
JAE937,4 พ.ค. 66,13:22 น.,รอรับเรื่อง 585 วันที่แล้ว,เขตจตุจักร แขวงจอมพล,ปัญหา : สะพาน เนื่องจาก สะพานข้ามคลองส่งน้ำ สร้างไม่เสร็จสักที เกือบปีแล้ว ทำให้เหลือช่องทางเข้าซอยแค่ 1 เลน เหล็กที่ปูพื้นถนนไว้ ตรงหัวมุมมันเปิดขึ้น ถ้ายางรถไปกระแทก อาจจะทำให้ยางแตกได้ ทำให้ต้องเบี่ยงหลบเข้าเลนขวา แต่รถที่จะออกจากซอยก็ออกไม่ได้เหมือนกัน พยายามติดต่อกับฝ่ายโยธา แต่ไม่มีคนรับสายเลย ขอให้ดำเนินการตรวจสอบและแก้ไขปัญหานี้ด้วยจุดเกิดเหตุ : (สถานที่สำคัญ / จุดสังเกต) บริเวณซอยวิภาวดีรังสิต 16ถนน : วิภาวดีรังสิตแขวง : จอมพล เขต : จตุจักร#1555,"กรมทางหลวง, เขตจตุจักร, กรุงเทพมหานคร, เพื่อนชัชชาติ, ร้องทุกข์ กทม. 1555",จุดเสี่ยง,เปิดเรื่องใหม่,2023-09-14,20:43 น.,ใช้เวลา 133 วัน 7 ชม.,452,,,
2023-9CMW4H,26 มี.ค. 66,21:16 น.,รอรับเรื่อง 623 วันที่แล้ว,เขตจตุจักร,หน้ากรมยุทธโยธาเเยกเกษตร 1ไฟถนนดับ3-4ดวง มาเป็นชาติเเล้วเเจ้งไป 3-4 รอบ ไม่มีการตอบกลับ 2.ฝาท่อเหล็ก กลางถนน ตรงเเยกเกษตร เป็นหลุมลงไปจะทะลุเเล้ว มอไซตกทีมีจุก อยุ่เเถวๆป้อมตำรวจจราจรเลย,"กรมทางหลวง, เขตจตุจักร, กรุงเทพมหานคร, เพื่อนชัชชาติ",ต้นไม้,เปิดเรื่องใหม่,2023-04-01,05:22 น.,ใช้เวลา 5 วัน 8 ชม.,618,,,
2023-4KFHDR,9 มี.ค. 66,13:27 น.,รอรับเรื่อง 641 วันที่แล้ว,เขตจตุจักร แขวงจันทรเกษม,ปิดถนนทำรถไฟฟ้าหรือเพื่อหล่อปูน 1 เดือนยังไม่ทำไร แต่ทำรถติดทุกวัน,"การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย (รฟม.), เขตจตุจักร, กรุงเทพมหานคร, เพื่อนชัชชาติ",ผิดกฎจราจร,เปิดเรื่องใหม่,2023-05-21,08:16 น.,ใช้เวลา 72 วัน 18 ชม.,568,,,
2022-KEXL3H,22 ก.ค. 65,13:54 น.,รอรับเรื่อง 871 วันที่แล้ว,เขตจตุจักร,รถขนส่งสาธารณะ,"เขตจตุจักร, องค์การขนส่งมวลชนกรุงเทพ (ขสมก.), กรุงเทพมหานคร, เพื่อนชัชชาติ",ผิดกฎจราจร,เปิดเรื่องใหม่,2022-07-23,11:28 น.,ใช้เวลา 21 ชม. 34 นาที,870,,,
2022-7R73FL,10 ก.ค. 65,12:30 น.,รอรับเรื่อง 883 วันที่แล้ว,เขตจตุจักร,1.สถานที่ตลาดนัดสวนจตุจักร รถจอดขวางหน้าร้านในวันอาทิตย์ไม่นำรถออกตามเวลาที่กำหนด ซึ่งเป็นวันให้รถจอดถึงเวลา 12.00น. ทำให้เป็นปัญหาและอุปสรรคต่อการทำมาค้าขายของแม่ค้า,"สำนักงานตลาดกรุงเทพมหานคร, เขตจตุจักร, กรุงเทพมหานคร, เพื่อนชัชชาติ",อื่นๆ,เปิดเรื่องใหม่,2022-08-28,12:22 น.,ใช้เวลา 48 วัน 23 ชม.,834,,,
