ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากสถานะล่าสุด(วัน),ค่า Median (วัน),ค่า Mean (วัน),ค่า Percentile 90 (วัน)
2024-CTVRD9,9 ธ.ค. 67,13:27 น.,รอรับเรื่อง 41 นาทีที่แล้ว,เขตดินแดง แขวงดินแดง,ยื่นออกมาทางเดิน เดินตรงจุดนี้แล้วโดนกระแทกเต็มๆ,"เขตดินแดง, กรุงเทพมหานคร",ทางเท้า,รอรับเรื่อง,2024-12-09,13:27 น.,รอรับเรื่อง,0,,,
2024-3NFEAN,9 ธ.ค. 67,12:52 น.,รอรับเรื่อง 1 ชั่วโมงที่แล้ว,เขตดินแดง แขวงดินแดง,รหัสเรื่องที่เคยแจ้ง2024-bbkvrแจ้งซ้ำล่าสุดได้2อาทิตย์แล้ว ยังไม่ได้รับการแก้ไขเลยครับ เดือดร้อนมากทั้งเสียงและการสั่นสะเทือน เพราะบ้านอยู่ติดกับบ่อบำบัดที่ฝาชำรุดมานานแล้ว ไม่ได้รับการแก้ไขให้หายขาดซักที รวมเวลาการแจ้งกับฟองดูและ1555 ก็2เดือนกว่า ถือว่านานมาก ผมถูกท้อดทิ้งหรือเปล่าครับ ช่วยรีบมาแก้ไขให้หายขาดด้วยจะเป็นพระคุณอย่างมาก,"เขตดินแดง, กรุงเทพมหานคร",เสียง,รอรับเรื่อง,2024-12-09,12:52 น.,รอรับเรื่อง,0,,,
2024-GAZGUR,9 ธ.ค. 67,11:20 น.,รอรับเรื่อง 2 ชั่วโมงที่แล้ว,เขตดินแดง แขวงรัชดาภิเษก,แจ้งเรื่องตัดต้นไม้ไม่เรียบร้อยรบกวนหน่วยงานที่เกี่ยวข้อง เข้ามาดำเนินการตัดแต่งกิ่งต้นไม้ จำนวน 3 ต้น บริเวณหน้า อาคารพาณิชย์ เลขที่ 5379-5391 ถนนประชาสงเคราะห์ พิกัด ระหว่าง คลองระบายน้ำ (นาซอง) ถึง ซ.ประชาสงเคราะห์33/1 ให้เรียบร้อยกว่านี้เนื่องจาก การเข้ามาตัดก่อนหน้า ไม่ได้ตัดกิ่งไม้ที่แผ่ขยายรุกล้ำเข้ามาในตัวอาคาร ทำให้ตัวอาคารเกิดความเสียหาย และมีเศษใบไม้หล่นมาค้างในรางน้ำก่อให้ เกิดการอุดตัน ส่งผลเรื่องการระบายน้ำจึงเรียนมาเพื่อพิจารณา,"เขตดินแดง, กรุงเทพมหานคร",ต้นไม้,รอรับเรื่อง,2024-12-09,11:20 น.,รอรับเรื่อง,0,,,
2024-M7RK82,9 ธ.ค. 67,11:17 น.,รอรับเรื่อง 2 ชั่วโมงที่แล้ว,เขตดินแดง แขวงดินแดง,แจ้งเรื่องตัดต้นไม้ไม่เรียบร้อยรบกวนหน่วยงานที่เกี่ยวข้อง เข้ามาดำเนินการตัดแต่งกิ่งต้นไม้ จำนวน 3 ต้น บริเวณหน้า อาคารพาณิชย์ เลขที่ 5379-5391 ถนนประชาสงเคราะห์ พิกัด ระหว่าง คลองระบายน้ำ (นาซอง) ถึง ซ.ประชาสงเคราะห์33/1 ให้เรียบร้อยกว่านี้เนื่องจาก การเข้ามาตัดก่อนหน้า ไม่ได้ตัดกิ่งไม้ที่แผ่ขยายรุกล้ำเข้ามาในตัวอาคาร ทำให้ตัวอาคารเกิดความเสียหาย และมีเศษใบไม้หล่นมาค้างในรางน้ำก่อให้ เกิดการอุดตัน ส่งผลเรื่องการระบายน้ำจึงเรียนมาเพื่อพิจารณา,"เขตดินแดง, กรุงเทพมหานคร",ต้นไม้,รอรับเรื่อง,2024-12-09,11:17 น.,รอรับเรื่อง,0,,,
2024-KAR9AD,9 ธ.ค. 67,10:58 น.,รอรับเรื่อง 3 ชั่วโมงที่แล้ว,เขตดินแดง แขวงรัชดาภิเษก,ขอยกเลิกเรื่องที่แจ้งไปค่ะ,"เขตดินแดง, กรุงเทพมหานคร",อื่นๆ,รอรับเรื่อง,2024-12-09,10:58 น.,รอรับเรื่อง,0,,,
2024-97MTB8,8 ธ.ค. 67,16:32 น.,รอรับเรื่อง 21 ชั่วโมงที่แล้ว,เขตดินแดง แขวงดินแดง,ใครมาวางเครื่องเซ่นหรืออะไรไม่รู้ค่ะ ตรงเสาร์ไฟ ซ.ประชาสงเคราะห์ 12 เห็นมาหลายวันแล้ว สร้างความสกปรก และทำให้ดูน่ากลัวค่ะ,"เขตดินแดง, ฝ่ายรักษาความสะอาดฯ เขตดินแดง, กรุงเทพมหานคร",ความสะอาด,รอรับเรื่อง,2024-12-09,10:27 น.,ใช้เวลา 17 ชม. 56 นาที,0,,,
2024-NCAF6H,6 ธ.ค. 67,21:42 น.,รอรับเรื่อง 2 วันที่แล้ว,เขตดินแดง แขวงรัชดาภิเษก,คุณลุงเลี้ยงนกพิราบที่เคยเป็นข่าวกินแมลงสาบ เอาข้าวมาเลี้ยงนกพิราบจำนวนมากที่ริมถนนสุทธิสารแถวหน้าโลตัสโกเฟรช-ร้านตี๋หล่อ สกปรกมากๆ,"ฝ่ายสิ่งแวดล้อมฯ เขตดินแดง, เขตดินแดง, กรุงเทพมหานคร",ความสะอาด,รอรับเรื่อง,2024-12-09,10:48 น.,ใช้เวลา 2 วัน 13 ชม.,0,,,
2024-C3X3U3,6 ธ.ค. 67,14:23 น.,รอรับเรื่อง 2 วันที่แล้ว,เขตดินแดง แขวงรัชดาภิเษก,แจ้งกทม . 1555 แล้ว เรื่อง ไก่ 7-8 ตัวขันเสียงดัง ช่วง 0900 -1100 กับ 1630 ถึง 1830 รหัส 8824,"เขตดินแดง, ฝ่ายสิ่งแวดล้อมฯ เขตดินแดง, กรุงเทพมหานคร",เสียง,รอรับเรื่อง,2024-12-09,10:50 น.,ใช้เวลา 2 วัน 20 ชม.,0,,,
2024-HC2VFZ,26 พ.ย. 67,14:09 น.,รอรับเรื่อง 12 วันที่แล้ว,เขตดินแดง แขวงดินแดง,บริเวณด้านข้างแฟลต 36 เคหะชุมชนห้วยขวาง มีการนำพื้นที่ถนนและทางเท้าไปใช้ประโยชน์ในการจอดรถและเพื่อการส่วนตัว อันตรายแก่ผู้เดินเท้าและใช้ถนนเป็นคอขวดอย่างมาก เป็นเช่นนี้มาเป็นเวลานาน จึงขอให้เจ้าหน้าที่ลงพื้นที่จัดระเบียบด้วย,"สำนักงานเคหะนครหลวง สาขาห้วยขวาง, การเคหะแห่งชาติ, เขตดินแดง, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,2024-11-27,17:55 น.,ใช้เวลา 1 วัน 3 ชม.,12,,,
YJXWVB,5 ก.ย. 67,10:42 น.,รอรับเรื่อง 95 วันที่แล้ว,แขวงรัชดาภิเษก,ปัญหา: ภายในซอยดังกล่าว พบดวงไฟฟ้าส่องสว่างทางดับชำรุด จำนวน 3 จุด ขอให้เจ้าหน้าที่ติดต่อผู้ร้องในช่วงเวลา 17.00 น. หรือวันหยุดจุดที่ 1. บริเวณบ้านเลขที่ 264 เสาต้นที่ 8 และต้นที่ 9 จุดที่ 2. บริเวณบ้านเลขที่ 312 เสาต้นที่ 14จุดที่ 3. ภายในซอยแยก (พร้อมสุดอนุสรณ์) เสาต้นที่ 6อ้างอิงเลขที่รับแจ้ง FGVTT7เจ้าหน้าที่แจ้งกลับมาเมื่อวันที่ 4 ก.ย. 67แจ้งว่า สำนักการโยธา กทม. ขอขอบคุณสำหรับการแจ้งข้อมูลสำหรับพื้นที่ดังกล่าว สำนักการโยธา ได้ลงพื้นที่ตรวจสอบและดำเนินการแก้ไขเรียบร้อยแล้ว ตามภาพถ่ายที่แนบสำนักการโยธา กทม. ขอบพระคุณอีกครั้งสำหรับการแจ้งปัญหาให้เราทราบ//ผู้ร้องแจ้งว่า ปัจจุบันปัญหาดังกล่าวยังไม่ได้รับการแก้ไข ยังคงพบดวงไฟฟ้าส่องสว่างทางดับชำรุดเช่นเดิม จึงขอให้เจ้าหน้าที่เข้ามาตรวจสอบอีกครั้งซอย: อินทรามระ 41ถนน: สุทธิสารวินิจฉัยจุดสังเกต: จุดที่ 1. เข้าไปภายในซอยดังกล่าว ประมาณ 200 เมตรจุดที่ 2. เข้าไปภายในซอยดังกล่าว ประมาณ 500 เมตร เลยคอนโด family อยู่บริเวณหัวโค้งจุดที่ 3. เข้าไปภายในซอยแยกดังกล่าว ประมาณ 100 เมตร อยู่บริเวณหัวโค้งเขต: ดินแดง#1555,"ศูนย์เครื่องมือกล ส่วนก่อสร้างและบูรณะ 1 สำนักงานก่อสร้างและบูรณะ (สกบ.สนย.), ร้องทุกข์ กทม. 1555, สำนักการโยธา กทม., เขตดินแดง, กรุงเทพมหานคร",ไฟฟ้า,เปิดเรื่องใหม่,2024-12-09,11:28 น.,ใช้เวลา 95 วัน,0,,,
