ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากสถานะล่าสุด(วัน),ค่า Median (วัน),ค่า Mean (วัน),ค่า Percentile 90 (วัน)
2024-KPMKWF,9 ธ.ค. 67,11:11 น.,รอรับเรื่อง 2 ชั่วโมงที่แล้ว,เขตทวีวัฒนา แขวงศาลาธรรมสพน์,"ด้วยหมู่บ้านพระปิ่น 2 ตั้งอยู่ซอยศาลาธรรมสพน์ 17 ถนนศาลาธรรมสพน์ แขวงศาลาธรรมสพน์เขตทวีวัฒนา กรุงเทพมหานคร เนื่องจากชาวบ้านซอย 23 หมู่บ้านพระปิ่น 2 มีผู้อยู่อาศัยจำนวน 43 ครัวเรือน ได้รับความเดือดร้อนจากปัญหาฝนตกน้ำท่วมขังสูงในซอยไหลเข้าบ้านเรือนทำให้ทรัพย์สิน และรถยนต์ได้รับความเสียหายมาเป็นเวลานานหลายปี และเนื่องจากซอยดังกล่าวเป็นพื้นที่ที่ต่ำที่สุดของหมู่บ้าน อีกทั้งลักษณะซอยมีความสลับซับซ้อนไม่สะดวกในการสัญจร ไม่มีไฟสาธารณะส่องสว่าง ทำให้มีคนร้ายเข้ามาลักทรัพย์ในเวลากลางคืน ประชาชนต้องอยู่ด้วยความหวาดระแวง ซึ่งจากการตรวจสอบข้อมูลเจ้าของโครงการบริษัท พระปิ่นนคร จำกัด ได้โอนที่ดินโฉนดเลขที่ 25530 ให้เป็นที่สาธารณะ ตั้งแต่ปี 2547 รายละเอียดหลักฐานการโอนให้เป็นทางสาธารณะ ซึ่งไม่เคยได้รับการพัฒนาหรือดูแลจากหน่วยงานใดเลยจึงขอความกรุณาไปยังกรุงเทพมหานคร ช่วยดำเนินการแก้ไขปัญหา ดังนี้1) ยกระดับถนนในซอย 23 ทั้งซอยให้สูงเท่ากับถนนซอย 17 เพื่อแก้ไขปัญหาน้ำท่วมขัง2) ติดตั้งไฟแสงสว่างทางสาธารณะภายใต้โครงการ ""มหานครเมืองแห่งความปลอดภัย3) ติดตั้งกล้อง CCTV เพื่อความปลอดภัยของชีวิตและทรัพย์สินของประชาชนจักเป็นพระคุณอย่างสูง ความสูงระดับข้อเท้า น้ำท่วมมาแล้วน้อยกว่า 1 วัน","ฝ่ายโยธา เขตทวีวัฒนา, เขตทวีวัฒนา, พนักงานกวาด เขตทวีวัฒนา, ศูนย์ควบคุมระบบป้องกันน้ำท่วม กทม., กรุงเทพมหานคร",น้ำท่วม,กำลังดำเนินการ,2024-12-09,14:08 น.,ใช้เวลา 2 ชม. 58 นาที,0,,,
2024-NFXPC8,12 ต.ค. 67,11:51 น.,รอรับเรื่อง 58 วันที่แล้ว,เขตทวีวัฒนา แขวงศาลาธรรมสพน์,1.ร้านอาหาร 2.ร้านต้นไม้ เปิดบนทางเท้า 3.รถจอดบนถนนขวางถนน ทำให้รถติดมาก เหมือนสร้างถนนให้รถมาจอด เดือนร้อนมากๆ,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตทวีวัฒนา, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,2024-10-15,11:04 น.,ใช้เวลา 2 วัน 23 ชม.,55,,,
2024-BEDULL,3 ต.ค. 67,16:12 น.,รอรับเรื่อง 66 วันที่แล้ว,เขตทวีวัฒนา แขวงศาลาธรรมสพน์,ร้านค้าถนนกาญจนาภิเษกวางของรุกล้ำทางเท้ามากๆ แทบไม่มีทางเดิน เกิดอุบัติเหตุบ่อยครั้งเมื่อประชาชนผู้ใ้ทางเท้าต้องเดินบนถนน,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตทวีวัฒนา, กรุงเทพมหานคร",ทางเท้า,รอรับเรื่อง,2024-10-07,14:09 น.,ใช้เวลา 3 วัน 21 ชม.,63,,,
2024-7G9PUV,19 ส.ค. 67,08:14 น.,รอรับเรื่อง 112 วันที่แล้ว,เขตทวีวัฒนา,ถนนชำรุด,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตทวีวัฒนา, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,2024-08-21,09:01 น.,ใช้เวลา 2 วัน,110,,,
2024-MTQWMV,24 ม.ค. 67,22:49 น.,รอรับเรื่อง 319 วันที่แล้ว,เขตทวีวัฒนา แขวงทวีวัฒนา,ทางเลี้ยวออกมาจากถนนทวีวัฒนา-กาญจนาภิเษก ก่อนถึงหน้าธนาคารไทยพาณิชย์ เลนซ้ายสุด ถนนเป็นหลุมใหญ่ รถมอเตอร์ไซค์อาจเกิดอุบัติเหตุได้ ไม่แน่ใจว่าเป็นความรับผิดชอบของกรมทางหลวงฯหรือไม่ ฝากทางเขตฯ ประสานงานทีนะครับ ขอบคุณครับ,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตทวีวัฒนา, เพื่อนชัชชาติ, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,2024-02-07,12:18 น.,ใช้เวลา 13 วัน 13 ชม.,306,,,
2024-698NQ3,22 ม.ค. 67,16:41 น.,รอรับเรื่อง 321 วันที่แล้ว,เขตทวีวัฒนา แขวงศาลาธรรมสพน์,สีที่สะพานเลอะเกิดคราบดำตระไคร้ขค้นไม่มีการทาสีปรับปรุง,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตทวีวัฒนา, เพื่อนชัชชาติ, กรุงเทพมหานคร",ความปลอดภัย,รอรับเรื่อง,2024-02-07,12:20 น.,ใช้เวลา 15 วัน 19 ชม.,306,,,
2024-C7WQLC,22 ม.ค. 67,16:35 น.,รอรับเรื่อง 321 วันที่แล้ว,เขตทวีวัฒนา แขวงศาลาธรรมสพน์,ขยะใต้สะพานเยอะ,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตทวีวัฒนา, เพื่อนชัชชาติ, กรุงเทพมหานคร",ความสะอาด,รอรับเรื่อง,2024-03-13,18:16 น.,ใช้เวลา 51 วัน 1 ชม.,271,,,
AYBY4W,15 พ.ย. 66,11:47 น.,รอรับเรื่อง 390 วันที่แล้ว,เขตทวีวัฒนา แขวงทวีวัฒนา,ปัญหา: อยากให้เพิ่มรถเมล์สาธารณะถนน: เลียบคลองทวีวัฒนาจุดสังเกต: วิ่งจาก ถนนเพชรเกษม ไป ถนนปิ่นเกล้านครชัยศรีเขต: ทวีวัฒนา#1555,"องค์การขนส่งมวลชนกรุงเทพ (ขสมก.), เขตทวีวัฒนา, กรุงเทพมหานคร, เพื่อนชัชชาติ, ร้องทุกข์ กทม. 1555",อื่นๆ,รอรับเรื่อง,2023-11-24,15:39 น.,ใช้เวลา 9 วัน 3 ชม.,381,,,
2023-MXW3LU,3 ก.ย. 66,10:48 น.,รอรับเรื่อง 463 วันที่แล้ว,เขตทวีวัฒนา,มีเศษหินหล่นบนยูเทิร์น,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตทวีวัฒนา, กรุงเทพมหานคร, เพื่อนชัชชาติ",ต้นไม้,รอรับเรื่อง,2023-09-05,09:37 น.,ใช้เวลา 1 วัน 22 ชม.,461,,,
สถิติรวม,,,,,,,,,,,,,Median = 271.0,Mean = 217.0,Percentile = 397.0
