ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากสถานะล่าสุด(วัน),ค่า Median (วัน),ค่า Mean (วัน),ค่า Percentile 90 (วัน)
2024-MG9AA8,9 ธ.ค. 67,13:57 น.,รอรับเรื่อง 11 นาทีที่แล้ว,เขตบางขุนเทียน แขวงแสมดำ,เหล็กกั้นคันคบองหลุด อยู่ตรง ซ.บางกระดี่ 30 ครับ,"เขตบางขุนเทียน, ฝ่ายโยธา เขตบางขุนเทียน, กรุงเทพมหานคร",อุปกรณ์ชำรุด,รอรับเรื่อง,2024-12-09,14:05 น.,ใช้เวลา 9 นาที,0,,,
W96MH6,3 ธ.ค. 67,19:26 น.,รอรับเรื่อง 5 วันที่แล้ว,เขตบางขุนเทียน แขวงแสมดำ,ปัญหา: ภายในซอยดังกล่าว พบฝาบ่อพักบริเวณไหล่ทางชำรุดแตกร้าว(ลักษณะเป็นฝาปูน) จำนวน 1 ฝา เกรงว่าจะเป็นอันตรายต่อผู้สัญจรผ่านผ่านไปมาซอย: พระราม 2 ที่ 62 แยก 2-6ถนน: พระรามที่ 2จุดสังเกต: เข้าซอยแยกดังกล่าวไปประมาณ 100 เมตร ขวามือ หน้าบ้านรั้วสีส้มชมพู(สีโอรส)เขต: บางขุนเทียน#1555,"ฝ่ายโยธา เขตบางขุนเทียน, เขตบางขุนเทียน, ศูนย์ควบคุมระบบป้องกันน้ำท่วม กทม., กรุงเทพมหานคร, ร้องทุกข์ กทม. 1555",จุดเสี่ยง,เปิดเรื่องใหม่,2024-12-09,12:40 น.,ใช้เวลา 5 วัน 17 ชม.,0,,,
2024-K3BBZV,16 มิ.ย. 67,09:19 น.,รอรับเรื่อง 176 วันที่แล้ว,เขตบางขุนเทียน แขวงแสมดำ,วันทึ่ 16 มิถุนายน 2567 เวลา 9:18 น. รถสองแถว รถแท๊กซี่จอดขวางแช่ 1 เลนทำให้รถติด รบกวนเจ้าหน้าที่ตำรวจมากวดขันให้หนักกว่านี้,"สน.ท่าข้าม, เขตบางขุนเทียน, สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), กองบังคับการตำรวจนครบาล 9 (บก.น.9), กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,2024-06-17,17:08 น.,ใช้เวลา 1 วัน 7 ชม.,175,,,
2024-EFL6HU,11 มิ.ย. 67,07:36 น.,รอรับเรื่อง 181 วันที่แล้ว,เขตบางขุนเทียน แขวงท่าข้าม,แยกอนามัยงามเจริญ รถติดมากทั้งๆ ที่ไม่มีไฟจราจรหรืออุบัติเหตุ ไม่เคยเห็นตำรวจจราจรมาจัดการจราจรสักครั้ง,"สน.ท่าข้าม, เขตบางขุนเทียน, กองบังคับการตำรวจนครบาล 9 (บก.น.9), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), กรุงเทพมหานคร",อื่นๆ,รอรับเรื่อง,2024-06-25,12:16 น.,ใช้เวลา 14 วัน 4 ชม.,167,,,
Z9JWF7,3 เม.ย. 67,13:25 น.,รอรับเรื่อง 250 วันที่แล้ว,เขตบางขุนเทียน แขวงแสมดำ,ปัญหา: ภายในซอยดังกล่าว พบเห็นมีรถบรรทุกขนาดใหญ่ สัญจรผ่านไปมา เกิดเสียงดัง อีกทั้งยังทำให้บ้านเรือนเกิดการสั่นสะเทือน ชำรุดเสียหาย ขับรถโดยไม่มีการชะลอความเร็วด้วย ช่วงเวลาประมาณ 09.00 - 11.00 น.ซอย: บางกระดี่ 30ถนน: บางกระดี่เขต: บางขุนเทียน#1555,"สน.แสมดำ, เขตบางขุนเทียน, สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), กองบังคับการตำรวจนครบาล 9 (บก.น.9), กรุงเทพมหานคร, ร้องทุกข์ กทม. 1555",เสียง,เปิดเรื่องใหม่,2024-04-10,16:44 น.,ใช้เวลา 7 วัน 3 ชม.,243,,,
2023-MLCLV3,2 ส.ค. 66,10:52 น.,รอรับเรื่อง 495 วันที่แล้ว,เขตบางขุนเทียน แขวงแสมดำ,ฟุตบาททรุดตัว และเป็นบ่อยมากเป็นตรงนี้เสร็จก็ไปเป็นอีกที่,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตบางขุนเทียน, กรุงเทพมหานคร, เพื่อนชัชชาติ",ทางเท้า,เปิดเรื่องใหม่,2023-08-20,21:22 น.,ใช้เวลา 18 วัน 10 ชม.,477,,,
2023-L82XC6,5 พ.ค. 66,16:37 น.,รอรับเรื่อง 583 วันที่แล้ว,เขตบางขุนเทียน,แจ้งร้องเรียนพนักงานกรมทางหลวงคุณปาริฉัตรไม่ตอบกลับผลการเำเนินการตามที่ได้แจ้งค่ะ ขอร้องเรียนการปฎิบัติหน้าที่เรื่องคุณวาณิช ละเลยการปฎิบัติหน้าที่ค่ะ,"กรมทางหลวง, เขตบางขุนเทียน, กรุงเทพมหานคร, เพื่อนชัชชาติ",อื่นๆ,เปิดเรื่องใหม่,2023-07-03,18:19 น.,ใช้เวลา 59 วัน 1 ชม.,525,,,
2022-PC2AP8,18 ต.ค. 65,14:31 น.,รอรับเรื่อง 782 วันที่แล้ว,เขตบางขุนเทียน,"ขอร้องเรียน ที่ดินรกร้าง ""บริเวณติดหลัง ที่จอดรถเคอรรี่และโรงงานวีอาร์พลาสติก รวมถึงบ้านคน ในซอยบางกระดี่16"" โดยที่ดินรกร้างนี้ปล่อยปะละเลยที่ดิน เป็นเหตุให้เกิดไฟไหม้ในหลายครั้ง โดยมีการร้องเรียนเขตบางขุนเทียนไปหลายครั้งแล้วในหลายปีที่ผ่านมา จนปัจจุบันยังไม่มีอะไรเปลี่ยนแปลงใดๆ อยากให้เจ้าหน้าที่เขตบางขุนเทียน จัดการเรื่องนี้อย่างจริงจังค่ะ ต้องหารือกับเจ้าของที่ดินนี้โดยคำนึงถึงหน้าที่มากกว่าความเกรงใจได้แล้วค่ะ ว่าควรหาทางออกร่วมกันได้อย่างไร ที่ทำให้ผู้อื่นรอบบริเวณนี้ไม่เดือดร้อนแบบนี้ซ้ำแล้วซ้ำเล่า เพลิงไหม้ลักษณะนี้มีเกือบทุกปี บางปีหลายครั้ง เกือบทำให้ทรัพย์สินผู้อื่นเสียหายในแทบทุกครั้ง ทุกคนที่อยู่รอบที่ดินรกร้างนี้ต้องอยู่กับความหวาดระแวงลักษณะนี้มานานหลายปี ขอเจ้าหน้าที่เห็นใจและอย่าให้ต้องมีการบาดเจ็บ หรือถึงแก่ชีวิต หรือความสูญเสียใดๆ เพียงเพราะการละเลยในการดูแลที่ดินรกร้างของเจ้าของที่เลยค่ะ","สำนักป้องกันและบรรเทาสาธารณภัย กทม., เขตบางขุนเทียน, สำนักงานเขตบางขุนเทียน, กรุงเทพมหานคร, เพื่อนชัชชาติ",จุดเสี่ยง,เปิดเรื่องใหม่,2023-01-10,09:39 น.,ใช้เวลา 81 วัน 21 ชม.,699,,,
2022-DV733T,2 ต.ค. 65,18:16 น.,รอรับเรื่อง 798 วันที่แล้ว,เขตบางขุนเทียน,ถนนไม่มีเลนชัดเจน,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตบางขุนเทียน, กลุ่มกรุงธนใต้ (นายเฉลิมพล โชตินุชิต), ผอ.เขตบางขุนเทียน (นางภัสรา), การทางพิเศษแห่งประเทศไทย, เพื่อนชัชชาติ, กรุงเทพมหานคร",ถนน,เปิดเรื่องใหม่,2022-11-22,20:23 น.,ใช้เวลา 51 วัน 2 ชม.,748,,,
2022-BPEWGU,15 ก.ค. 65,19:29 น.,รอรับเรื่อง 877 วันที่แล้ว,เขตบางขุนเทียน,ฟุตบาทหน้าเซ็นทรัลพระราม2 พื้นแย่มากค่ะ,"แขวงทางหลวงธนบุรี กรมทางหลวง, เขตบางขุนเทียน, กรุงเทพมหานคร, เพื่อนชัชชาติ",ทางเท้า,เปิดเรื่องใหม่,2022-08-15,15:59 น.,ใช้เวลา 30 วัน 20 ชม.,847,,,
