ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากสถานะล่าสุด(วัน),ค่า Median (วัน),ค่า Mean (วัน),ค่า Percentile 90 (วัน)
2024-CK6CYZ,9 ธ.ค. 67,12:46 น.,รอรับเรื่อง 1 ชั่วโมงที่แล้ว,เขตบางนา,การจราจรช่วงเช้าถนนสุขุมวิทตั้งแต่แบริ่งถึงสุขุมวิท 62 การจราจรติดขัดมากพบรถบรรทุกวิ่งนอกเวลารถบรรทุกเยอะมากอยากให้ดูแลตรวจสอบเกี่ยวกับช่วงเวลาที่รถบรรทุกหรือรถสิบล้อขับให้หน่อยครับแจ้งเรื่องไปแล้วยังไม่ถูกแก้ไข,"เขตบางนา, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,2024-12-09,12:46 น.,รอรับเรื่อง,0,,,
2024-MGL28P,9 ธ.ค. 67,11:35 น.,รอรับเรื่อง 2 ชั่วโมงที่แล้ว,เขตบางนา,บัญชีม้า หลอกลงทุนออนไลน์,"เขตบางนา, กรุงเทพมหานคร",ภัยออนไลน์,รอรับเรื่อง,2024-12-09,11:35 น.,รอรับเรื่อง,0,,,
2024-LAFWEN,9 ธ.ค. 67,11:29 น.,รอรับเรื่อง 2 ชั่วโมงที่แล้ว,เขตบางนา แขวงบางนาใต้,ฝาท่อระบายน้ำชำรุดหลายจุด บริเวณซอยลาซาน 24 บางแห่งฝาที่เป็นเหล็กชำรุดจนถ้าเดินไม่ระวังอาจมีขาตกไปในบ่อได้ อยากให้นำฝาท่อมาเปลี่ยนให้หน่อย,"เขตบางนา, กรุงเทพมหานคร",อุปกรณ์ชำรุด,รอรับเรื่อง,2024-12-09,11:29 น.,รอรับเรื่อง,0,,,
2024-EX2RYE,9 ธ.ค. 67,11:24 น.,รอรับเรื่อง 2 ชั่วโมงที่แล้ว,เขตบางนา,ผิวจราจรชำรุดหลายแห่ง รบกวนให้เจ้าหน้าที่เข้าแก้ไข เพราะจะเกิดอุบัติเหตุได้,"เขตบางนา, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,2024-12-09,11:24 น.,รอรับเรื่อง,0,,,
2024-3VB9YG,9 ธ.ค. 67,08:28 น.,รอรับเรื่อง 5 ชั่วโมงที่แล้ว,,สี่แยกบางนาตรงป้อมตำรวจถนนสุขุมวิทมุ่งหน้าปากน้ำชำรุด,"เขตบางนา, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,2024-12-09,08:28 น.,รอรับเรื่อง,0,,,
2024-4B7M8H,8 ธ.ค. 67,20:00 น.,รอรับเรื่อง 18 ชั่วโมงที่แล้ว,เขตบางนา แขวงบางนาเหนือ,วันที่ 8ธันวาBeat discovery สนามเทนนิส คนเล่นส่งเสียงดังมากค่ะ(เสียงกรี๊ด เสียงโห่) อยากให้ทางสนามช่วยแก้ ปรับปรุง โครงสร้างอาคาร ปรับแต่งผนังสนาม หรือลดการใช้เสียงค่ะ,"เขตบางนา, กรุงเทพมหานคร",เสียง,รอรับเรื่อง,2024-12-08,20:00 น.,รอรับเรื่อง,1,,,
2024-64ERHV,8 ธ.ค. 67,17:11 น.,รอรับเรื่อง 20 ชั่วโมงที่แล้ว,เขตบางนา แขวงบางนาเหนือ,ฝาท่อแตก,"เขตบางนา, ฝ่ายโยธา เขตบางนา, กรุงเทพมหานคร",อุปกรณ์ชำรุด,รอรับเรื่อง,2024-12-09,09:54 น.,ใช้เวลา 16 ชม. 44 นาที,0,,,
2024-PA7PTM,8 ธ.ค. 67,17:05 น.,รอรับเรื่อง 21 ชั่วโมงที่แล้ว,เขตบางนา แขวงบางนาเหนือ,สอบถามการดำเนินของเซ็นทรัลบางนา สามารถขายของด้านหน้าลานติดถนนได้หรือไม่ และมีการจัดงานด้านหลังอีกแล้วทำได้หรือ,"เขตบางนา, กรุงเทพมหานคร",หาบเร่แผงลอย,รอรับเรื่อง,2024-12-08,17:05 น.,รอรับเรื่อง,1,,,
2024-43F9C4,8 ธ.ค. 67,12:06 น.,รอรับเรื่อง 1 วันที่แล้ว,เขตบางนา แขวงบางนาเหนือ,วินมอเตอร์ไซค์และมอเตอร์ไซค์ขับย้อนศรตลอดเวลา ไม่ควรมีวินมอเตอร์ไซค์บริเวณนี้,"เขตบางนา, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,2024-12-08,12:06 น.,รอรับเรื่อง,1,,,
2024-7C29MV,7 ธ.ค. 67,13:41 น.,รอรับเรื่อง 2 วันที่แล้ว,เขตบางนา แขวงบางนาใต้,ให้ระงับกานรื้อถอน ทันที โดยออกเป็นคำสั่ง ปรือ หนังสือ ให้ผู้ที่รื้อถอน,"เขตบางนา, ฝ่ายโยธา เขตบางนา, กรุงเทพมหานคร",อาคารสถานที่ชำรุด,รอรับเรื่อง,2024-12-08,10:18 น.,ใช้เวลา 20 ชม. 37 นาที,1,,,
