ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากวันที่เริ่มแจ้ง(วัน),ระยะเวลาจากสถานะล่าสุด(วัน),ค่า Median (วัน),ค่า Mean (วัน),ค่า Percentile 90 (วัน)
2024-LE2QTD,2024-12-09,10:20 น.,รอรับเรื่อง 1 ชั่วโมงที่แล้ว,เขตบางรัก แขวงมหาพฤฒาราม,วันจันทร์ที่9ธันวาคม2567ก่อสร้างเริ่มทุบ เหล็ก โมล นั่งร้านตั้งแต่ 7.30น. (เช้า)ไม่ทราบว่า ทางราชการทำอะไรได้บ้างคะวันอาทิตย์ วันหยุดนักขัตฤกษ์ก็ก่อสร้างเสียงดังตั้งแต่7-8โมงเชัา รบกวนช่วยทำอะไรซักอย่างเถอะคะ ไม่ใช่ให้คนรับกรรมเป็นบ้านเรือนรอบข้างที่ของเค้า เค้าจะทำอะไรก็ได้ ใช่คะแต่เค้ากำลังละเมิดสิทธิ์ของคนอื่นที่พึงมีในการพักผ่อนนะคะวันธรรมดาช่วยก่อน8โมงเช้าวันอาทิตย์ วันหยุดนัดขัตฤกษ์ ทั้งวันตลอดเวลา บอกก่อสร้างว่าให้ควบคุมเสียงเหมือนตอนแอบทำตอนกลางคืนหลังฟ้ามืด หลังเวลา22.00น. นะคะแอบทำ ก็เห็นก็รู้ แต่ไม่ได้แจ้ง ก็ทำเหมือนไม่เห็นหัวประชาชน ทั้งเสียง ไหนจะฝุ่นอีกขอพักผ่อนบ้างเถอะคะยาก็กินแล้ว บ้านก็ซื้อเครื่องฟอกเพิ่มแล้ว ถูบ้านก็ต้องถูบ้านเพิ่มแล้ว รถก็ต้องล้่างถี่มากๆเพราะฝุ่นเยอะมาก ประช่ชนรอบข้างต้องทำยังไงคะผรม. บริษัท 33 เอ็นจิเนียริ่ง จำกัดหมวดหมู่ : รับเหมาก่อสร้างทั่วไปที่อยู่ 89/9 หมู่ 10 อาคารศรีบุญมาโฮมแคร์ 3 ถนนราชพฤกษ์ ตำบลบางกร่าง อำเภอเมืองนนทบุรี จังหวัดนนทบุรี 11000โทรศัพท์ 0-2422-6622-5เจ้าของโครงการบริษัท บุบผาภักดิ์ จำกัดที่ตั้ง56 ซอยพาสนา 2 แขวงพระโขนงเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,"เขตบางรัก, ฝ่ายโยธา เขตบางรัก, กรุงเทพมหานคร",เสียง,รอรับเรื่อง,2024-12-09,11:12 น.,ใช้เวลา 53 นาที,0,0,,,
2024-N6NCHT,2024-12-09,09:38 น.,รอรับเรื่อง 1 ชั่วโมงที่แล้ว,เขตบางรัก,เนื่องจากซอยข้างโรบินสันบางรัก เจริญกรุง48 แม่ค้าเอาตะกร้ามาวางขวางทางไว้ตามทางเดิน และบนฟุตบาท จึงทำให้ทางเดินแคปลง แล้วเอามากั้นเป็นทางของร้านตัวเอง ยังไงรบกวนช่วยตรวจสอบด้วยนะคะ,"เขตบางรัก, ฝ่ายเทศกิจ เขตบางรัก, กรุงเทพมหานคร",หาบเร่แผงลอย,รอรับเรื่อง,2024-12-09,11:02 น.,ใช้เวลา 1 ชม. 25 นาที,0,0,,,
2024-N79CZM,2024-11-23,12:37 น.,รอรับเรื่อง 15 วันที่แล้ว,เขตบางรัก แขวงสีลม,สัญญาณไฟคนข้ามถนนหน้าธนาคารกรุงเทพมีปัญหา,"เขตบางรัก, กลุ่มงานสัญญาณไฟจราจร สวจ.สจส., สำนักการจราจรและขนส่ง กรุงเทพมหานคร (สจส.), กรุงเทพมหานคร",อุปกรณ์ชำรุด,เปิดเรื่องใหม่,2024-12-06,10:05 น.,ใช้เวลา 12 วัน 21 ชม.,16,3,,,
2024-DL7RUA,2024-10-12,14:17 น.,รอรับเรื่อง 57 วันที่แล้ว,เขตบางรัก,กทม จัดการด้วย เดี๋ยวตำรวจเค้ามา selfie แล้วบอกไม่เห็นมีใครอีก,"เขตบางรัก, สน.บางรัก, กองบังคับการตำรวจนครบาล 6 (บก.น.6), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), กรุงเทพมหานคร",อื่นๆ,เปิดเรื่องใหม่,2024-12-06,10:56 น.,ใช้เวลา 54 วัน 20 ชม.,58,3,,,
2024-CG9K9W,2024-08-02,14:57 น.,รอรับเรื่อง 128 วันที่แล้ว,เขตบางรัก,จอดรถผิดกฎหมาย และกีดขวางการจราจรสน ยานนาวา ไม่เคยมาดำเนินการใดๆให้เป็นรูปธรรม ด้อยประสิทธิภาพในการทำงาน และสิ้นเปลื้องภาษีของประชาชนเป็นอย่างมาก,"เขตบางรัก, สน.ยานนาวา, กองบังคับการตำรวจนครบาล 6 (บก.น.6), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), กรุงเทพมหานคร",อื่นๆ,เปิดเรื่องใหม่,2024-12-07,08:40 น.,ใช้เวลา 126 วัน 17 ชม.,129,2,,,
2024-BTGED4,2024-07-16,15:07 น.,รอรับเรื่อง 145 วันที่แล้ว,เขตบางรัก แขวงสีลม,โรงแรมดุสิตธานี สร้างพื้นที่เกินกว่าที่กฎหมายกำหนดมาก กรุงเทพมหานครอนุญาตให้สร้างได้อย่างไร ฝ่ายโยธา นายภีมพงศ์ กับ นายอาดัม เจริญยิ่ง เป็นผู้ที่อนุญาตให้สร้าง ได้เงินหลายล้าน สร้างผิดกฎหมายควบคุมอาคาร,"สำนักงานควบคุมอาคาร สำนักการโยธา (สคอ.สนย.) กทม., เขตบางรัก, สำนักการโยธา กทม., กลุ่มงานควบคุมอาคาร 2 ส่วนควบคุมอาคาร 1 สำนักงานควบคุมอาคาร (สคอ.สนย.), กรุงเทพมหานคร",อาคารสถานที่ชำรุด,เปิดเรื่องใหม่,2024-12-09,11:28 น.,ใช้เวลา 145 วัน 20 ชม.,146,0,,,
2024-DGNFB9,2024-06-27,17:48 น.,รอรับเรื่อง 164 วันที่แล้ว,เขตบางรัก,จอดรถผิดกฎหมาย และกีดขวางการจราจรสน ยานนาวา ไม่เคยมาดำเนินการใดๆให้เป็นรูปธรรม ด้อยประสิทธิภาพในการทำงาน และสิ้นเปลื้องภาษีของประชาชนเป็นอย่างมาก,"เขตบางรัก, สน.ยานนาวา, กองบังคับการตำรวจนครบาล 6 (บก.น.6), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), กรุงเทพมหานคร",อื่นๆ,เปิดเรื่องใหม่,2024-12-09,10:53 น.,ใช้เวลา 164 วัน 17 ชม.,165,0,,,
2024-649ZHR,2024-06-26,17:30 น.,รอรับเรื่อง 165 วันที่แล้ว,เขตบางรัก,จอดรถผิดกฎหมาย และกีดขวางการจราจรสน ยานนาวา ไม่เคยมาดำเนินการใดๆให้เป็นรูปธรรม ด้อยประสิทธิภาพในการทำงาน และสิ้นเปลื้องภาษีของประชาชนเป็นอย่างมาก,"เขตบางรัก, สน.ยานนาวา, กองบังคับการตำรวจนครบาล 6 (บก.น.6), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), กรุงเทพมหานคร",อื่นๆ,เปิดเรื่องใหม่,2024-12-09,10:54 น.,ใช้เวลา 165 วัน 17 ชม.,166,0,,,
2024-BDYFB7,2024-06-10,12:02 น.,รอรับเรื่อง 181 วันที่แล้ว,เขตบางรัก แขวงสีลม,รร ดุสิตธานี ก่อสร้างผิด พรบ ควบคุมอาคาร ระยะล้มผิด กม ก่อ สร้างไม่คลุมฝุ่น รถพ่วงเข้าออกหน้างานทั้งวันทั้งคืน อันตราย มีฝุ่น มีเสียงเยอะมาก ผอ เขต ไมดูแล ปล่อยปะละเลย ปชช เดือดร้อน รถติด ถนนพัง,"เขตบางรัก, สำนักงานควบคุมอาคาร สำนักการโยธา (สคอ.สนย.) กทม., สำนักการโยธา กทม., กลุ่มงานควบคุมอาคาร 2 ส่วนควบคุมอาคาร 1 สำนักงานควบคุมอาคาร (สคอ.สนย.), กรุงเทพมหานคร",อื่นๆ,เปิดเรื่องใหม่,2024-12-09,11:30 น.,ใช้เวลา 181 วัน 23 ชม.,182,0,,,
2024-C4BGHM,2024-05-28,16:39 น.,รอรับเรื่อง 194 วันที่แล้ว,เขตบางรัก,จอดรถในที่ห้ามจอด จอดแบบนี้ทุกวัน เจ้าหน้าที่ตำรวจ สน ยานนาวา ไม่เคยทำงานได้มีประสิทธิภาพเลย ไม่มีศักยภาพในการแก้ปัญหาได้มีการนำรูปเก่ามาหลอกว่าได้ดำเนินการแล้ว มีหลายครั้งมากที่เจ้าหน้าที่ตำรวจสร้างหลักฐานเท็จ,"เขตบางรัก, สน.ยานนาวา, กองบังคับการตำรวจนครบาล 6 (บก.น.6), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), กรุงเทพมหานคร",อื่นๆ,เปิดเรื่องใหม่,2024-12-09,11:27 น.,ใช้เวลา 194 วัน 18 ชม.,195,0,,,
