ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากวันที่เริ่มแจ้ง(วัน),ระยะเวลาจากสถานะล่าสุด(วัน),ค่า Median (วัน),ค่า Mean (วัน),ค่า Percentile 90 (วัน)
2024-7TA2PC,2024-12-09,09:02 น.,รอรับเรื่อง 2 ชั่วโมงที่แล้ว,เขตป้อมปราบศัตรูพ่าย,ขายของบนทางเท้าเป็นปกติธุระ หรือ ขายของบนทางเท้าเป็น Sun-Dan ขาย 12:00-21:00 เขตป้อมปราบช่วยเหลือให้ขาย,"เขตป้อมปราบศัตรูพ่าย, กรุงเทพมหานคร",หาบเร่แผงลอย,รอรับเรื่อง,2024-12-09,09:02 น.,รอรับเรื่อง,0,0,,,
2024-8YPX7L,2024-12-09,08:36 น.,รอรับเรื่อง 2 ชั่วโมงที่แล้ว,เขตป้อมปราบศัตรูพ่าย แขวงป้อมปราบ,มาจอดรถเก๋งสีดำฮ้อด้า7กฬ2330จอดบนผื้นถนนขวางหัวแดงดับเพลิงและวันนี้วันจันทร์ทางเขตให้หยุดขายยังฝ่าฝืนอยู่ช่วยส่งเจ้าหน้าที่ที่รับผิดชอบช่วยมาดูด้วยครับผมอยู่หน้าปากทางซอยอิสรนุภาพครับส่งมาด้วยครับ,"เขตป้อมปราบศัตรูพ่าย, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,2024-12-09,08:36 น.,รอรับเรื่อง,0,0,,,
2024-G7H2D3,2024-12-04,22:46 น.,รอรับเรื่อง 4 วันที่แล้ว,เขตป้อมปราบศัตรูพ่าย แขวงบ้านบาตร,มีป้ายวางบนฟุตบาททุกคืน เทศกิจทำได้เเค่ยกป้ายออกแล้วถ่ายรูปส่งมาว่าไม่มีป้าย เทศกิจน่าจะหวาดกลัวเจ้าของร้าน หรืออาจรับ...มา ไร้เกียรติ ไร้ศักดิ์ศรี,"ฝ่ายเทศกิจ เขตป้อมปราบศัตรูพ่าย, เขตป้อมปราบศัตรูพ่าย, กรุงเทพมหานคร",ทางเท้า,เปิดเรื่องใหม่,2024-12-09,08:25 น.,ใช้เวลา 4 วัน 9 ชม.,5,0,,,
2024-48ZXUE,2024-12-03,08:42 น.,รอรับเรื่อง 6 วันที่แล้ว,เขตป้อมปราบศัตรูพ่าย แขวงบ้านบาตร,"ขอให้นายเพ็ชร ภุมมา ผอ.เขตป้อมปราบ เอาป้ายใหญ่ๆ ที่เขียนว่า "" ห้ามจำหน่ายอาหารบนทางเท้า ฝ่าฝืนปรับ 5,000 บาท "" มาติดที่เสานี้ทั้งสองด้าน เพราะร้านนี้ขายของบนทางเท้าทุกคืน และมีการจ่าย ... ด้วย","ฝ่ายเทศกิจ เขตป้อมปราบศัตรูพ่าย, เขตป้อมปราบศัตรูพ่าย, กรุงเทพมหานคร",หาบเร่แผงลอย,เปิดเรื่องใหม่,2024-12-09,08:25 น.,ใช้เวลา 5 วัน 23 ชม.,6,0,,,
2024-H38MTB,2024-11-26,08:47 น.,รอรับเรื่อง 13 วันที่แล้ว,เขตป้อมปราบศัตรูพ่าย แขวงบ้านบาตร,ให้ตั้งแผงเหล็กบนฟุตบาทกั้นไม่ให้ร้านเหล้าเอามอเตอไซขึ้นมาจอด ไม่ใช่ตั้งบนถนน อ่านภาษาไทย และดูรูปให้เข้าใจด้วย,"ฝ่ายเทศกิจ เขตป้อมปราบศัตรูพ่าย, เขตป้อมปราบศัตรูพ่าย, กรุงเทพมหานคร",ทางเท้า,เปิดเรื่องใหม่,2024-12-09,08:27 น.,ใช้เวลา 12 วัน 23 ชม.,13,0,,,
2024-MYAALX,2024-11-20,09:26 น.,รอรับเรื่อง 19 วันที่แล้ว,เขตป้อมปราบศัตรูพ่าย,คนเเถวนี้เค้ารู้กันหมดแล้ว ว่าทำไมร้านนี้ถึงตั้งขายบนทางเท้าเเละบนถนนตั้งเเต่ เที่ยงวันยันสามทุ่ม เทศกิจจะมาตรวจตอนเช้าที่ยังไม่ขาย กับตอนที่ปิดร้าน เพราะอะไร ผอ.เขต รู้มั้ย ถ้าไม่รู้มาถามคนเเถวร้านนี้ดู หรือจะมาแอบถามเด็กเสริฟที่ร้านก็ได้นะ 555,"ฝ่ายเทศกิจ เขตป้อมปราบศัตรูพ่าย, เขตป้อมปราบศัตรูพ่าย, กรุงเทพมหานคร",หาบเร่แผงลอย,เปิดเรื่องใหม่,2024-12-09,08:22 น.,ใช้เวลา 18 วัน 22 ชม.,19,0,,,
2024-7XWPVC,2024-11-06,18:09 น.,รอรับเรื่อง 32 วันที่แล้ว,เขตป้อมปราบศัตรูพ่าย,เทศกิจตั้งใจมาตรวจตอน 9 โมง ซึ่งเป็นเวลาที่ยังไม่ขาย ไม่มีตั้งของบนทางเท้า มาตรวจตอน 18:00 สิ ***เยอะเเน่ๆ ช่วยเหลือกันสุดๆ,"ฝ่ายเทศกิจ เขตป้อมปราบศัตรูพ่าย, เขตป้อมปราบศัตรูพ่าย, กรุงเทพมหานคร",หาบเร่แผงลอย,เปิดเรื่องใหม่,2024-12-09,08:19 น.,ใช้เวลา 32 วัน 14 ชม.,33,0,,,
2024-B8QUYD,2024-11-06,18:03 น.,รอรับเรื่อง 32 วันที่แล้ว,เขตป้อมปราบศัตรูพ่าย,ร้านนี้ตั้งขายบนทางเท้า และบนถนน เวลา 12:00-22:00 เเต่เทศกิจมาตรวจตอน 9:00 ก็ไม่เจอนะสิ *** ***,"ฝ่ายเทศกิจ เขตป้อมปราบศัตรูพ่าย, เขตป้อมปราบศัตรูพ่าย, กรุงเทพมหานคร",หาบเร่แผงลอย,เปิดเรื่องใหม่,2024-12-09,08:20 น.,ใช้เวลา 32 วัน 14 ชม.,33,0,,,
2024-NY3LW3,2024-11-06,18:00 น.,รอรับเรื่อง 32 วันที่แล้ว,เขตป้อมปราบศัตรูพ่าย,เพราะรับส่วย ก็เลยมาตรวจตอนที่ยังไม่ได้ตั้งขายบนทางเท้า มาตรวจตอน 17:00-22:00 สิ เจอตู้ เจอโต๊ะ เต็มฟุตบาท,"ฝ่ายเทศกิจ เขตป้อมปราบศัตรูพ่าย, เขตป้อมปราบศัตรูพ่าย, กรุงเทพมหานคร",ทางเท้า,เปิดเรื่องใหม่,2024-12-09,08:21 น.,ใช้เวลา 32 วัน 14 ชม.,33,0,,,
2024-KNG3XX,2024-10-25,23:20 น.,รอรับเรื่อง 44 วันที่แล้ว,เขตป้อมปราบศัตรูพ่าย แขวงวัดโสมนัส,ถึง ผอ.เขตป้อมปราบ ลูกน้องท่านส่งรูปตัดต่อเข้าระบบทราฟหี่ฟองดูร์ เเละรูปนี้จะถูกเผยเเพร่ในโซเชียลเเน่นอน,"ฝ่ายเทศกิจ เขตป้อมปราบศัตรูพ่าย, เขตป้อมปราบศัตรูพ่าย, กรุงเทพมหานคร",อื่นๆ,เปิดเรื่องใหม่,2024-12-09,08:21 น.,ใช้เวลา 44 วัน 9 ชม.,45,0,,,
