ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากสถานะล่าสุด(วัน),ค่า Median (วัน),ค่า Mean (วัน),ค่า Percentile 90 (วัน)
2024-GMGN78,9 ธ.ค. 67,12:54 น.,รอรับเรื่อง 1 ชั่วโมงที่แล้ว,เขตภาษีเจริญ แขวงบางหว้า,ขยะเต็มคลอง ริถถนน ติดซอย 46/2,"เขตภาษีเจริญ, กรุงเทพมหานคร",ความสะอาด,รอรับเรื่อง,2024-12-09,12:54 น.,รอรับเรื่อง,0,,,
2024-LYT4FP,9 ธ.ค. 67,10:51 น.,รอรับเรื่อง 3 ชั่วโมงที่แล้ว,เขตภาษีเจริญ แขวงบางหว้า,พบหนูจำนวนหลายตัวในบริเวณร้านกาแฟ สโมสร สระว่ายน้ำ ฟิตเนส ซาวน่า ของโครงการเดอะเล็ค สาทร ถนนกัลปพฤกษ์ บางหว้า ภาษีเจริญ ทางโครงการทราบปัญหามานานเกินครึ่งปีแล้ว แต่ปัญหายังไม่ได้รับการแก้ไข เชื้อโรคจากหนูอาจปนเปื้อนในอาหารและเครื่องดื่มที่บริการและจำหน่ายแก่ลูกค้าได้,"เขตภาษีเจริญ, กรุงเทพมหานคร",สัตว์,รอรับเรื่อง,2024-12-09,10:51 น.,รอรับเรื่อง,0,,,
2024-DH8YRT,9 ธ.ค. 67,09:26 น.,รอรับเรื่อง 4 ชั่วโมงที่แล้ว,เขตภาษีเจริญ แขวงบางแวก,ตอนนี้ท่อตันมา1อาทิตย์แล้วค่ะ มีน้ำเน่า รบกวนหน่วยงานช่วยหน่อยนะคะ ขอบคุณมากๆค่ะ,"เขตภาษีเจริญ, กรุงเทพมหานคร",ประปา,รอรับเรื่อง,2024-12-09,09:26 น.,รอรับเรื่อง,0,,,
2024-LF6NBC,9 ธ.ค. 67,06:26 น.,รอรับเรื่อง 7 ชั่วโมงที่แล้ว,เขตภาษีเจริญ แขวงบางหว้า,จอดรถบนทางเท้า,"เขตภาษีเจริญ, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,2024-12-09,06:26 น.,รอรับเรื่อง,0,,,
2024-GAH7KR,9 ธ.ค. 67,00:25 น.,รอรับเรื่อง 13 ชั่วโมงที่แล้ว,เขตภาษีเจริญ แขวงบางด้วน,มีกล่องดำห้อยหน้าบ้าน ไม่แน่ใจสายไฟ โทรศัพท์ หรือเน็ต อาจหล่นใส่หัวเกิดอันตรายได้,"เขตภาษีเจริญ, กรุงเทพมหานคร",สายสื่อสาร,รอรับเรื่อง,2024-12-09,00:25 น.,รอรับเรื่อง,0,,,
2024-GXCCV4,8 ธ.ค. 67,23:38 น.,รอรับเรื่อง 14 ชั่วโมงที่แล้ว,เขตภาษีเจริญ แขวงคูหาสวรรค์,กระจกโค้งจราจร ชำรุด บุบ ไม่สามารถส่องเห็นรถได้ ช่วยแก้ไขโดยการซ่อมหรือเปลี่ยนเลย และควรพัฒนาเชิงป้องกันปัญหา หาจุดวางกระจกโค้งนี้ให้ไม่เป็นเป้าต่อการโดนชนในครั้งต่อๆไป เพราะมีรถชนกระจกโค้งทุกอาทิตย์เลย,"เขตภาษีเจริญ, กรุงเทพมหานคร",อุปกรณ์ชำรุด,รอรับเรื่อง,2024-12-08,23:38 น.,รอรับเรื่อง,1,,,
2024-NA3LTR,5 ก.ย. 67,08:41 น.,รอรับเรื่อง 95 วันที่แล้ว,เขตภาษีเจริญ แขวงปากคลองภาษีเจริญ,ทางเท้าไม่เรียบยุบเป็นหลุม แจ้งแก้ไขแล้วยังเหมือนเดิม,"กรมทางหลวงชนบท กระทรวงคมนาคม, เขตภาษีเจริญ, กรุงเทพมหานคร",ทางเท้า,รอรับเรื่อง,2024-09-13,15:00 น.,ใช้เวลา 8 วัน 6 ชม.,87,,,
2024-MEPYYG,31 พ.ค. 67,07:34 น.,รอรับเรื่อง 192 วันที่แล้ว,เขตภาษีเจริญ แขวงบางด้วน,มีรถจอดกีดขวางทาง ทำให้รถขยะไม่สามารถผ่านเข้ามาเก็บขยะภายในซอยด้านในได้ครับ,"สน.ภาษีเจริญ, เขตภาษีเจริญ, กองบังคับการตำรวจนครบาล 9 (บก.น.9), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), กรุงเทพมหานคร",ถนน,รอรับเรื่อง,2024-06-01,09:34 น.,ใช้เวลา 1 วัน 2 ชม.,191,,,
2023-HFTU3F,18 พ.ค. 66,19:22 น.,รอรับเรื่อง 570 วันที่แล้ว,เขตภาษีเจริญ แขวงปากคลองภาษีเจริญ,ต้องการเพิ่มไฟส่องสว่างและกล้องวงจรปิด,"กรมทางหลวงชนบท กระทรวงคมนาคม, เขตภาษีเจริญ, เพื่อนชัชชาติ, กรุงเทพมหานคร",จุดเสี่ยง,เปิดเรื่องใหม่,2023-06-15,22:05 น.,ใช้เวลา 28 วัน 2 ชม.,543,,,
2022-8CX9V7,10 ธ.ค. 65,00:31 น.,รอรับเรื่อง 730 วันที่แล้ว,เขตภาษีเจริญ,วงกลมตรงกลาง มีสภาพไม่น่าดูไม่สวยงามอยากมห้มีการตกเเต่งแลูกต้นไม้ให้สวยงาม เนื่องจากเป็นวงกลมเฉยๆตรงกลางทำมห้คนนำขยะมาทิ้งลงไป,"เขตภาษีเจริญ, กรมทางหลวงชนบท กระทรวงคมนาคม, เพื่อนชัชชาติ, กรุงเทพมหานคร",อื่นๆ,เปิดเรื่องใหม่,2022-12-13,23:34 น.,ใช้เวลา 3 วัน 23 ชม.,727,,,
