ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากสถานะล่าสุด(วัน),ค่า Median (วัน),ค่า Mean (วัน),ค่า Percentile 90 (วัน)
2024-EWDWUE,9 ธ.ค. 67,11:08 น.,รอรับเรื่อง 3 ชั่วโมงที่แล้ว,เขตมีนบุรี,ไม่มาเก็บขยะปากซอยหทัยราษฎร์21,"เขตมีนบุรี, ฝ่ายรักษาความสะอาดฯ เขตมีนบุรี, กรุงเทพมหานคร",ความสะอาด,รอรับเรื่อง,2024-12-09,12:28 น.,ใช้เวลา 1 ชม. 20 นาที,0,,,
H7KEBF,24 ต.ค. 67,17:42 น.,รอรับเรื่อง 45 วันที่แล้ว,เขตมีนบุรี แขวงแสนแสบ,mu ทีมงานทดสอบแจ้ง#TraffyWebsite,"กระทรวงการท่องเที่ยวและกีฬา, กรุงเทพมหานคร, เขตมีนบุรี",อื่นๆ,รอรับเรื่อง,2024-10-24,17:42 น.,รอรับเรื่อง,46,,,
AW3W29,24 ต.ค. 67,17:38 น.,รอรับเรื่อง 45 วันที่แล้ว,เขตมีนบุรี แขวงแสนแสบ,ทดสอบแจ้งไทย โดยทีงานฟ.#TraffyWebsite,"กระทรวงการท่องเที่ยวและกีฬา, กรุงเทพมหานคร, เขตมีนบุรี",อื่นๆ,รอรับเรื่อง,2024-10-24,17:38 น.,รอรับเรื่อง,46,,,
DUJ2AK,24 ต.ค. 67,17:35 น.,รอรับเรื่อง 45 วันที่แล้ว,เขตมีนบุรี แขวงแสนแสบ,ทดสอบแจ้งภาษา Eng f.#TraffyWebsite #English,"กระทรวงการท่องเที่ยวและกีฬา, กรุงเทพมหานคร, เขตมีนบุรี",อื่นๆ,รอรับเรื่อง,2024-10-24,17:35 น.,รอรับเรื่อง,46,,,
6C4UX2,24 ต.ค. 67,17:25 น.,รอรับเรื่อง 45 วันที่แล้ว,เขตมีนบุรี แขวงแสนแสบ,ทีมงานขอทดสอบแจ้งภาษาไทย#TraffyWebsite,"กระทรวงการท่องเที่ยวและกีฬา, กรุงเทพมหานคร, เขตมีนบุรี",อื่นๆ,รอรับเรื่อง,2024-10-24,17:25 น.,รอรับเรื่อง,46,,,
3JC3PG,24 ต.ค. 67,17:16 น.,รอรับเรื่อง 45 วันที่แล้ว,เขตมีนบุรี แขวงแสนแสบ,Test report in english by f.#TraffyWebsite #English,"กระทรวงการท่องเที่ยวและกีฬา, กรุงเทพมหานคร, เขตมีนบุรี",อื่นๆ,รอรับเรื่อง,2024-10-24,17:16 น.,รอรับเรื่อง,46,,,
6J4CHP,24 ต.ค. 67,16:23 น.,รอรับเรื่อง 45 วันที่แล้ว,เขตมีนบุรี แขวงแสนแสบ,ทดสอบแจ้งภาษาไทย โดยทีมงาน#TraffyWebsite,"กระทรวงการท่องเที่ยวและกีฬา, กรุงเทพมหานคร, เขตมีนบุรี",อื่นๆ,รอรับเรื่อง,2024-10-24,16:23 น.,รอรับเรื่อง,46,,,
4HKTYU,24 ต.ค. 67,15:12 น.,รอรับเรื่อง 45 วันที่แล้ว,เขตมีนบุรี แขวงแสนแสบ,ทดสอบแจ้งโดยทีมงาน#TraffyWebsite #English,"กระทรวงการท่องเที่ยวและกีฬา, กรุงเทพมหานคร, เขตมีนบุรี",อื่นๆ,รอรับเรื่อง,2024-10-24,15:12 น.,รอรับเรื่อง,46,,,
YZXPEG,24 ต.ค. 67,14:53 น.,รอรับเรื่อง 45 วันที่แล้ว,เขตมีนบุรี แขวงแสนแสบ,ทดสอบแจ้ง#TraffyWebsite #English,"กระทรวงการท่องเที่ยวและกีฬา, กรุงเทพมหานคร, เขตมีนบุรี",อื่นๆ,รอรับเรื่อง,2024-10-24,14:53 น.,รอรับเรื่อง,46,,,
PPC228,30 เม.ย. 66,13:44 น.,รอรับเรื่อง 589 วันที่แล้ว,เขตมีนบุรี,* ปัญหา: ประชาชนแจ้งว่ามีกลุ่มคนใช้พื้นที่ส่วนกลางระหว่างตึก A4และA5 ซุมที่ 1 ติดถนน รวมตัวดื่มสุรา ส่งเสียงดัง สร้างความเดือดร้อนแก้ผู้พักอาศัยบริเวณใกล้เคียง ทางนิติรับทราบแต่ไม่ดำเนินการใดๆอยากให้เจ้าหน้าที่เข้ามาตรวจสอบและแก้ไช* จุดเกิดเหตุ: ซื่อตรงคอนโด* ซอย: รามอินทรา 125 * เขต: มีนบุรี#1555,"สน.มีนบุรี, ร้องทุกข์ กทม. 1555, เขตมีนบุรี, กองบังคับการตำรวจนครบาล 3 (บก.น.3), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), กรุงเทพมหานคร, เพื่อนชัชชาติ",เสียง,เปิดเรื่องใหม่,2023-12-19,14:15 น.,ใช้เวลา 233 วัน,356,,,
