ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากวันที่เริ่มแจ้ง(วัน),ระยะเวลาจากสถานะล่าสุด(วัน),ค่า Median (วัน),ค่า Mean (วัน),ค่า Percentile 90 (วัน)
2024-AC8TNF,2024-12-09,00:27 น.,รอรับเรื่อง 11 ชั่วโมงที่แล้ว,เขตราชเทวี,อาการหลังเกิดอุบัติเหตุมีใครรับผิดชอบได้บ้างไหมคะ,"เขตราชเทวี, กรุงเทพมหานคร",อุบัติเหตุ,รอรับเรื่อง,2024-12-09,00:27 น.,รอรับเรื่อง,0,0,,,
2024-3PN9MC,2024-12-06,18:57 น.,รอรับเรื่อง 2 วันที่แล้ว,เขตราชเทวี แขวงถนนเพชรบุรี,ห้างแพลตตินั่มประตูน้ำ ปล่อยให้มีการสูบบุหรี่ภายใต้พื้นที่อาคาร ระยะ 5 เมตร (ใต้ชายคา) ในภาพประกอบคือผู้หญิงต่างชาติชุดเขียว สูบบุหรี่บริเวณหน้าร้าน 7-11 ในอาคาร,"เขตราชเทวี, ฝ่ายสิ่งแวดล้อมฯ เขตราชเทวี, กรุงเทพมหานคร",อาคารสถานที่ชำรุด,รอรับเรื่อง,2024-12-09,09:45 น.,ใช้เวลา 2 วัน 14 ชม.,3,0,,,
2024-77E99D,2024-12-04,00:00 น.,รอรับเรื่อง 5 วันที่แล้ว,เขตราชเทวี แขวงถนนพญาไท,Makro ศรีอยุธยา ดำเนินการแก้ไขปัญหาเสียงของ blower ยักษ์ รบกวนผู้พักอาศัยคอนโดล่าช้ามากๆ. รบกวนตรวจสอบด้วย ว่าผ่าน EIA ได้อย่างไร และจะแก้ไขให้เสร็จภายในกี่วัน แล้วจะชดเชยอย่างไร,"เขตราชเทวี, ฝ่ายโยธา เขตราชเทวี, กรุงเทพมหานคร",เสียง,รอรับเรื่อง,2024-12-05,16:00 น.,ใช้เวลา 1 วัน 16 ชม.,5,4,,,
2024-NWX89A,2024-12-03,20:15 น.,รอรับเรื่อง 5 วันที่แล้ว,เขตราชเทวี แขวงถนนพญาไท,มีศพแมวอยู่ติดเกาะกลางถนนตรงหน้า king power ก่อนถึงโรงเรียนศรีอยุธยา,"เขตราชเทวี, ฝ่ายรักษาความสะอาดฯ เขตราชเทวี, กรุงเทพมหานคร",สัตว์,กำลังดำเนินการ,2024-12-09,11:33 น.,ใช้เวลา 5 วัน 15 ชม.,6,0,,,
2024-KHGUZU,2024-12-02,10:03 น.,รอรับเรื่อง 7 วันที่แล้ว,เขตราชเทวี แขวงมักกะสัน,ร้องเรียนฝ่ายสวน เขตราชเทวี ดำเนินการล่าช้ามากกับการนำกระถางต้นไม้มาติดตั้งให้สมบูรณ์บริเวณ เกาะกลางถนนอโศกดินแดง ในจุดที่ไม่มี ไม่ทราบติดขัดเหตุใด เพราะทุกวันนี้มอเตอไซต์ปีนเกาะข้ามฝั่งในจุดที่ไม่มีกระถางต้นไม้บนเกาะกลางถนน #ช่วยกันโหวต#ให้กทมแก้ปัญหา#อย่างเร่งด่วน#เขตราชเทวี,"เขตราชเทวี, ฝ่ายรักษาความสะอาดฯ เขตราชเทวี, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,2024-12-03,10:50 น.,ใช้เวลา 1 วัน,7,6,,,
2023-CV3B92,2023-10-17,15:23 น.,รอรับเรื่อง 418 วันที่แล้ว,เขตราชเทวี,ไม่วิ่งเลนซ้ายเพื่อรับผู้โดยสารเลย วิ่งเลน 4 แล้วจอดให้ผู้โดยสารไปขึ้นกลางถนน หากเกิดอุบัติเหตุ ใครรับผิดชอบ?,"องค์การขนส่งมวลชนกรุงเทพ (ขสมก.), เขตราชเทวี, กรุงเทพมหานคร, เพื่อนชัชชาติ",อื่นๆ,รอรับเรื่อง,2023-10-24,13:03 น.,ใช้เวลา 6 วัน 21 ชม.,419,412,,,
2023-3N98NY,2023-03-13,19:26 น.,รอรับเรื่อง 636 วันที่แล้ว,เขตราชเทวี แขวงมักกะสัน,อยากให้ช่วยติดไฟและทำราวทางเดิน,"กองระบบคลอง สำนักการระบายน้ำ, สำนักการระบายน้ำ กทม., เขตราชเทวี, กรุงเทพมหานคร, เพื่อนชัชชาติ,",จุดเสี่ยง,เปิดเรื่องใหม่,2023-03-17,18:04 น.,ใช้เวลา 3 วัน 22 ชม.,637,633,,,
2023-GML3YW,2023-02-24,13:01 น.,รอรับเรื่อง 653 วันที่แล้ว,เขตราชเทวี แขวงทุ่งพญาไท,ฝุ่น PM 2.5 เยอะมาก เมื่อไหร่ผู้ว่าชัชชาติกับสำนักสิ่งแวดล้อมจะจัดการ แจ้งเรื่องไปหลายรอบแล้วไม่แก้ปัญหาให้ได้ซักที,"สำนักสิ่งแวดล้อม กทม., กองจัดการคุณภาพอากาศและเสียง สำนักสิ่งแวดล้อม, เขตราชเทวี, กรุงเทพมหานคร, เพื่อนชัชชาติ",ฝุ่นควัน&กลิ่น&PM2.5,รอรับเรื่อง,2023-02-24,14:11 น.,ใช้เวลา 1 ชม. 10 นาที,654,654,,,
2022-F94CY3,2022-10-18,19:25 น.,รอรับเรื่อง 782 วันที่แล้ว,เขตราชเทวี,ป้ายรถเมล์ อยู่ตรงกับตู้ไฟ อ่านไม่ได้ เพราะมันอยู่ติดกันครับ อ่านได้ฝั่งเดียว,"สำนักงานระบบขนส่ง สขส. สจส., สำนักงาน กสทช. ภาค 2, สำนักการจราจรและขนส่ง กรุงเทพมหานคร (สจส.), ส่วนระบบขนส่งทางบกและทางน้ำ สขส., เขตราชเทวี, กลุ่มงานพัฒนาระบบโครงข่าย (สบน.สขส.), สำนักงาน กสทช. (ศูนย์รับแจ้งปัญหา 1200), กรุงเทพมหานคร, เพื่อนชัชชาติ",อื่นๆ,รอรับเรื่อง,2024-11-26,15:34 น.,ใช้เวลา 769 วัน 20 ชม.,783,13,,,
2022-4EPXN3,2022-06-29,08:12 น.,รอรับเรื่อง 894 วันที่แล้ว,เขตพญาไท,มีน้ำรั่วลงมาจากท่อบริเวณสะพานข้ามแยกสามเหลี่ยมดินแดง ทำให้น้ำนองบนถนนจำนวนมาก และเป็นอันตรายต่อผู้ขับขี่จักรยานยนต์ รบกวนผู้เกี่ยวข้องมาตรวจสอบท่อระบายน้ำของสะพานข้ามแยกนี้ด้วยครับ,"สำนักการโยธา กทม., สำนักงานวิศวกรรมทาง สำนักการโยธา (สวก.สนย.) กทม., เขตราชเทวี, กรุงเทพมหานคร, เพื่อนชัชชาติ",จุดเสี่ยง,กำลังดำเนินการ,2023-02-11,21:38 น.,ใช้เวลา 227 วัน 13 ชม.,894,667,,,
