ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากวันที่เริ่มแจ้ง(วัน),ระยะเวลาจากสถานะล่าสุด(วัน),ค่า Median (วัน),ค่า Mean (วัน),ค่า Percentile 90 (วัน)
2024-64R6D4,2024-12-09,08:37 น.,รอรับเรื่อง 2 ชั่วโมงที่แล้ว,เขตลาดกระบัง,เสียงดังรบกวนการพักผ่อน,"เขตลาดกระบัง, ฝ่ายสิ่งแวดล้อมฯ เขตลาดกระบัง, กรุงเทพมหานคร",เสียง,รอรับเรื่อง,2024-12-09,10:06 น.,ใช้เวลา 1 ชม. 29 นาที,0,0,,,
2024-DUMA96,2024-12-09,08:35 น.,รอรับเรื่อง 2 ชั่วโมงที่แล้ว,เขตลาดกระบัง แขวงลาดกระบัง,เสียงดัง ไม่ได้รับการแก้ไข,"เขตลาดกระบัง, กองบังคับการตำรวจนครบาล 3 (บก.น.3), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), สน.จรเข้น้อย, ฝ่ายสิ่งแวดล้อมฯ เขตลาดกระบัง, กรุงเทพมหานคร",เสียง,รอรับเรื่อง,2024-12-09,10:05 น.,ใช้เวลา 1 ชม. 30 นาที,0,0,,,
2024-8C8RK4,2024-12-08,20:32 น.,รอรับเรื่อง 15 ชั่วโมงที่แล้ว,เขตลาดกระบัง แขวงลำปลาทิว,เปิดเพลงกันดังสนั่นเลย,"เขตลาดกระบัง, กองบังคับการตำรวจนครบาล 3 (บก.น.3), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), สน.ฉลองกรุง, ฝ่ายสิ่งแวดล้อมฯ เขตลาดกระบัง, กรุงเทพมหานคร",เสียง,รอรับเรื่อง,2024-12-09,07:07 น.,ใช้เวลา 10 ชม. 35 นาที,1,0,,,
2024-CKXDK7,2024-12-08,14:05 น.,รอรับเรื่อง 21 ชั่วโมงที่แล้ว,เขตลาดกระบัง แขวงคลองสองต้นนุ่น,ช่วงค่ำของทุกวัน บ้านหลังสุดท้ายของซอยเคหะร่มเกล้า 22 จะมีการเผา รบกวนบ้านหลังอื่นมาก มีทั้งฝุ่นทั้งกลิ่น และบริเวณใกล้เคียงเป็นป่า ซึ่งอาจเกิดกานลามลุกไหม้ได้,"เขตลาดกระบัง, ฝ่ายเทศกิจ เขตลาดกระบัง, กรุงเทพมหานคร",เผาในที่โล่ง,รอรับเรื่อง,2024-12-08,14:43 น.,ใช้เวลา 39 นาที,1,1,,,
2024-8F4CRP,2024-12-07,21:45 น.,รอรับเรื่อง 1 วันที่แล้ว,เขตลาดกระบัง แขวงคลองสองต้นนุ่น,ได้มีการขออนุญาติ จัดงาน ใช้เครื่องเสียง จัดดนตรี หรือไม่ ถัาไม่ได้รับอนุญาติ ทำไมถึงปล่อยให้มีการจัดงาน โดยมีการแสดงดนตรี ยามค่ำคืนเป็นเวลา 10 วัน หากไม่ได้รับอนุญาติ ทำไมถึงปล่อยให้มีการจัดงาน ทำไมผู้อยู่อาศัยต้องได้รับความเดือดร้อน เพื่อให้นายทุนได้ประโยชน์ ขอความชัดเจน ไม่เอาถ่ายรูป แล้วมาบอกดำเนินการแล้ว ขอเป็นหนังสือหลักฐานด้วย อย่าปล่อยให้ทีการจัดงานแล้วค่อยมาแก้ไข อีกไม่กี่งันงานจะเริ่มแล้ว ตกลงจะรอให้มีงานก่อนค่อยจัดการใช่มั้ย,"เขตลาดกระบัง, ฝ่ายสิ่งแวดล้อมฯ เขตลาดกระบัง, กรุงเทพมหานคร",เสียง,รอรับเรื่อง,2024-12-08,09:06 น.,ใช้เวลา 11 ชม. 22 นาที,2,1,,,
2024-LRAYYN,2024-12-06,22:01 น.,รอรับเรื่อง 2 วันที่แล้ว,เขตลาดกระบัง แขวงคลองสองต้นนุ่น,"เรียน ผู้ว่าราชการกรุงเทพมหานคร /ปลัดกรุงเทพมหานคร/ผู้อำนวยการเขตลาดกระบัง/ฝ่ายสิ่งแวดล้อมฯ เนื่องด้วยได้รับความเดือดร้อนจากส่งไก่รบกวนเวลพักผ่อนช่วงเวลา ตี4 ยันช่วงเย็น ทั้งกลิ่นเหม็น ขยะ เศษอาหารให้ไก่กินกลางถนน ปล่อยไก้ไปทั่วบริเวณ ทุกๆวัน สะสมเรื่อยจนไม่สามารถที่จะทนได้แล้ว จะเดินไปบ้านญาติทางริมคลองก็ต้องเดินผ่านทั้งกลิ่นเหม็น เสียงดัง ขยะ เคยร้องเรียนกำสำนักเขตไปแล้วผ่าน ฟองดูว์ ถึงจำนวน 6 ครั้งแล้ว วันที่ 22 สิงหาคม 2566 - วันที่ 23 สิงหาคม 2566- วันที่ 4 กันยายน 2566- วันที่ 30 กันยายน 2566- วันที่ 2 ตุลาคม 2566 - วันที่ 16 ตุลาคม 2566แต่ไม่ได้รับการแก้ปัญหาที่เกิดขึ้น เนื่องจากเจ้าหน้าที่สำนักงานเขตมาดู ถ่ายรูป ว่ากล่าวตักเตือน แค่นั้น ถึงไม่เป็นผลต่อผู้เลี้ยงไก่เลย เพราะผู้เลี้ยงเป็นแค่ผู้เช่าที่ดิน เจ้าของที่ดินไม่ได้อยู่ในพื้นที่ ฝากถึงท่านผู้ว่าช่วยตรวจสอบหน่อยว่าร้องเรียน ไปหลายครั้งแล้ว ไม่ได้รับการแก้ไขปัญหาที่เกิดขึ้น แค่ตอนนี้รำคานเสียงเครื่องบิน และบ้านที่เลี้ยงสุนัข ก็พอทนแล้ว นี่เสียงไก่ร้องตั้งแต่ตี 4 ตี5 ไม่ได้พักเลย และเพราะเลี้ยงไก่เป็นจำนวนมาก เจ้าหน้าที่มา ถึง 6 ครั้ง ก็ไม่สามารถแก้ปัญหาได้ เลยอยากให้ดำเนินการสั่งปรับเจ้าของที่ดินตัวจริง ในพระราชบัญญัติการสาธารณสุข พ.ศ. 2535 ได้กำหนดให้ส่วนราชการท้องถิ่น มีอำนาจดำเนินการในกรณีที่เกิดเหตุเดือดร้อนรำคาญแก่ประชาชน ซึ่งหมายถึง ""การกระทำใดๆ ที่ก่อให้เกิดความเสื่อม หรืออาจเป็นอันตรายต่อสุขภาพของคนข้างเคียง"" โดยมีส่วนที่เกี่ยวกับการเลี้ยงสัตว์ ดังนี้ ""การเลี้ยงสัตว์ในที่ หรือวิธีใด หรือมีจำนวนเกินสมควร จนเป็นเหตุให้เสื่อม หรืออาจเป็นอันตรายต่อสุขภาพ""หมายถึง การเลี้ยงสัตว์ทุกชนิดที่ 1) สถานที่เลี้ยงไม่เหมาะสม สกปรก มีกลิ่นเหม็น เป็นแหล่งเพาะพันธ์ุของสัตว์พาหะนำโรค เป็นต้น 2) วิธีการเลี้ยงรบกวนความเป็นอยู่ของผู้อาศัยข้างเคียง เช่น ปล่อยให้สัตว์ไปกินพืชผักของคนข้างบ้าน หรือปล่อยให้ไปถ่ายที่บ้านข้างเคียง เป็นต้น 3) เลี้ยงจำนวนมากเกินไป เช่นสถานที่เลี้ยงคับแคบ อยู่ใกล้บ้านข้างเคียงแต่เลี้ยงจำนวนมาก จนเกิดเสียงร้องดัง มีกลิ่นสาบ หรือกลิ่นมูลเหม็น เป็นต้นรบกวนช่วยดำเนินการอย่างจริงจัง กับเจ้าของที่ดินที่ปล่อยปะละเลยให้เช่าที่ดินจนเ...","เขตลาดกระบัง, ฝ่ายสิ่งแวดล้อมฯ เขตลาดกระบัง, กรุงเทพมหานคร",เสียง,รอรับเรื่อง,2024-12-07,07:11 น.,ใช้เวลา 9 ชม. 11 นาที,3,2,,,
2024-L4DGFR,2024-12-06,21:06 น.,รอรับเรื่อง 2 วันที่แล้ว,เขตลาดกระบัง แขวงคลองสองต้นนุ่น,ข้างบ้านเปิดเพลงรบกวนเสียงดังทุกเย็น และรวมกลุ่มกันเป็นแหล่งส่องสุ่ม. แจ้งความก้ไม่มีตำรวจหรือหน่วยงานใดเข้ามาจัดการ เพื่อนบ้านวางตัวเป็นอันธพาล ไม่เกรงใจเพื่อนบ้าน สร้างเต็นท์และจอดรถในถนนสาธารณะ บ้านรอบข้างมีแต่เด็กเล็กและคนแก่. แจ้งไปหลายหน่วยงานล้วก้ไม่มีคนมาลงพื้นที่ช่วยดูแลความทุกข์ของประชาชนเลย.,"เขตลาดกระบัง, ฝ่ายสิ่งแวดล้อมฯ เขตลาดกระบัง, กรุงเทพมหานคร",เสียง,รอรับเรื่อง,2024-12-06,21:48 น.,ใช้เวลา 43 นาที,3,3,,,
2024-3H4FEG,2024-12-05,16:48 น.,รอรับเรื่อง 3 วันที่แล้ว,เขตลาดกระบัง แขวงคลองสองต้นนุ่น,ด้านหลังบ้าน ให้อาหารนกพิราบ สร้างความเดือนร้อนให้บ้านบริเวณรอบ เสี่ยงต่อเชื้งโรคและขี้นกจำนวนมากขอปิดบังไม่ให้ใช้รูปนี้กับบุคคลภายในหมู่บ้าน เพราะจะรู้ทันทีว่าใครแจ้ง และจะสร้างความเดือนร้อนให้ทางบ้านค่ะ,"เขตลาดกระบัง, ฝ่ายสิ่งแวดล้อมฯ เขตลาดกระบัง, กรุงเทพมหานคร",สัตว์,รอรับเรื่อง,2024-12-05,20:11 น.,ใช้เวลา 3 ชม. 23 นาที,4,4,,,
2024-AM9QE6,2024-12-05,15:05 น.,รอรับเรื่อง 3 วันที่แล้ว,เขตลาดกระบัง แขวงลาดกระบัง,เสียงดัง รบกวนการพักผ่อน,"ฝ่ายสิ่งแวดล้อมฯ เขตลาดกระบัง, เขตลาดกระบัง, กองบังคับการตำรวจนครบาล 3 (บก.น.3), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), สน.จรเข้น้อย, กรุงเทพมหานคร",เสียง,รอรับเรื่อง,2024-12-05,20:15 น.,ใช้เวลา 5 ชม. 11 นาที,4,4,,,
2024-3H389W,2024-12-04,09:39 น.,รอรับเรื่อง 5 วันที่แล้ว,,ได้มีการขออนุญาติ จัดงาน ใช้เครื่องเสียง จัดดนตรี หรือไม่ ถัาไม่ได้รับอนุญาติ ทำไมถึงปล่อยให้มีการจัดงาน โดยมีการแสดงดนตรี ยามค่ำคืนเป็นเวลา 10 วัน หากไม่ได้รับอนุญาติ ทำไมถึงปล่อยให้มีการจัดงาน ทำไมผู้อยู่อาศัยต้องได้รับความเดือดร้อน เพื่อให้นายทุนได้ประโยชน์ ขอความชัดเจน ไม่เอาถ่ายรูป แล้วมาบอกดำเนินการแล้ว ขอเป็นหนังสือหลักฐานด้วย อย่าปล่อยให้ทีการจัดงานแล้วค่อยมาแก้ไข,"เขตลาดกระบัง, ฝ่ายสิ่งแวดล้อมฯ เขตลาดกระบัง, กรุงเทพมหานคร",เสียง,รอรับเรื่อง,2024-12-04,10:02 น.,ใช้เวลา 24 นาที,5,5,,,
