ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากวันที่เริ่มแจ้ง(วัน),ระยะเวลาจากสถานะล่าสุด(วัน),ค่า Median (วัน),ค่า Mean (วัน),ค่า Percentile 90 (วัน)
2024-BL3VLP,2024-12-09,10:36 น.,รอรับเรื่อง 58 นาทีที่แล้ว,เขตวังทองหลาง แขวงคลองเจ้าคุณสิงห์,ขอตามเรื่อง,"เขตวังทองหลาง, ฝ่ายสิ่งแวดล้อมฯ เขตวังทองหลาง, กรุงเทพมหานคร",ขอความช่วยเหลือ,รอรับเรื่อง,2024-12-09,10:56 น.,ใช้เวลา 21 นาที,0,0,,,
2024-DQCLTN,2024-12-09,07:53 น.,รอรับเรื่อง 3 ชั่วโมงที่แล้ว,เขตวังทองหลาง แขวงวังทองหลาง,เปิดร้านทำเขียงไม้เสียงดังมาหลายปีล้ะ ได้รับความเดือดร้อนส่งเสียงดังไม่เป็นเวลา เสียงดังตึงๆตังๆตึกสั่นทั้งแถบ เพราะเป็นตึกแถว ทำเสียงดังตี3ตี4เกือบทุกวันทนมานานหลายปีล้ะ สุดจะทนเพราะร้านมันทำเป็นครอบครัวเรย น่าจะไม่มีใบอนุญาติ อยากหั้ยตรวจสอบด้วยคับว่ามีใบอนุญาติมาทำกิจการนี้มั้ย แร้วอยากหั้ยติดต่อเจ้าของคนที่พวกมันเช่าตึกทำว่ารุ้มั้ยว่าเช่าทำกิจการรบกวนเสียงดังคนที่นี่มั้ย ตอนแรกจะแจ้งตำรวจหั้ยเข้ามาหั้ยโทรถามเจ้าของที่หั้ยพวกนี้เช่าว่ารุ้มั้ยเช่าแร้วจะทำเสียงดังขนาดนี้มาหลาย10ๆปี เพราะที่นี่มันเป็นที่พักอาศัย ไม่ไช่โรงงานอุตสาหกรรมที่จะมาทำเสียงดังแบบนี้ มีทั้งภาพทั้งคลิปผมบันทึกใว้หมดเวลามันทำเสียงดัง มันไม่เกรงใจใครเรย ผมสุดจะทนล้ะ คนแถวนี้ก็ได้รับความเดือดร้อนเสียงรบกวนเวลาพักผ่อน คนทำงานมาเหนื่อยๆถึงห้องพักกอยากพักผ่อนเงียบๆ แต่ไอ้ตึกที่ทำเขียงไม้นี้มันไม่เกรงใจใครเรย ตึกแถวมันเป็นที่พักอาศัย ไม่ควรมีพวกเห็นแก่ตัวแบบพวกมันมาสร้างความเดือดร้อนคนอื่นแบบนี้ ผมรบกวนฝากตามเรื่องนี้หั้ยผมด้วยนะคับ ได้รับความเดือดร้อนจิงๆหลายปีล้ะที่ทนพวกมัน นอนหลับๆตื่นๆมาหลายปี ขอบคุน,"เขตวังทองหลาง, ฝ่ายสิ่งแวดล้อมฯ เขตวังทองหลาง, กรุงเทพมหานคร",เสียง,รอรับเรื่อง,2024-12-09,10:59 น.,ใช้เวลา 3 ชม. 6 นาที,0,0,,,
2024-8FTXHY,2024-12-09,06:18 น.,รอรับเรื่อง 5 ชั่วโมงที่แล้ว,เขตวังทองหลาง แขวงวังทองหลาง,สายไฟโยงยาวมาด้านล่าง อาจเกิดอุบัติเหตุต่อคนบริเวณนี้ได้เพราะใกล้กับป้ายรถเมล์,"เขตวังทองหลาง, ฝ่ายโยธา เขตวังทองหลาง, กรุงเทพมหานคร",อุบัติเหตุ,รอรับเรื่อง,2024-12-09,11:00 น.,ใช้เวลา 4 ชม. 42 นาที,0,0,,,
2024-6PWBHW,2024-12-08,20:27 น.,รอรับเรื่อง 15 ชั่วโมงที่แล้ว,เขตวังทองหลาง แขวงพลับพลา,จอดกีดขวางทางเท้า,"เขตวังทองหลาง, ฝ่ายเทศกิจ เขตวังทองหลาง, กรุงเทพมหานคร",ทางเท้า,รอรับเรื่อง,2024-12-09,11:00 น.,ใช้เวลา 14 ชม. 34 นาที,1,0,,,
2024-P4X7KM,2024-12-08,20:20 น.,รอรับเรื่อง 15 ชั่วโมงที่แล้ว,เขตวังทองหลาง แขวงพลับพลา,พบเห็นการบุกรุกพื้นที่ส่วนบุคคล,"เขตวังทองหลาง, กรุงเทพมหานคร",อื่นๆ,รอรับเรื่อง,2024-12-08,20:20 น.,รอรับเรื่อง,1,1,,,
2024-AFXNT6,2024-12-08,20:18 น.,รอรับเรื่อง 15 ชั่วโมงที่แล้ว,เขตวังทองหลาง แขวงวังทองหลาง,จอดในที่ส่วนบุคคลกีดขวางทางเข้าออก,"เขตวังทองหลาง, ฝ่ายเทศกิจ เขตวังทองหลาง, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,2024-12-09,11:01 น.,ใช้เวลา 14 ชม. 43 นาที,1,0,,,
2024-MUYKW2,2024-12-08,20:17 น.,รอรับเรื่อง 15 ชั่วโมงที่แล้ว,เขตวังทองหลาง แขวงพลับพลา,จอดในที่ส่วนบุคคลกีดขวางทางเข้าออก,"เขตวังทองหลาง, ฝ่ายเทศกิจ เขตวังทองหลาง, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,2024-12-09,11:01 น.,ใช้เวลา 14 ชม. 44 นาที,1,0,,,
2024-HR8YFW,2024-12-08,20:16 น.,รอรับเรื่อง 15 ชั่วโมงที่แล้ว,เขตวังทองหลาง แขวงคลองเจ้าคุณสิงห์,ตั้งสิ่งของขวางพื้นที่สาธารณะไม่ให้จอดรถ,"เขตวังทองหลาง, ฝ่ายเทศกิจ เขตวังทองหลาง, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,2024-12-09,11:02 น.,ใช้เวลา 14 ชม. 46 นาที,1,0,,,
2024-DYFDXE,2024-12-08,20:15 น.,รอรับเรื่อง 15 ชั่วโมงที่แล้ว,เขตวังทองหลาง,จอดในที่ส่วนบุคคลกีดขวางทางเข้าออก,"เขตวังทองหลาง, ฝ่ายเทศกิจ เขตวังทองหลาง, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,2024-12-09,11:02 น.,ใช้เวลา 14 ชม. 48 นาที,1,0,,,
2024-6KCN4Z,2024-12-08,20:00 น.,รอรับเรื่อง 15 ชั่วโมงที่แล้ว,เขตวังทองหลาง แขวงคลองเจ้าคุณสิงห์,บ้านเลขที่ 246 เปิดเพลงเสียงดังทุกวัน ช่วง 4 โมงเย็น ถึง สองทุ่ม บางวันก็เกิน รบกวนคนอื่น,"เขตวังทองหลาง, ฝ่ายสิ่งแวดล้อมฯ เขตวังทองหลาง, กรุงเทพมหานคร",เสียง,รอรับเรื่อง,2024-12-09,11:03 น.,ใช้เวลา 15 ชม. 3 นาที,1,0,,,
