ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากวันที่เริ่มแจ้ง(วัน),ระยะเวลาจากสถานะล่าสุด(วัน),ค่า Median (วัน),ค่า Mean (วัน),ค่า Percentile 90 (วัน)
2024-HZR4HA,2024-12-09,07:45 น.,รอรับเรื่อง 3 ชั่วโมงที่แล้ว,เขตวัฒนา แขวงคลองเตยเหนือ,อ้างอิงเลขแจ้ง 2024-6ng88p ครับ พบว่าถนนยังเป็นหลุมเป็นบ่ออยู่อยู่ครับยังไม่ได้รับการแก้ไขหรือการแก้ไขที่ทำไปแล้วไม่ได้มาตรฐานจึงทำให้กลับมาเป็นปัญหาเดิมครับ,"เขตวัฒนา, ฝ่ายโยธา เขตวัฒนา, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,2024-12-09,08:19 น.,ใช้เวลา 35 นาที,0,0,,,
2024-MPCVAB,2024-12-09,05:36 น.,รอรับเรื่อง 5 ชั่วโมงที่แล้ว,เขตวัฒนา,ไม่มีไฟถนนช่วงนี้ ถนนช่วงนี้มืดมาก,"เขตวัฒนา, ฝ่ายโยธา เขตวัฒนา, กรุงเทพมหานคร",ไฟฟ้า,รอรับเรื่อง,2024-12-09,08:20 น.,ใช้เวลา 2 ชม. 44 นาที,0,0,,,
2024-33XLP7,2024-12-08,22:34 น.,รอรับเรื่อง 13 ชั่วโมงที่แล้ว,เขตวัฒนา,ฟุตบาทไม่เรียบผุพัง อันตรายกลัวมีคนสะดุดและบาดเจ็บ อยากให้หน่วยงานที่รับผิดชอบและซ่อมแซมและทำให้ให้มันเรียบ,"เขตวัฒนา, ฝ่ายโยธา เขตวัฒนา, กรุงเทพมหานคร",ทางเท้า,รอรับเรื่อง,2024-12-09,08:22 น.,ใช้เวลา 9 ชม. 49 นาที,1,0,,,
2024-MBU74C,2024-12-08,22:28 น.,รอรับเรื่อง 13 ชั่วโมงที่แล้ว,เขตวัฒนา แขวงคลองเตยเหนือ,ฝาท่อไม่ได้เปลี่ยนใหม่ตามกระเบื้องทางเท้าใหม่ครับ,"เขตวัฒนา, ฝ่ายโยธา เขตวัฒนา, กรุงเทพมหานคร",ทางเท้า,รอรับเรื่อง,2024-12-09,08:24 น.,ใช้เวลา 9 ชม. 56 นาที,1,0,,,
2024-8G72E9,2024-12-08,22:00 น.,รอรับเรื่อง 13 ชั่วโมงที่แล้ว,เขตวัฒนา แขวงคลองตันเหนือ,หัวแดงโดนย้าย ฟุตบาทเป็นรู อยากให้หน่วยงานที่รับผิดชอบมาทำให้พื้นเรียบ อันตรายกลัวคนสะดุดและบาดเจ็บ,"เขตวัฒนา, ฝ่ายโยธา เขตวัฒนา, กรุงเทพมหานคร",ทางเท้า,รอรับเรื่อง,2024-12-09,08:54 น.,ใช้เวลา 10 ชม. 55 นาที,1,0,,,
2024-F6GRP8,2024-12-08,21:53 น.,รอรับเรื่อง 13 ชั่วโมงที่แล้ว,เขตวัฒนา แขวงคลองตันเหนือ,ทางเท้าหลายจุดมากๆเเตกชำรุด บางอาคารลักลอบต่อท่อทั้งที่เคยเเก้บ้างเเล้งริมฝาท่อเป็นโพรงอันตรายมากๆกําลังปรับปรุงทางเท้าวางแผนดีๆนะครับ,"เขตวัฒนา, ฝ่ายโยธา เขตวัฒนา, กรุงเทพมหานคร",ทางเท้า,รอรับเรื่อง,2024-12-09,08:55 น.,ใช้เวลา 11 ชม. 3 นาที,1,0,,,
2024-N6ZWM7,2024-12-08,18:54 น.,รอรับเรื่อง 16 ชั่วโมงที่แล้ว,เขตวัฒนา,ทำไมคานเหล็กไม่เอาออกครับทั้งๆที่เทปูนแล้ว มันอันตรายน่ะผมว่า กลางคืนรถอาจชนได้,"เขตวัฒนา, ฝ่ายโยธา เขตวัฒนา, กรุงเทพมหานคร",อุปกรณ์ชำรุด,รอรับเรื่อง,2024-12-08,20:18 น.,ใช้เวลา 1 ชม. 24 นาที,1,1,,,
2024-63N4CM,2024-12-08,17:22 น.,รอรับเรื่อง 18 ชั่วโมงที่แล้ว,เขตวัฒนา แขวงคลองเตยเหนือ,น้ำท่วมขังนาน น้ำเน่าดำ ไม่ลด ส่ง จนทไปดูละทำอะไรไม่ได้ ต้องการให้ทางเขตส่ง จนท ล้วงท่อตรงปากซอย 21 คาวบอย,"ฝ่ายโยธา เขตวัฒนา, เขตวัฒนา, กรมป้องกันและบรรเทาสาธารณภัย, ร้องทุกข์ กทม. 1555, กรุงเทพมหานคร, ศูนย์อำนวยการบรรเทาสาธารณภัย ส่วนกลาง, ศปก. อว. กรุงเทพมหานคร, ศูนย์ปฏิบัติการสถานการณ์น้ำท่วม อว. (ศปก. อว.)",ภัยอื่นๆ,รอรับเรื่อง,2024-12-08,20:21 น.,ใช้เวลา 2 ชม. 59 นาที,1,1,,,
2024-KVA8HW,2024-12-08,17:22 น.,รอรับเรื่อง 18 ชั่วโมงที่แล้ว,เขตวัฒนา แขวงคลองตันเหนือ,ขาดไฟส่องสว่าง ตอนกลางคืนมืดมาก ทั้งซอยสุขุมวิท 31 เลย,"Bangkok Smart Lighting (สำนักการโยธา กทม.), เขตวัฒนา, ฝ่ายโยธา เขตวัฒนา, กรุงเทพมหานคร",ไฟฟ้า,กำลังดำเนินการ,2024-12-09,11:33 น.,ใช้เวลา 18 ชม. 11 นาที,1,0,,,
2024-F7BZEP,2024-12-08,16:04 น.,รอรับเรื่อง 19 ชั่วโมงที่แล้ว,เขตวัฒนา แขวงพระโขนงเหนือ,ก่อสร้างไม่มีการอนุญาต สร้างความร่ำคาญเสียงดัง,"เขตวัฒนา, ฝ่ายโยธา เขตวัฒนา, กรุงเทพมหานคร",เสียง,รอรับเรื่อง,2024-12-08,16:18 น.,ใช้เวลา 14 นาที,1,1,,,
