ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากสถานะล่าสุด(วัน),ค่า Median (วัน),ค่า Mean (วัน),ค่า Percentile 90 (วัน)
2024-GG2ZHY,9 ธ.ค. 67,13:54 น.,รอรับเรื่อง 14 นาทีที่แล้ว,เขตหลักสี่ แขวงตลาดบางเขน,สายสัญญาณตกท้องช้างที่หน้าบริษัท ทำให้รถขนส่งไม่สามารถเข้า-ออกได้ ที่ทางเข้าหน้าบริษัท ซีพี รีเทลลิงค์ จำกัด,"เขตหลักสี่, กรุงเทพมหานคร",สายสื่อสาร,รอรับเรื่อง,2024-12-09,13:54 น.,รอรับเรื่อง,0,,,
2024-HKL2VD,9 ธ.ค. 67,13:13 น.,รอรับเรื่อง 55 นาทีที่แล้ว,เขตหลักสี่ แขวงตลาดบางเขน,พื้นหน้าปากซอยแตกเป็นหลุม บริเวณซอยวิภาวดี 60 แยก 1-1 หน้าหอพัก,"เขตหลักสี่, ฝ่ายโยธา เขตหลักสี่, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,2024-12-09,13:24 น.,ใช้เวลา 12 นาที,0,,,
2024-3QAQPD,9 ธ.ค. 67,12:17 น.,รอรับเรื่อง 1 ชั่วโมงที่แล้ว,,ยังไม่เสร็จสิ้นจะแจ้งเพิ่มเติม กี่โมง??ฝ่าฝืน ใช้ระยะร่นตากกางเกงในผู้ชาย สีเทา.,"เขตหลักสี่, ฝ่ายโยธา เขตหลักสี่, กรุงเทพมหานคร",อาคารสถานที่ชำรุด,รอรับเรื่อง,2024-12-09,13:24 น.,ใช้เวลา 1 ชม. 7 นาที,0,,,
2024-4GGUZA,9 ธ.ค. 67,12:15 น.,รอรับเรื่อง 1 ชั่วโมงที่แล้ว,,หลักฐาน การฝ่าฝืน ใช้ส่วนที่มีคำสั่งของจพถ. เวลา 11.21 น. ตากผ้า ที่ระยะร่น. และมีความเย็น ออก ตั้งแต่เวลา 10.20 น.,"เขตหลักสี่, ฝ่ายโยธา เขตหลักสี่, กรุงเทพมหานคร",อื่นๆ,รอรับเรื่อง,2024-12-09,13:23 น.,ใช้เวลา 1 ชม. 9 นาที,0,,,
2024-4ERLU6,9 ธ.ค. 67,12:11 น.,รอรับเรื่อง 1 ชั่วโมงที่แล้ว,,ด่วน!!!! ขอ จนท.!!!!!ตรวจสอบ ด้านหลัง อาคารต่อเติม เวลา 11.21 น. ตากกางเกงในผู้ชาย สีเทา.ห้องต่อเติม ใช้แอร์ ตลอดคืน และตลอดวัน มีความเย็นตั้งแต่ 10.20 น.ยังไม่เสร็จสิ้นปี 2567 ยังไม่ดำเนินคดีมีคนฝ่าฝืนมากกว่า 1 คน,"เขตหลักสี่, ฝ่ายโยธา เขตหลักสี่, กรุงเทพมหานคร",อาคารสถานที่ชำรุด,รอรับเรื่อง,2024-12-09,13:23 น.,ใช้เวลา 1 ชม. 13 นาที,0,,,
2024-ED98DL,9 ธ.ค. 67,10:23 น.,รอรับเรื่อง 3 ชั่วโมงที่แล้ว,,จะ แจ้ง ดำเนินคดี กี่โมง?ฝ่าฝืนมาตลอด ปี2567มีมากกว่า 1 คนที่ฝ่าฝืนส่งหลักฐานยังไม่ครบ.,"เขตหลักสี่, ฝ่ายโยธา เขตหลักสี่, กรุงเทพมหานคร",อื่นๆ,รอรับเรื่อง,2024-12-09,10:38 น.,ใช้เวลา 16 นาที,0,,,
2024-6EL6UD,9 ธ.ค. 67,10:18 น.,รอรับเรื่อง 3 ชั่วโมงที่แล้ว,,ใช้ส่วนต่อเติม ข้ามวันข้ามคืนชั้นบน ตลอดทั้งชั้น เปิดแอร์ ตลอดทั้งคืน.มีผ้าตาก ที่ระยะร่น มีกลิ่นด้านหลังอาคาร.ต่างกรรม ต่างวาระยังไม่ได้ดำเนินคดีเพิ่มเติม,"เขตหลักสี่, ฝ่ายโยธา เขตหลักสี่, กรุงเทพมหานคร",เสียง,รอรับเรื่อง,2024-12-09,10:38 น.,ใช้เวลา 21 นาที,0,,,
2024-CMGUCN,7 ธ.ค. 67,16:55 น.,รอรับเรื่อง 1 วันที่แล้ว,เขตหลักสี่ แขวงทุ่งสองห้อง,ต้นไม้พันสายไฟ อาจเกิดอันตรายต่อคนที่สัญจรไปมาได้,"เขตหลักสี่, ฝ่ายรักษาความสะอาดฯ เขตหลักสี่, กรุงเทพมหานคร",ต้นไม้,รอรับเรื่อง,2024-12-09,07:09 น.,ใช้เวลา 1 วัน 14 ชม.,0,,,
2024-8BYD2R,7 ธ.ค. 67,09:55 น.,รอรับเรื่อง 2 วันที่แล้ว,,กระจกมีต้นไม้บัง,"เขตหลักสี่, ฝ่ายรักษาความสะอาดฯ เขตหลักสี่, กรุงเทพมหานคร",ต้นไม้,รอรับเรื่อง,2024-12-09,07:07 น.,ใช้เวลา 1 วัน 21 ชม.,0,,,
2024-G6NZHL,6 ธ.ค. 67,20:53 น.,รอรับเรื่อง 2 วันที่แล้ว,,ใช้ส่วนที่มีคำสั่งของจพถ. และเปิดแอร์ เย็นออกจากอาคาร.มีผ้าตาก ที่ระยะร่น ตั้งแต่เวลา 13 น.ยังดำเนินคดีไม่ครบ.ไม่เสร็จ ไม่สิ้น,"เขตหลักสี่, ฝ่ายโยธา เขตหลักสี่, กรุงเทพมหานคร",อาคารสถานที่ชำรุด,เปิดเรื่องใหม่,2024-12-09,11:32 น.,ใช้เวลา 2 วัน 14 ชม.,0,,,
