ticket_id,date,time,status,address,description,agency,category,ForwardedStatus,ForwardedDate,ForwardedTime,TakeTime
2024-9DGLPQ,9 ธ.ค. 67,14:05 น.,รอรับเรื่อง 3 นาทีที่แล้ว,เขตจตุจักร,ถนนชำรุดเป็นหลุม,"เขตจตุจักร, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,9 ธ.ค. 67,14:05 น.,รอรับเรื่อง
2024-LGE6E3,9 ธ.ค. 67,14:03 น.,รอรับเรื่อง 5 นาทีที่แล้ว,เขตธนบุรี แขวงวัดกัลยา,รถจักรยานยนต์วิ่งและจอดเต็มฟุตบาทแจ้งกี่ที่ก็เหมือนเดิม,"เขตธนบุรี, ฝ่ายเทศกิจ เขตธนบุรี, กรุงเทพมหานคร",ทางเท้า,รอรับเรื่อง,9 ธ.ค. 67,14:04 น.,ใช้เวลา 2 นาที
2024-DGQ43V,9 ธ.ค. 67,14:02 น.,รอรับเรื่อง 6 นาทีที่แล้ว,เขตราชเทวี แขวงทุ่งพญาไท,โบนัสที่แตกต่างขอให้หมดในยุคนี้,"เขตราชเทวี, กรุงเทพมหานคร",อื่นๆ,รอรับเรื่อง,9 ธ.ค. 67,14:02 น.,รอรับเรื่อง
2024-N8E4GE,9 ธ.ค. 67,14:01 น.,รอรับเรื่อง 7 นาทีที่แล้ว,เขตลาดกระบัง แขวงลาดกระบัง,ขยะเต็มพื้นถนนล้นถังขยะไม่มีเจ้าหน้าที่มาเก็บเลย,"เขตลาดกระบัง, กรุงเทพมหานคร",ความสะอาด,รอรับเรื่อง,9 ธ.ค. 67,14:01 น.,รอรับเรื่อง
2024-3VCRP9,9 ธ.ค. 67,14:01 น.,รอรับเรื่อง 7 นาทีที่แล้ว,เขตบางแค แขวงหลักสอง,ร้องเรียนเป็นเดือนเรื่องไฟส่องสว่าง ไม่ได้รับการแก้ไข โยนไปมา แค่หลอดไฟดวงเดียวยากจัง,"เขตบางแค, กรุงเทพมหานคร",ไฟฟ้า,รอรับเรื่อง,9 ธ.ค. 67,14:01 น.,รอรับเรื่อง
2024-MG9AA8,9 ธ.ค. 67,13:57 น.,รอรับเรื่อง 11 นาทีที่แล้ว,เขตบางขุนเทียน แขวงแสมดำ,เหล็กกั้นคันคบองหลุด อยู่ตรง ซ.บางกระดี่ 30 ครับ,"เขตบางขุนเทียน, ฝ่ายโยธา เขตบางขุนเทียน, กรุงเทพมหานคร",อุปกรณ์ชำรุด,รอรับเรื่อง,9 ธ.ค. 67,14:05 น.,ใช้เวลา 9 นาที
2024-GG2ZHY,9 ธ.ค. 67,13:54 น.,รอรับเรื่อง 14 นาทีที่แล้ว,เขตหลักสี่ แขวงตลาดบางเขน,สายสัญญาณตกท้องช้างที่หน้าบริษัท ทำให้รถขนส่งไม่สามารถเข้า-ออกได้ ที่ทางเข้าหน้าบริษัท ซีพี รีเทลลิงค์ จำกัด,"เขตหลักสี่, กรุงเทพมหานคร",สายสื่อสาร,รอรับเรื่อง,9 ธ.ค. 67,13:54 น.,รอรับเรื่อง
2024-CKUPAM,9 ธ.ค. 67,13:54 น.,รอรับเรื่อง 14 นาทีที่แล้ว,เขตคลองสามวา แขวงสามวาตะวันออก,ตอนนี้ชาวบ้านร่วมเงินทุนและแรงงานทำถนนลูกรังเชื่อมระหว่างซอยนิมิตใหม่ 59 กับถนนราษฎร์นิมิตร (ตามเลขแจ้ง2024-NZ8YVB) แล้วเสร็จและรถยนต์สามารถสัญจรได้แล้ว แต่มีจุดที่เป็นถนนคอนกรีตเดิม เต็มไปด้วยฝุ่นจากการประกอบกิจการของโรงงานทำอิฐบล็อก เวลารถวิ่งผ่านฝุ่นจะฟ้งกระจายในปริมาณมาก จึงขอรบกวนทางกทม.จัดรถน้ำมาฉีดล้างฝุ่นออกจากผิวถนนคอนกรีตดังกล่าวครับ,"เขตคลองสามวา, ฝ่ายรักษาความสะอาดฯ เขตคลองสามวา, สำนักสิ่งแวดล้อม กทม., กรุงเทพมหานคร",ฝุ่นควัน&กลิ่น&PM2.5,รอรับเรื่อง,9 ธ.ค. 67,13:56 น.,ใช้เวลา 3 นาที
2024-8Z4Z4X,9 ธ.ค. 67,13:51 น.,รอรับเรื่อง 17 นาทีที่แล้ว,เขตจตุจักร แขวงเสนานิคม,สายไฟห้อยต่ำ เดินไปจะชน สายต่อไม่ดี,"เขตจตุจักร, กรุงเทพมหานคร",สายสื่อสาร,รอรับเรื่อง,9 ธ.ค. 67,13:51 น.,รอรับเรื่อง
2024-3KXFU9,9 ธ.ค. 67,13:45 น.,รอรับเรื่อง 23 นาทีที่แล้ว,เขตวังทองหลาง แขวงวังทองหลาง,จอดรถบนทางเทัา,"เขตวังทองหลาง, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,9 ธ.ค. 67,13:45 น.,รอรับเรื่อง
