Agency,count
กรุงเทพมหานคร,588
เพื่อนชัชชาติ,358
เขตบางนา,82
กองบัญชาการตำรวจนครบาล (บช.น.),50
สำนักงานตำรวจแห่งชาติ (Royal Thai Police),50
เขตราษฎร์บูรณะ,45
กรมทางหลวง,44
เขตลาดกระบัง,39
แขวงทางหลวงธนบุรี กรมทางหลวง,38
กรุงเทพโปร่งใส,37
องค์การขนส่งมวลชนกรุงเทพ (ขสมก.),34
เขตบางแค,34
เขตปทุมวัน,30
การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย (รฟม.),30
ร้องทุกข์ กทม. 1555,29
การไฟฟ้านครหลวง MEA,28
เขตบางรัก,25
เขตจตุจักร,24
สำนักการโยธา กทม.,24
เขตวัฒนา,22
สำนักงาน กสทช. (ศูนย์รับแจ้งปัญหา 1200),21
เขตวังทองหลาง,21
ฝ่ายสิ่งแวดล้อมฯ เขตลาดกระบัง,18
ฝ่ายโยธา เขตวัฒนา,18
สำนักการจราจรและขนส่ง กรุงเทพมหานคร (สจส.),18
ฝ่ายโยธา เขตบางนา,17
เขตดินแดง,17
สำนักสิ่งแวดล้อม กทม.,16
เขตธนบุรี,15
กรมทางหลวงชนบท กระทรวงคมนาคม,14
เขตดอนเมือง,14
เขตมีนบุรี,14
กองบังคับการตำรวจนครบาล 9 (บก.น.9),14
เขตป้อมปราบศัตรูพ่าย,14
เขตหลักสี่,13
เขตภาษีเจริญ,13
เขตจอมทอง,12
ฝ่ายเทศกิจ เขตป้อมปราบศัตรูพ่าย,12
เขตราชเทวี,12
เขตตลิ่งชัน,10
เขตบางขุนเทียน,10
กองบังคับการตำรวจนครบาล 3 (บก.น.3),9
สำนักการระบายน้ำ กทม.,9
เขตทวีวัฒนา,9
เขตสะพานสูง,9
กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี),9
ปัญหาที่ต้องแก้เชิงนโยบาย,8
เขตคลองเตย,8
เขตบึงกุ่ม,8
กระทรวงการท่องเที่ยวและกีฬา,8
ผอ.เขตลาดกระบัง (นายธนะสิทธิ์),8
เขตพระนคร,8
ฝ่ายสิ่งแวดล้อมฯ เขตวังทองหลาง,7
การทางพิเศษแห่งประเทศไทย,7
เขตบางกะปิ,7
ฝ่ายเทศกิจ เขตลาดกระบัง,7
กองบังคับการตำรวจนครบาล 6 (บก.น.6),7
เขตบางบอน,7
เขตบางกอกน้อย,7
ฝ่ายเทศกิจ เขตวังทองหลาง,6
เขตห้วยขวาง,6
การไฟฟ้านครหลวง เขตราษฎร์บูรณะ,6
กรมการขนส่งทางบก,6
เขตพระโขนง,6
สน.หลักสอง,6
การไฟฟ้านครหลวง เขตลาดกระบัง,6
กองบังคับการตำรวจนครบาล 2 (บก.น.2),6
การไฟฟ้านครหลวง เขตบางกะปิ,5
เขตดุสิต,5
กองแผนงานและประสานสาธารณูปโภค สำนักการโยธา (กผภ.สนย.) กทม.,5
กลุ่มกรุงเทพใต้ (นายชาตรี วัฒนเขจร),5
เขตหนองจอก,5
เขตบางเขน,5
ฝ่ายรักษาความสะอาดฯ เขตลาดกระบัง,5
สำนักงานตลาดกรุงเทพมหานคร,5
กองบังคับการตำรวจนครบาล 1 (บก.น.1),5
สน.ลาดกระบัง,4
ฝ่ายโยธา เขตวังทองหลาง,4
เขตหนองแขม,4
ศูนย์ปฏิบัติการติดตามการต่อต้านการทุจริตของ กรุงเทพมหานคร,4
สน.สุทธิสาร,4
การรถไฟแห่งประเทศไทย,4
สน.ยานนาวา,4
เขตคลองสามวา,4
ฝ่ายรักษาความสะอาดฯ เขตหลักสี่,4
สำนักปลัด กทม.,4
สำนักงานวิศวกรรมทาง สำนักการโยธา (สวก.สนย.) กทม.,4
เขตบางพลัด,4
สน.แสมดำ,3
CAT TELECOM (Official),3
ฝ่ายรักษาความสะอาดฯ เขตปทุมวัน,3
สำนักงานควบคุมอาคาร สำนักการโยธา (สคอ.สนย.) กทม.,3
กลุ่มงานควบคุมอาคาร 2 ส่วนควบคุมอาคาร 1 สำนักงานควบคุมอาคาร (สคอ.สนย.),3
ผอ.เขตปทุมวัน (น.ส.สุขวิชญาณ์),3
กองระบบท่อระบายน้ำ สำนักการระบายน้ำ,3
ฝ่ายโยธา เขตสะพานสูง,3
เขตประเวศ,3
การไฟฟ้านครหลวง เขตมีนบุรี,3
กองบังคับการตำรวจนครบาล 8 (บก.น.8),3
ฝ่ายโยธา เขตดินแดง,3
สำนักงานระบบขนส่ง สขส. สจส.,3
กองบังคับการตำรวจนครบาล 5 (บก.น.5),3
เขตสัมพันธวงศ์,3
ฝ่ายโยธา เขตสัมพันธวงศ์,3
ฝ่ายโยธา เขตหลักสี่,3
สำนักการประปา,3
ฝ่ายเทศกิจ เขตดินแดง,3
กองจัดการคุณภาพอากาศและเสียง สำนักสิ่งแวดล้อม,3
รองปลัดฯ นายณรงค์ เรืองศรี,3
สน.จรเข้น้อย,3
เขตสายไหม,3
การไฟฟ้านครหลวง เขตบางนา,3
เขตบางกอกใหญ่,2
สน.ตลาดพลู,2
กองระบบคลอง สำนักการระบายน้ำ,2
ศูนย์ก่อสร้างและบูรณะถนน 3 ส่วนก่อสร้างและบูรณะ 1 สำนักงานก่อสร้างและบูรณะ (สกบ.สนย.),2
ฝ่ายโยธา เขตปทุมวัน,2
สำนักงาน กสทช. ภาค 2,2
การไฟฟ้านครหลวง เขตธนบุรี,2
ผอ.เขตบางนา (นางประภัสสร),2
เขตคันนายาว,2
กลุ่มงานวางแผนและออกแบบ 2,2
กลุ่มกรุงธนเหนือ (นายเฉลิมพล โชตินุชิต),2
กองบังคับการตำรวจนครบาล 7 (บก.น.7),2
เขตยานนาวา,2
สน.ลุมพินี,2
ฝ่ายโยธา เขตลาดกระบัง,2
สน.ท่าข้าม,2
เขตสาทร,2
ฝ่ายเทศกิจ เขตหนองแขม,2
ฝ่ายโยธา เขตจอมทอง,2
สำนักงานสวนสาธารณะ สำนักสิ่งแวดล้อม,2
ฝ่ายเทศกิจ เขตห้วยขวาง,2
กลุ่มงานสัญญาณไฟจราจร สวจ.สจส.,2
ฝ่ายโยธา เขตบางรัก,2
ฝ่ายโยธา เขตมีนบุรี,2
สน.บางบอน,2
เขตทุ่งครุ,2
ฝ่ายรักษาความสะอาดฯ เขตพระนคร,2
ฝ่ายเทศกิจ เขตบางแค,2
ฝ่ายรักษาความสะอาดฯ เขตราชเทวี,2
สน.สามเสน,2
เขตพญาไท,2
สน.พหลโยธิน,2
เขตคลองสาน,2
Bangkok Smart Lighting (สำนักการโยธา กทม.),2
ศูนย์กำจัดมูลฝอยอ่อนนุช กกฝ. สสล.,2
กองกำจัดมูลฝอย สำนักสิ่งแวดล้อม,2
ฝ่ายสิ่งแวดล้อมฯ เขตดินแดง,2
กรมควบคุมมลพิษ,2
กองบริการการจำหน่าย การไฟฟ้านครหลวงเขตลาดกระบัง,2
ผอ.เขตดอนเมือง (นายสาโรจน์),1
กลุ่มกรุงธนใต้ (นายเฉลิมพล โชตินุชิต),1
กลุ่มกรุงเทพเหนือ (นางวันทนีย์ วัฒนะ),1
ผอ.เขตบางขุนเทียน (นางภัสรา),1
ผอ.เขตยานนาวา (น.ส.วรุณลักษม์),1
AOT-DMK,1
สน.ร่มเกล้า,1
